0,1,2,3,4,5
Topic,MICS,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
NUTRITION,,,,,
Nutritional status,6,4,Underweight prevalence,1.0,per
,,,,,cent
,7,,Stunting prevalence,2.5,per
,,,,,cent
,8,,Wasting prevalence,1.3,per
,,,,,cent
Breastfeeding,45,,Timely initiation of breastfeeding,21.1,per
,,,Exclusive breastfeeding rate Continued breastfeeding rate,,
,,,at 12-15 months,,
,,,at 20-23 months,,
,,,Timely complementary feeding rate Frequency of complementary feeding Adequately fed infants,,
,,,cent,,
,15,9.0,per,,
,,,cent,,
,16,,,,
,,18.0,per,,
,,3.6,cent,,
,17,38.3,per,,
,,,cent,,
,18,27.9,per,,
,,,cent,,
,19,17.8,per,,
,,,cent,,
Low birth weight infants,9,,Low birth weight infants,3.8,per
,,,,cent,
,10,Infants weighed at birth,99.3,per,
,,,,cent,
CHILD HEALTH,,,,,
Immunization,25,,Tuberculosis immunization coverage,99.2,per
,,,,,cent
,26,,Polio immunization coverage,96.5,per
,,,,,cent
,27,,DPT immunization coverage,96.7,per
,,,,,cent
,28,15,Measles immunization coverage,96.9,per
,,,,,cent
,31,,Fully immunized children,93.9,per
,,,,,cent
,29,,Hepatitis B immunization coverage,96.9,per
,,,,,cent
Care of illness,33,,Use of oral rehydration therapy (ORT),84.9,per
,,,,cent,
,34,Home management of diarrhoea,15.7,per,
,,,,cent,
Topic,MICS,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
,35,,"Received ORT or increased fluids, and continued feeding",54.2,per cent
,23,,Care seeking for suspected pneumonia Antibiotic treatment of suspected pneumonia,89.5,per cent
,22,,,67.0,per cent
Solid fuel use,24,29,Solid fuels use,3.4,per cent
ENVIRONMENT,,,,,
Water and Sanitation,11,30,Use of improved drinking water sources,99.6,per
,,,,,cent
,13,,Water treatment,60.5,per
,,,,,cent
,12,31,Use of improved sanitation facilities,99.3,per
,,,,,cent
,14,,Disposal of child's faeces,76.4,per
,,,,,cent
REPRODUCTIVE HEALTH,,,,,
Contraception,21,19c,Contraceptive prevalence,72.6,per cent
Maternal and newborn,20,,Antenatal care,99.4,per
health,,,,,cent
,44,,Content of antenatal care,99.4,per
,,,,,cent
,4,17,Skilled attendant at delivery,100.0,per
,,,,,cent
,5,,Institutional deliveries,99.9,per
,,,,,cent
CHILD DEVELOPMENT,,,,,
Child development,46,,Adult’s support for learning,84.1,per
,,,,cent,
,47,Father's support for learning,71.0,per,
,,,,cent,
EDUCATION,,,,,
Education,52,,Pre-school attendance,86.1,per
,,,,,cent
,53,,School readiness,92.9,per
,,,,,cent
,54,,Net intake rate in primary education,75.5,per
,,,,,cent
,55,6,Net primary school attendance rate,93.2,per
,,,,,cent
,56,,Net secondary school attendance rate,95.9,per
,,,,,cent
Topic,MICS,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
,57,7,Children reaching grade five Transition rate to secondary school Primary school completion rate,100.0,per
,,,Gender parity index,,
,,,primary school secondary school,,
,,,cent,,
58,,100.0,per,,
,,,cent,,
59,7b,69.0,per,,
,,,cent,,
61,9,,,,
,,1.01,ratio,,
,,1.02,ratio,,
Literacy,60,8,Adult literacy rate,100.0,per cent
CHILD PROTECTION,,,,,
Child labor,71,,Child labour,5.1,per
,,,,cent,
,72,Labourer students,99.7,per,
,,,,cent,
,73,Student labourers,5.2,per,
,,,,cent,
Child discipline,74,,Any psychological/physical punishment,82.6,per cent
Early marriage,67,,Marriage before age 18,6.5,per
,,,,cent,
,68,Young women aged 15-19 currently,3.7,per,
,,married/in union,,cent,
,69,Spousal age difference,8.2,per,
,,,,cent,
Support to orphaned,75,,Prevalence of orphans,5.8,per
and vulnerable children,,,,cent,
,78,Children’s living arrangements,1.8,per,
,,,,cent,
HIV/AIDS,,,,,
HIV/AIDS knowledge,82,19b,Comprehensive knowledge about HIV,33.9,per
and attitudes,,,prevention among young people,,cent
,89,,Knowledge of mother- to-child transmission,61.2,per
,,,of HIV,,cent
,86,,Attitude towards people with HIV/AIDS,4.6,per
,,,,,cent
,87,,Women who know where to be tested for HIV,97.4,per
,,,,,cent
,88,,Women who have been tested for HIV,66.4,per
,,,,,cent
,90,,Counselling coverage for the prevention of,72.8,per
,,,mother-to-child transmission of HIV,,cent
,91,,Testing coverage for the prevention of,92.3,per
,,,mother-to-child transmission of HIV,,cent
