0,1,2,3,4
Topic,MICS4 MDG,Indicator,Value,
,Indicator Indicator,,,
,Number Number,,,
CHILD MORTALITY,,,,
Child mortality,1.1,4.1,Under-five mortality rate Infant mortality rate,"17 per 1,000"
,1.2,4.2,,"14 per 1,000"
NUTRITION,,,,
Nutritional status,1.8 Underweight prevalence,,,
,2.1a Moderate and Severe (- 2 SD),,,
,b Severe (- 3 SD),,,
,a Moderate and Severe (- 2 SD),,,
,Stunting prevalence,,,
,b Severe (- 3 SD),,,
,a Moderate and Severe (- 2 SD),,,
,Wasting prevalence,,,
,b Severe (- 3 SD),,,
,Children ever breastfed,,,
,Early initiation of breastfeeding,,,
,Exclusive breastfeeding under 6 months,,,
,Continued breastfeeding at 1 year,,,
,Continued breastfeeding at 2 years,,,
,Predominant breastfeeding under 6 months,,,
,Duration of breastfeeding,,,
,Bottle feeding,,,
,"Introduction of solid, semi-solid or soft foods",,,
,Minimum meal frequency,,,
,Age-appropriate breastfeeding,,,
,At least 2 milk feeds,,,
,Vitamin A supplementation (children under age 5),,,
,Low-birth weight infants,,,
,Infants weighed at birth,,,
,6.2 percent,,,
,1.3 percent,,,
,19.3 percent,,,
,5.4 percent,,,
,3.3 percent,,,
,1.2 percent,,,
Breastfeeding and,91.9 percent,,,
infant feeding,61.5 percent,,,
,14.7 percent,,,
,62.1 percent,,,
,34.9 percent,,,
,34.3 percent,,,
,16.1 months,,,
,57.8 percent,,,
,67.4 percent,,,
,67.6 percent,,,
,38.2 percent,,,
,84.4 percent,,,
Vitamin A,65.1 percent,,,
Low birth weight,11.1 percent,,,
,95.0 percent,,,
CHILD HEALTH,,,,
Vaccinations,3.1 Tuberculosis immunization coverage,97.5 percent,,
,3.2 Polio immunization coverage,75.2 percent,,
,"3.3 Immunization coverage for diphtheria, pertussis and tetanus (DPT)",67.8 percent,,
,3.4,4.3,Measles immunization coverage,84.9 percent
,3.5 Hepatitis B immunization coverage,73.7 percent,,
Tetanus toxoid,3.7 Neonatal tetanus protection,52.4 percent,,
Care of illness,3.8 Oral rehydration therapy with continued feeding,42.5 percent,,
,3.9 Care seeking for suspected pneumonia,82.2 percent,,
,3.10,Antibiotic treatment of suspected pneumonia,70.7 percent,
Solid fuel use,3.11,Solid fuels,17.7 percent,
Child Disability,3.21 Child disability,36.4 percent,,
WATER AND SANITATION,,,,
Water and,4.1,7.8,Use of improved drinking water sources,97.7 percent
sanitation,4.2 Water treatment,31.2 percent,,
,4.3,7.9,Use of improved sanitation facilities,89.2 percent
,4.4 Safe disposal of child’s faeces,25.6 percent,,
,4.5 Water and soap available,94.4 percent,,
,4.6 Soap anywhere in dwelling,93.2 percent,,
REPRODUCTIVE HEALTH,,,,
Contraception and,5.4 Adolescent fertility rate,"64 per 1,000",,
,Early childbearing,,,
,5.3 Contraceptive prevalence rate,,,
,5.6 Unmet need,,,
,Antenatal care coverage,,,
,5.5a At least once by skilled personnel,,,
,b At least four times by any provider,,,
,Content of antenatal care,,,
,5.2 Skilled attendant at delivery,,,
,Institutional deliveries,,,
,Caesarean section,,,
unmet need,16.9 percent,,,
,55.2 percent,,,
,15.9 percent,,,
Maternal and,,,,
newborn health,96.2 percent,,,
,83.1 percent,,,
,96.6 percent,,,
,96.2 percent,,,
,93.8 percent,,,
,28.1 percent,,,
Topic,MICS4,MDG,Indicator,Value
,Indicator Number,Indicator Number,,
Post-natal health,5.10,,Post-partum stay in health facility,92.3 percent
checks,,,,
,5.11,,Post-natal health check for the newborn,97.3 percent
,5.12,,Post-natal health check for the mother,94.6 percent
CHILD DEVELOPMENT,,,,
Child development,6.1 Support for learning,85.6 percent,,
,6.2 Father’s support for learning,50.0 percent,,
,6.3 Learning materials: children’s books,39.6 percent,,
,6.4 Learning materials: playthings,57.3 percent,,
,6.5 Inadequate care,2.4 percent,,
,6.6 Early child development index,87.5 percent,,
,6.7 Attendance to early childhood education,31.7 percent,,
EDUCATION,,,,
Literacy and,7.1,2.3,Literacy rate among young women,91.1 percent
education,7.2,,School readiness,32.9 percent
,7.3,,Net intake rate in primary education,85.3 percent
,7.4,2.1,Primary school net attendance rate (adjusted),94.4 percent
,7.5,,Secondary school net attendance rate (adjusted),55.4 percent
,7.6,2.2,Children reaching last grade of primary,96.5 percent
,7.7,,Primary completion rate,92.9 percent
,7.8,,Transition rate to secondary school,90.9 percent
,7.9,,Gender parity index (primary school),1.00 ratio
,7.10,,Gender parity index (secondary school),1.23 ratio
CHILD PROTECTION,,,,
