id,name,value
1.1,Neonatal mortality rate,5
1.2,Infant mortality rate,9
1.3,Post-neonatal mortality rate,3
1.4,Child mortality rate,3
1.5,Under-five mortality rate,12
2.1a,Underweight prevalence,4.6
2.1b,Underweight prevalence,0.4
2.2a,Stunting prevalence,15.0
2.2b,Stunting prevalence,2.6
2.3a,Wasting prevalence,1.8
2.3b,Wasting prevalence,0.5
2.4,Overweight prevalence,7.3
2.5,Children ever breastfed,92.7
2.6,Early initiation of breastfeeding,68.3
2.7,Exclusive breastfeeding under 6 months,33.2
2.8,Predominant breastfeeding under 6 months,50.1
2.9,Continued breastfeeding at 1 year,51.5
2.10,Continued breastfeeding at 2 years,35.1
2.11,Median duration of breastfeeding,17.2
2.12,Age-appropriate breastfeeding,49.7
2.13,"Introduction of solid, semi-solid or soft foods",78.8
2.14,Milk feeding frequency for non- breastfed children,83.2
2.15,Minimum meal frequency,28.8
2.16,Minimum dietary diversity,66.3
2.17a,Minimum acceptable diet,4.8
2.17b,(b) Percentage of non-breastfed children age 6–23 months who received at least 2 milk feedings and had at least the minimum dietary diversity not including milk feeds and the minimum meal frequency during the previous day,39.3
2.18,Bottle feeding,61.2
2.19,Iodized salt consumption,65.3
2.20,Low-birthweight infants,12.1
2.21,Infants weighed at birth,98.7
3.1,Tuberculosis immunization coverage,97.6
3.2,Polio immunization coverage,83.1
3.3,Pentavalent immunization coverage,83.4
3.5,Pentavalent immunization coverage,83.4
3.6,Pentavalent immunization coverage,83.4
3.4,Measles immunization coverage,90.2
3.8,Full immunization coverage,77.5
BCG,98,93.0
Polio1,97,93.0
Polio2,92,90.0
Polio3,83,3.0
Pentavalent,96,92.0
Pentavalent,90,88.0
Measles1,+,90.0
ly vaccinated,+,78.0
vaccinations,2,5
BCG,98,93.0
Polio1,97,93.0
Polio2,92,90.0
Polio3,83,3.0
Pentavalent,96,92.0
Pentavalent,90,88.0
Measles1,+,90.0
ly vaccinated,+,78.0
vaccinations,2,5
3.9,Neonatal tetanus protection,48.8
-,Children with diarrhoea,6.2
3.10,Care-seeking for diarrhoea,37.7
3.11,Diarrhoea treatment with oral rehydration salts (ORS) and zinc,4.8
3.12,Diarrhoea treatment with oral rehydration therapy (ORT) and continued feeding,45.2
-,Children with ARI symptoms,3.4
3.13,Care-seeking for children with ARI symptoms,67.4
3.14,Antibiotic treatment for children with ARI symptoms,43.8
3.15,Use of solid fuels for cooking,14.8
-,Children with fever,16.2
3.20,Care-seeking for fever,70.8
4.1,Use of improved drinking water sources,96.1
4.2,Water treatment,22.3
4.3,Use of improved sanitation,87.1
4.4,Safe disposal of child’s faeces,16.4
4.5,Place for handwashing,90.4
4.6,Availability of soap or other cleansing agent,82.7
-,Total fertility rate,2.6
5.1,Adolescent birth rate,74
5.2,Early childbearing,17.3
5.3,Contraceptive prevalence rate,51.4
5.4,Unmet need,22.2
5.5a,Antenatal care coverage,97.2
5.5b,Antenatal care coverage,92.6
