0,1,2,3,4,5
Topic,"MICS4
Indicator Number","MDG
Indicator Number",Indicator,Value,
CHILD MORTALITY,,,,,
Child mortality,1.1,4.1,Under-five mortality rate2,27,"per 1,000"
1.2,4.2,Infant mortality rate3,24,"per 1,000",
NUTRITION,,,,,
Nutritional status,,,Underweight prevalence,,
2.1a,1.8,Moderate and Severe (- 2 SD),8.8,per cent,
2.1b,1.8,Severe (- 3 SD),2.4,per cent,
,,Stunting prevalence,,,
2.2a,,Moderate and Severe (- 2 SD),21.1,per cent,
2.2b,,Severe (- 3 SD),8.0,per cent,
,,wasting prevalence,,,
2.3a,,Moderate and Severe (- 2 SD),8.3,per cent,
2.3b,,Severe (- 3 SD),3.5,per cent,
Breastfeeding and infant feeding,2.4,,Children ever breastfed,95.0,per cent
2.5,,Early initiation of breastfeeding,50.3,per cent,
2.6,,Exclusive breastfeeding under 6 months,22.3,per cent,
2.7,,Continued breastfeeding at 1 year,50.1,per cent,
2.8,,Continued breastfeeding at 2 years,68.8,per cent,
2.9,,Predominant breastfeeding under 6 months,64.0,per cent,
2.10,,Duration of breastfeeding,24.5,months,
2.11,,Bottle feeding,56.3,per cent,
2.12,,"Introduction of solid, semi-solid or soft foods",(67.2),per cent,
2.13,,Minimum meal frequency,60.1,per cent,
2.14,,Age-appropriate breastfeeding,39.8,per cent,
2.15,,Milk feeding frequency for non-breastfed children,78.4,per cent,
low birth weight,2.18,,low birth weight infants,13.7,per cent
2.19,,Infants weighed at birth,96.2,per cent,
CHILD HEALTH,,,,,
Vaccinations,3.1,,Tuberculosis immunisation coverage,85.6,per cent
3.2,,Polio immunisation coverage,14.2,per cent,
3.3,4.3,"Immunisation coverage for diphtheria, pertussis
and                    tetanus                    (DPT) Measles, mumps and rubella immunisation coverage",12.5,per cent,
3.4,21.8,per cent,,,
3.5,,Hepatitis B immunisation coverage,14.5,per cent,
Care of illness,3.8,,Oral rehydration therapy with continued feeding,52.1,per cent
3.9,,Care-seeking for suspected pneumonia,79.8,per cent,
3.10,,Antibiotic treatment of suspected pneumonia,74.9,per cent,
Solid fuel use,3.11,,"Solid fuels (used as the primary source
of energy for cooking)",92.2,per cent
WATER AND SANITATION,,,,,
water and sanitation,4.1,7.8,Use of improved drinking water sources,97.4,per cent
4.2,,water treatment,2.7,per cent,
4.3,7.9,Use of improved sanitation,73.1,per cent,
