0,1,2,3,4,5
Mortalité de la petite enfance,,,,,
Indicateur MICS,Indicateur,Description,ValeurA,,
1.1          Quotient de mortalité néonatale,Probabilité de décéder dans le premier mois de vie,28,,,
1.2 OMD 4.2,Quotient de mortalité Infantile,Probabilité de décéder entre la naissance et le premier anniversaire,60,,
1.3 Quotient de mortalité post-néonatale,Différence entre les quotients de mortalité infantile et néonatale,32,,,
1.4              Quotient de mortalité juvénile,Probabilité de décéder entre le premier et le cinquième anniversaire,46,,,
1.5 OMD 4.1,Quotient de mortalité infanto-juvénile,Probabilité de décéder entre la naissance et le cinquième anniversaire,103,,
A La valeur de l’indicateur s’exprime pour 1 000 naissances vivantes et fait référence à la période de 5 ans avant l’enquête,,,,,
Etat Nutritionneli,,,,,
Indicateur MICS,Indicateur,Description,Valeur,,
2.1a,OMD 1.8,Prévalence de l’insuffisance,Pourcentage d’enfants de moins de 5 ans qui se situent,,
,,pondérale,,,
,,Modérée et sévère (-2 SD),,,
,,Sévère (-3 SD),,,
2.1b,,,,,
,,(a) en-dessous de moins 2 écarts-type (modéré et sévère),"14,8",,
,,(b) en-dessous de moins 3 écarts-type (sévère),"4,2",,
,,de la médiane poids-pour-âge du standard de l’OMS,,,
2.2a,Prévalence du retard de croissance,Pourcentage d’enfants de moins de 5 ans qui se situent,,,
,Modérée et sévère (-2 SD),,,,
,Sévère (-3 SD),,,,
2.2b,,,,,
,(a) en-dessous de moins 2 écarts-type (modéré et sévère),"31,7",,,
,(b) en-dessous de moins 3 écarts-type (sévère),"12,9",,,
,de la médiane taille-pour-âge du standard de l’OMS,,,,
2.3a,Prévalence de l’émaciation,Pourcentage d’enfants de moins de 5 ans qui se situent,,,
,Modérée et sévère (-2 SD),,,,
,Sévère (-3 SD),,,,
2.3b,(a) en-dessous de moins 2 écarts-type (modéré et sévère),"5,2",,,
,(b) en-dessous de moins 3 écarts-type (sévère),"1,3",,,
,de la médiane poids-pour-taille du standard de l’OMS,,,,
2.3c,Prévalence de l’obésité,Pourcentage d’enfants de moins de 5 ans qui se situent au-dessus de 2 écarts-type par rapport à la médiane poids-pour-taille du standard de l’OMS,"6,7",,
Allaitement et alimentation des enfants,,,,,
Indicateur,Description,Valeur,,,
MICS Indicateur,,,,,
2.5 Enfants allaités,"Pourcentage de femmes qui ont eu une naissance vivante dans les 2 ans précédant l’enquête et qui ont allaité leur dernier enfant né vivant, à n’importe quel moment","95,8",,,
