0,1,2,3,4,5
Sujet,Numéro Indicateur MICS4,Numéro,Valeur,,
,,Indicateur Indicateur,,,
,,OMD,,,
MORTALITE DES ENFANTS,,,,,
Mortalité,1.1,4.1,Taux de mortalité enfants moins de cinq ans,175,pour mille
des enfants,1.2,4.2,Taux mortalité infantile,106,pour mille
NUTRITION,,,,,
,2.1a,1.8,Prévalence insuffisance pondérale Modérée et grave (- 2 SD),"30,3",pour cent
,,,Grave (- 3 SD),,
,,,Prévalence retard croissance Modéré et grave (- 2 SD),,
,,,Grave (- 3 SD) Prévalence émaciation,,
,,,Modérée et grave (- 2 SD),,
,,,Grave (- 3 SD),,
,2.1b,,"12,9",pour cent,
Etat,2.2a,,"38,7",pour cent,
nutritionnel,2.2b,,"20,9",pour cent,
,2.3a,,"15,7",pour cent,
,2.3b,,"5,9",pour cent,
,2.4,,Enfants jamais allaités,"4,4",pour cent
,2.5,Première expérience de l’allaitement,"29,0",pour cent,
,2.6,Allaitement exclusif des moins de 6 mois,"3,4",pour cent,
,2.7,Poursuite allaitement à 1 an,"88,2",pour cent,
,2.8,Poursuite allaitement à 2 ans,"59,1",pour cent,
Allaitement,2.9,Allaitement prédominant moins de 6 mois,"70,9",pour cent,
et alimentation,2.10,Durée de l’allaitement,"21,9",pour cent,
infantile,2.11,Allaitement au biberon,"5,3",pour cent,
,2.12,"Introduction d’aliments solides, semi-solides ou mous","45,9",pour cent,
,2.13,Fréquence minimum des repas,"30,6",pour cent,
,2.14,Allaitement approprié à l’âge,"39,2",pour cent,
,2.15,Fréquence alimentation lactée pour enfants non allaités au sein,"32,2",pour cent,
Iodation du sel,2.16,,Consommation de sel iodé,"53,8",pour cent
Vitamine A,2.17,,Supplémentation en vitamine A (enfants moins de 5 ans),"97,5",pour cent
Insuffisance,2.18,,Nourrissons de poids insuffisant à la naissance,"19,9",pour cent
pondérale,2.19,Nourrissons pesés à la naissance,"10,8",pour cent,
à la naissance,,,,,
Sujet,Numéro Indicateur MICS4,Numéro,Valeur,,
,,Indicateur Indicateur,,,
,,OMD,,,
SANTE DE L’ENFANT,,,,,
,3.1,,Couverture vaccinale contre la tuberculose,"43,8",pour cent
,3.2,,Couverture vaccinale contre la poliomyélite,"25,0",pour cent
,3.3,,"Couverture vaccinale contre la diphtérie,","15,5",pour cent
Vaccinations,,,la coqueluche et le tétanos (DCTcoq),,
,3.4,4.3,Couverture vaccinale contre la rougeole,36,pour cent
,3.5,,Couverture vaccinale contre l’hépatite B,"11,1",pour cent
,3.6,,Couverture vaccinale contre la fièvre jaune,"25,5",pour cent
Vaccin antitétanique,3.7,,Protection néonatale contre le tétanos,"43,1",pour cent
,3.8,,Thérapie par réhydratation orale avec,"23,1",pour cent
Traitement,,,alimentation continue,,
de la maladie,3.9,,Recours aux soins pour pneumonie suspectée,"26,1",pour cent
,3.10,,Antibiothérapie de pneumonie suspectée,"31,4",pour cent
Utilisation des combustibles solides,3.11,,Combustibles solides,"96,9",pour cent
,3.12,,Disponibilité de moustiquaires imprégnées (MI) dans le ménage,"42,0",pour cent
,3.13,,Enfants de moins de 5 ans dormant sous n’importe quelle moustiquaire,"12,6",pour cent
,3.14,,Enfants de moins de 5 ans dormant sous moustiquaires imprégnées (MI),"9,8",pour cent
