0,1,2,3
Mortalité de la petite enfance,,,
Indicateur MICS,Indicateur,Description,Valeur
1.1             Taux de mortalité néonatale,Probabilité de décéder dans le premier mois de vie,21,
1.2 OMD 4.2,Taux de mortalité Infantile,Probabilité de décéder entre la naissance et le premier anniversaire,36
1.3             Taux de mortalité post- néonatale,Différence entre les taux de mortalité infantile et néonatale,15,
1.4 Taux de mortalité juvénile,Probabilité de décéder entre le premier et le cinquième anniversaire,17,
1.5 OMD 4.1,Taux de mortalité infanto- juvénile,Probabilité de décéder entre la naissance et le cinquième anniversaire,52
A La valeur de l’indicateur s’exprime pour 1000 naissances vivantes et fait référence à la période de 5 ans avant l’enquête,,,
Etat Nutritionneli,,,
Indicateur MICS,Indicateur,Description,Valeur
2.1a OMD 1.8 Prévalence de l’insuffisance Pourcentage d’enfants de moins de 5 ans qui se situent,"12,3",,
b pondéraleModérée et sévère (-2 SD) (a) en-dessous de moins 2 écarts-type (modéré et sévère)Sévère (-3 SD) (b) en-dessous de moins 3 écarts-type (sévère),"3,3",,
Modérée et sévère (-2 SD) (a) en-dessous de moins 2 écarts-type (modéré et sévère),,,
Sévère (-3 SD) (b) en-dessous de moins 3 écarts-type (sévère),,,
de la médiane poids-pour-âge du standard de l’OMS,,,
2.2a,Prévalence du retard de croissance,Pourcentage d’enfants de moins de 5 ans qui se situent,"21,2"
2.2b,Modérée et sévère (-2 SD),en-dessous de moins 2 écarts-type (modéré et sévère),"8,2"
,Sévère (-3 SD),en-dessous de moins 3 écarts-type (sévère),
,,de la médiane taille-pour-âge du standard de l’OMS,
2.3a,Prévalence de l’émaciation,Pourcentage d’enfants de moins de 5 ans qui se situent,"8,2"
2.3b,Modérée et Sévère (-2 SD),en-dessous de moins 2 écarts-type (modéré et sévère),"2,6"
,Sévère (-3 SD),en-dessous de moins 3 écarts-type (sévère),
,,de la médiane poids-pour-taille du standard de l’OMS,
2.3c,Prévalence de l’obésité,Pourcentage d’enfants de moins de 5 ans qui se situent au-dessus de 2 écarts-type par rapport à la médiane poids-pour-taille du standard de l’OMS,"5,9"
Allaitement et alimentation des enfants,,,
Indicateur,Description,Valeur,
MICS Indicateur,,,
2.5 Enfants allaités,"Pourcentage de femmes qui ont eu une naissance vivante dans les 2 ans précédant l’enquête et qui ont allaité leur dernier enfant né vivant, à n’importe quel moment","96,5",
2.6 Initiation précoce de,Pourcentage de femmes qui ont eu une naissance vivante dans les 2 dernières années qui ont allaité leur dernier nouveau-né dans la première heure après la naissance,"25,3",
l’allaitement,,,
2.7             Allaitement exclusif des moins de 6 mois,Pourcentage de nourrissons de moins de 6 mois qui sont exclusivement allaités ii,"32,9",
2.8                  Allaitement prédominant des moins de 6 mois,Pourcentage de nourrissons de moins de 6 mois qui ont reçu l’allaitement maternel comme source prédominante d’alimentation durant le jour précédentiii,"61,9",
2.9 Allaitement continu à 1 an,Pourcentage d’enfants de 12-15 mois qui ont été allaités durant le jour précédent,"62,1",
2.10 Allaitement continu à 2 ans,Pourcentage d’enfants de 20-23 mois qui ont été allaités durant le jour précédent,"11,2",
2.11 Durée médiane de,Age en mois où 50 pour cent d’enfants de 0-35 mois n’ont,"15,0",
l’allaitement,pas été allaités au sein maternel le jour précédent,,
2.12 Allaitement approprié,Pourcentage d’enfants de 0-23 mois qui ont été nourris de façon adéquate iv le jour précédent,"44,0",
selon l’âge,,,
"2.13       Introduction d’aliments solides, semi-solides ou mous","Pourcentage de nourrissons de 6-8 mois qui ont reçu des aliments solides, semi-solides ou mous pendant le jour précédent","84,0",
2.14            Fréquence des repas lactés pour les enfants non allaités,Pourcentage d’enfants de 6-23 mois non allaités qui ont reçu au moins 2 repas lactés durant le jour précédent,"39,0",
2.15           Fréquence minimum des repas,"Pourcentage d’enfants de  6-23 mois qui ont reçu des aliments solides, semi-solides ou mous (plus des repas lactés pour les enfants non-allaités) le nombre minimum de foisv ou plus durant le jour précédent","28,0",
2.16 Diversité minimum alimentaire,Pourcentage d’enfants de 6–23 mois qui ont reçu des aliments de 4 ou plus groupes d’aliments durant le jour précédent vi,"24,1",
2.17a Régime alimentaire,Pourcentage d’enfants de 6-23 mois allaités qui ont reçu au moins la diversité alimentaire minimum et la fréquence minimum des repas durant le jour précédent,"4,6",
2.17b minimum acceptable,"Pourcentage d’enfants de 6-23 mois non allaités qui ont reçu au moins 2 repas lactés et qui ont reçu la diversité alimentaire minimum, lait non inclus et la fréquence minimum des repas durant le jour précédent","6,8",
2.18 Alimentation au biberon,Pourcentage d’enfants de 0-23 mois qui ont pris un biberon durant le jour précédent,"16,4",
Iodation du sel,,,
Indicateur MICS,Indicateur Description,Valeur,
2.19,Consommation de sel iodé Pourcentage de ménages avec du sel testé à 15 parts par,"85,5",
,million ou plus d’iodide,,
Faibles poids à la naissance,,,
Indicateur MICS,Indicateur,Description,Valeur
2.20,Nourrissons de faible poids à la naissance,Pourcentage de naissances vivantes les plus récentes dans les 2 dernières années qui pèsent moins de 2500 g à la naissance,"10,2"
2.21,Nourrissons pesés à la naissance,Pourcentage de naissances vivantes les plus récentes dans les 2 dernières années qui ont été pesées à la naissance,"90,2"
Vaccinations,,,
Indicateur MICS,Indicateur,Description,Valeur
3.1                                Couverture vaccinale de la tuberculose,Pourcentage d’enfants de 12-23 mois qui ont reçu le vaccin du BCG avant leur premier anniversaire,"90,8",
3.2                                Couverture vaccinale de la Polio,Pourcentage d’enfants de 12-23 mois qui ont reçu la troisième dose du vaccin contre la Polio (Polio3) avant leur premier anniversaire,"45,8",
"3.3                                Couverture vaccinale de la Diphtérie, Tétanos et Coqueluche (DTCoq)vii",Pourcentage d’enfants de 12-23 mois qui ont reçu la troisième dose du vaccin contre le DTCoq (DTCoq 3) avant leur premier anniversaire,"66,3",
3.4 OMD 4.3,Couverture vaccinale de la rougeole,Pourcentage d’enfants de 12-23 mois qui ont reçu le vaccin contre la rougeole avant leur premier anniversaire,"62,5"
3.5 Couverture vaccinale de,Pourcentage d’enfants de 12-23 mois qui ont reçu la troisième dose du vaccin contre l’Hépatite B (HepB3) avant leur premier anniversaire,"55,6",
l’Hépatite B,,,
3.6           Couverture vaccinale de Haemophilus Influenzae type B (Hib),Pourcentage d’enfants de 12-23 mois qui ont reçu la troisième dose du vaccin contre l’Haemophilus influenzae type B (Hib3) avant leur premier anniversaire,"56,8",
3.S1viii,Couverture vaccinale de la pneumonie,Pourcentage d’enfants de 12-23 mois qui ont reçu la troisième dose du vaccin PCV 3 contre la pneumonie avant leur premier anniversaire,"44,9"
3.7                                Couverture vaccinale de la fièvre jaune,Pourcentage d’enfants de 12-23 mois qui ont reçu le vaccin contre la fièvre jaune avant leur premier anniversaire,"49,6",
3.8                  Couverture vaccinale complète,Pourcentage d’enfants de 12-23 mois qui ont reçu toutesix les vaccinations recommandées par le programme national de vaccination avant leur premier anniversaire et rougeole avant le deuxième anniversaire.,"16,8",
Vaccination anti-tétanique,,,
Indicateur MICS Indicateur,Description,Valeur,
3.9                       Protection contre le tétanos néonatal,Pourcentage de femmes de 15-49 ans avec une naissance vivante dans les 2 dernières années qui ont reçu au moins deux doses de vaccin antitétanique dans l’intervalle de temps approprié avant la naissance la plus récente,"75,3",
Diarrhée,,,
Indicateur MICS Indicateur,Description,Valeur,
- Enfants avec diarrhée,Pourcentage d’enfants de moins de 5 ans avec diarrhée dans les 2 dernières semaines,"17,4",
3.10                          Recherche de soins pour la diarrhée,Pourcentage d’enfants de moins de 5 ans avec diarrhée dans les 2 dernières semaines pour qui des conseils ou un traitement ont été recherchés auprès d’une structure/prestataire de santé,"32,2",
3.11 Traitement de la,Pourcentage d’enfants de moins de 5 ans avec diarrhée,"7,8",
diarrhée avec solution,dans les 2 dernières semaines qui ont reçu du SRO et du,,
de réhydratation orale,zinc,,
(SRO) et zinc,,,
3.12                              Traitement de la diarrhée avec thérapie de réhydratation orale (TRO) et alimentation continue,"Pourcentage d’enfants de moins de 5 ans qui ont eu la diarrhée dans les 2 dernières semaines qui ont reçu une TRO (sachet de SRO, liquides SRO pré emballés, liquides- maison recommandés ou plus de liquides) et qui ont continué à être alimentés durant l’épisode de diarrhée","42,2",
Symptômes d’Infection Respiratoire Aigüe (IRA),,,
Indicateur,Description,Valeur,
MICS Indicateur,,,
- Enfants avec,Pourcentage d’enfants de moins de 5 ans avec symptômes,"5,9",
symptômes d’IRA,d’IRA dans les 2 dernières semaines,,
3.13                       Recherche de soins pour enfants avec symptômes d’IRA,Pourcentage d’enfants de moins de 5 ans avec symptômes d’IRA dans les 2 dernières semaines pour qui des conseils ou un traitement ont été recherchés auprès d’une structure/agent de santé,"28,2",
3.14                       Traitement antibiotique pour enfants avec symptômes d’IRA,Pourcentage d’enfants de moins de 5 ans avec symptômes d’IRA dans les 2 dernières semaines qui ont reçu des antibiotiques,"28,1",
Utilisation de combustible solide,,,
Indicateur,,,
MICS Indicateur Description Valeur,,,
"3.15                  Utilisation de                  Pourcentage de membres de ménages dans les ménages                  61,7 combustible solide pour qui utilisent un combustible solide comme source première",,,
cuisine d’énergie domestique pour cuisiner,,,
Paludisme /Fièvre,,,
Indicateur,Description,Valeur,
MICS Indicateur,,,
- Enfants avec fièvre,Pourcentage d’enfants de moins de 5 ans avec fièvre dans,"29,8",
,les deux dernières semaines,,
3.16a Disponibilité de,Pourcentage de ménages avec :,,
3.16b Moustiquaires,(a) au moins une MII,"66,1",
Imprégnées d’Insecticide,(b) au moins une MII pour chaque deux personnes,"36,7",
(MII) dans les ménagesx,,,
3.18 OMD 6.7 Enfants de moins de 5,Pourcentage d’enfants de moins de 5 ans qui ont dormi,"60,5",
ans dormant sous MII,sous MII la nuit précédente,,
3.19                         Population dormant sous MII,Pourcentage de membres des ménages qui ont dormi sous MII la nuit précédente,"59,7",
3.20                            Recherche de soins pour la fièvre,Pourcentage d’enfants de moins de 5 ans avec fièvre dans les 2 dernières semaines pour qui des conseils ou un traitement ont été recherchés auprès d’une structure/agent de santé,"50,7",
3.21               Utilisation des tests de diagnostic de paludisme,Pourcentage d’enfants de moins de 5 ans avec fièvre dans les 2 dernières semaines et qui ont eu un test de paludisme au doigt ou au talon,"29,7",
3.22 OMD 6.8 Traitement antipaludéen,Pourcentage d’enfants de moins de 5 ans avec fièvre dans les 2 dernières semaines qui ont reçu n’importe quel traitement antipaludéen,"34,4",
des enfants de moins de 5 ans,,,
3.23                 Traitement à base d’Artémisinine Combinée (ACT) parmi les enfants qui ont reçu un traitement antipaludéen,Pourcentage d’enfants de moins de 5 ans qui ont eu de la fièvre dans les 2 dernières semaines qui ont reçu une ACT (ou autre traitement de première ligne en accord avec la politique nationale),"37,0",
3.24               Femmes enceintes dormant sous MII,Pourcentage de femmes enceintes qui ont dormi sous MII la nuit précédente,"60,3",
3.25          Traitement préventif intermittent contre le paludisme durant la grossesse,"Nombre de femmes 15-49 ans qui ont reçu 3 doses ou plus de SP/Fansidar, dont au moins une a été reçue lors d’une visite prénatale, durant leur dernière grossesse ayant abouti à une naissance vivante dans les 2 dernières années","12,2",
Eau et assainissement,,,
Indicateur MICS,Indicateur,Description,Valeur
4.1 OMD Utilisation de sources d’eau de,Pourcentage de membres de ménages utilisant des,"84,4",
7.8 boisson améliorées,sources d’eau de boisson améliorées,,
4.2 Traitement de l’eau,Pourcentage de membres des ménages dans les ménages utilisant de l’eau de sources non améliorées qui utilisent une méthode de traitement appropriée,"3,0",
4.3 OMD Utilisation de toilettes,Pourcentage de membres des ménages utilisant des toilettes améliorées qui ne sont pas partagées,"23,7",
7.9 améliorées,,,
4.4 Évacuation hygiénique des,Pourcentage d’enfants de 0-2 ans dont les dernières selles ont été évacuées de façon hygiénique,"62,8",
excréments d’enfants,,,
