0,1,2,3,4,5
MORTALITE DES ENFANTS,,,,,
Mortalité des enfants,"1
2","4
4","Taux de mortalité des enfants de moins de S ans
Taux de mortalité infantile","158
97",pour mille pour mille
NUTRITION,,,,,
Etat nutritionnel,,,"Enfants de moins de 5 ans souffrant d'insuffisance pondérale (Poids/âge)
Modérée et sévère (-2 ET) Sévère (-3 ET)
Enfants de moins de 5 ans souffrant de retard de croissance (Taille/âge)
Modérée et sévère (-2 ET) Sévère (-3 ET)
Enfants de moins de 5 ans souffrant d'émaciation (Poids/Taille)
Modérée et sévère (-2 ET) Sévère (-3 ET)
Enfants de moins de 5 ans souffrant de malnutrition aiguë globale (Poids/Taille + Œdèmes)
Modérée et sévère (-2 ET) Sévère (-3 ET)",,
des enfants,,,,,
,2.1a,,1,"24,2",pour cent
,2.lb,,"8,4",pour cent,
,2.2a,,"43,4",pour cent,
,2.2b,,"22,2",pour cent,
,2.3a,,"8,5",pour cent,
,2.3b,,"2,8",pour cent,
,2.3c,,"10,7",pour cent,
,2.3d,,"5,2",pour cent,
Allaitement et,2.4,,Enfants allaités,"97,8",pour cent
alimentation de complément,"2.5
2.6",,"Initiation à l'allaitement
Enfants de moins de 6 mois exclusivement","42,5",pour cent
,,,allaités au sein,"37,0",pour cent
,2.7,,Enfants de 12-15 mois encore allaités au sein,"86,6",pour cent
,2.8,,Enfants de 20-23 mois encore allaités au sein,"52,5",pour cent
,2.9,,Prédominance de l'allaitement chez les,,
,,,moins de 6 mois,"65,8",pour cent
,2.10,,Durée médiane de l'allaitement,"20,8",mois
,2.11,,Utilisation du biberon,"3,2",pour cent
,2.12,,Enfants de 6-8 mois qui ont reçu des,,
,,,"alim.ents solides,semi-solides ou de la",,
,,,bouillie lejour précédent,"51,5",pour cent
,2.13,,Enfants de 6-23 mois qui ont reçu des,,
,,,"alim.ents solides,semi-solides ou des",,
,,,bouillies le nombre minimum de fois ou,,
,,,plus lejour précédant l'enquête,"21,5",pour cent
,2.14,,Enfants de 0-23 mois nourris de façon,,
,,,"adéquate selon l'âge,lejour précédant",,
,,,l'enquête,"50,0",pour cent
,2.15,,Fréquence de prise de lait pour les enfants,,
,,,non allaités,"11,6",pour cent
Iodation du sel,2.16,,Ménages consommant du sel adéquatement iodé (15 ppm ou plus),"58,6",pour cent
Supplémentation en vitamine A,2.17,,Enfants de 6-59 mois qui ont reçu une dose élevée de Vitamine A au cours des 6 denùers mois,"82,1",pour cent
Faiblepoids à la naissance,"2.18
2.19",,"Naissances vivantes survenues dans les 2 ans précédant l'enquête qui pesaient moins de 2 500 g à la naissance
Naissances vivantes survenues dans les 2 ans précédant l'enquête qui ont été pesées à la naissance","9,5
69,5","pour cent
pour cent"
SANTE DE L'ENFANT,,,,,
Vaccinations,3.1,,Enfants de 12-23 mois vaccinés contre la,,
,,,tuberculose avant leur 1er anniversaire,"83,9",pour cent
,3.2,,Enfants de 12-23 mois ayant reçu les 3 doses,,
,,,de polio avant leur 1er anniversaire,"58,3",pour cent
,3.3,,Enfants de 12-23 mois ayant reçu les 3 doses,,
,,,de DTCoq avant leur 1er anniversaire,"61,2",pour cent
,3.4,,4,Enfants de 12-23 mois vaccinés contre la,
,,,rougeole avant leur 1er anniversaire,"67,0",pour cent
,3.5,,Enfants de 12-23 mois ayant reçu les 3 doses,,
,,,d'hépatite B avant leur premier anniversaire,"49,1",pour cent
,3.6a,,Enfants de 12-23 mois vaccinés contre la,,
,,,fièvre jaune avant leur premier anniversaire,"64,7",pour cent
,3.6b,,Enfants de 12 -23 mois complètement,,
,,,vaccinés avant leur 1er anniversaire,"41,5",pour cent
Protection contre le tétanos néonatal,3.7,,Femmes de 15-49 ans ayant eu une naissancevivante dans les 2 ans précédant l'enquête qui sont protégées contre le tétanos néonatal,"63,8",pour cent
Soin des,3.8,,Enfants de moins de 5 ans qui ont reçu une,,
maladies,,,1RO et qui ont continué à être alimentés,,
,,,durant l'épisode de diarrhée,"39,3",pour cent
,3.9,,Enfants de moins de 5 ans avec suspicion de,,
,,,pneumonie qui ont été emmenés dans un,,
,,,service de santé approprié,"40,3",pour cent
,3.10,,Enfants de moins de 5 ans avec suspicion de,,
,,,pneumonie qui ont reçu des antibiotiques,"42,2",pour cent
Utilisation des combustibles solides,3.11,,Ménages qui utilisent un combustiblesolide comm.e source première d'énergie domestique pour la cuisine,"97,1",pour cent
Paludisme,3.12,,Ménages disposant d'au moins une,,
,,,moustiquaire imprégnée d'insecticide,"51,0",pour cent
,3.14,,Enfants de moins de 5 ans qui ont dormi,,
,,,sous moustiquaire la nuit précédant,,
,,,l'enquête,"39,1",pour cent
