0,1,2,3,4,5
Numéro,Numéro Indicate,Valeur,,,
Rubrique        Indicateur MICS,ur Indicateur,,,,
,OMD,,,,
NUTRITION,,,,,
Etat nutritionnel,6,4,Prévalence de l’insuffisance pondérale,20,pour cent
,7,,Prévalence du retard de croissance,34,pour cent
,8,,Prévalence de l’émaciation,7,pour cent
Allaitement,45,,Initiation à l’allaitement commencée à temps Taux d’allaitement exclusif (< 6 mois),25,pour cent
,,,Taux d’allaitement continu à 12-15 mois,,
,,,à 20-23 mois,,
,,,Taux d’alimentation de complément commencée à temps Fréquence d’alimentation de complément,,
,,,Enfants de 0-11 mois nourris de façon appropriée,,
maternel,15,4,pour cent,,
,16,87,pour cent,,
,,37,pour cent,,
,17,54,pour cent,,
,18,40,pour cent,,
,19,23,pour cent,,
Vitamine A,42,,Apport en Vitamine A (Enfants de 6-59 mois),55,pour cent
,43,Apport en Vitamine A (mères durant le post-partum),39,pour cent,
Faible poids à la,9,,Naissances vivantes avec un faible poids,17,pour cent
naissance,10,Enfants pesés à la naissance,59,pour cent,
SANTE INFANTILE,,,,,
Vaccination,25,,Couverture vaccinale contre la tuberculose (BCG),85,pour cent
,26,,Couverture vaccinale contre la polio,81,pour cent
,27,,Couverture vaccinale contre la DTCHépB,79,pour cent
,28,15,Couverture vaccinale contre la rougeole,84,pour cent
,31,,Enfants entièrement vaccinés,75,pour cent
,30,,Couverture vaccinale contre la fièvre jaune,83,pour cent
Anatoxine tétanique,32,,Protection contre le tétanos néonatal,67,pour cent
Soins aux enfants malades,33,,Utilisation de la Thérapie de Réhydratation par voie Orale (TRO),33,pour cent
,34,Prise en charge de la diarrhée à domicile,33,pour cent,
,35,"Enfants ayant eu la diarrhée qui ont reçu une TRO, davantage de liquides, et qui ont continué à manger",45,pour cent,
,23,Recherche de soins auprès d’un Prestataire approprié pour une IRA suspectée,35,pour cent,
,22,Traitement aux antibiotiques des enfants suspectés d’IRA,19,pour cent,
Utilisation de combustible solide,24,29,Utilisation de combustibles solides pour la cuisine,86,pour cent
Paludisme,36,,Possession par les ménages de moustiquaires imprégnées (MI),10,pour cent
,37,22,Enfants de moins de 5 ans qui ont dormi sous une moustiquaire imprégnée (MI),3,pour cent
,38,,Enfants de moins de 5 ans qui ont dormi sous une moustiquaire,17,pour cent
,39,22,Traitement anti-paludéen (Enfants de moins de 5 ans),26,pour cent
,40,,Traitement préventif par intermittence du paludisme au cours de la grossesse (femmes enceintes),8,pour cent
Rubrique,Numéro Indicateur MICS,Numéro Indicate ur,Indicateur,,Valeur
,,OMD,,,
Sources et coûts des moustiquaires imprégnées et des médicaments,96,,Source d’approvisionnement (sources publiques) Moustiquaires imprégnées,37,pour cent
,97,,Anti-paludéens Antibiotiques,,
,,,Sel de Réhydratation Orale (SRO) Coût d’approvisionnement moyen Moustiquaires imprégnées,,
,,,sources publiques sources privées,,
,,,Anti-paludéens,,
,,,sources publiques sources privées,,
,,,Antibiotiques,,
,,,sources publiques sources privées,,
,,,Sel de Réhydratation Orale (SRO) sources publiques,,
,,,sources privées,,
39,pour cent,,,,
59,pour cent,,,,
69,pour cent,,,,
3500,francs CFA,,,,
5000,francs CFA,,,,
1800,francs CFA,,,,
1930,francs CFA,,,,
1600,francs CFA,,,,
2386,francs CFA,,,,
268,francs CFA,,,,
1095,francs CFA,,,,
ENVIRONNEMENT,,,,,
Eau et,11,30,Utilisation des sources d’eau à boire améliorées,76,pour cent
Assainissement,13,,Traitement de l’eau,6,pour cent
,12,31,Utilisation d’installations sanitaires appropriées,57,pour cent
,14,,Elimination des excreta des enfants de moins de 3 ans,43,pour cent
Sécurité de la,Uniquement dans les quartiers précaires des villes d’Abidjan et de San-Pédro,,,,
propriété et,93,,Ménages n’ayant pas de sécurité de logement,81,pour cent
durabilité du,94,,Logement non durable,9,pour cent
,95,32,Ménages vivant dans un logement précaire,93,pour cent
SANTE DE LA REPRODUCTION,,,,,
Contraception et,21,19c,Prévalence de la contraception,13,pour cent
besoins non,98,,Besoins non satisfaits en matière de planification familiale Demande couverte en matière de planification familiale,29,pour cent
satisfaits,99,,,31,pour cent
Santé des mères et des nouveau-nés,20,17,Soins prénatals fournis par un personnel de santé qualifié Contenu des soins prénatals,85,pour cent
,44,,Test sanguin Contrôle de tension Prélèvement d’urines Contrôle de poids,,
,4,,Assistance à l’accouchement par un personnel de santé qualifié,,
,5,,Accouchement dans un centre de santé,,
47,pour cent,,,,
81,pour cent,,,,
71,pour cent,,,,
83,pour cent,,,,
57,pour cent,,,,
54,pour cent,,,,
DEVELOPPEMENT DE L’ENFANT,,,,,
Développement de l’enfant,46,,Soutien à l’apprentissage,37,pour cent
,47,,Soutien du père à l’apprentissage,,
,48,,Soutien à l’apprentissage : Livres illustrés pour enfants Soutien à l’apprentissage : 3 livres scolaires ou plus Soutien à l’apprentissage : matériels ludiques,,
,49,,Garde inadéquate de l’enfant (laissé seul ou confié à un non- adulte),,
,50,,,,
,51,,,,
42,pour cent,,,,
5,pour cent,,,,
33,pour cent,,,,
19,pour cent,,,,
59,pour cent,,,,
Rubrique,Numéro Indicateur MICS,Numéro Indicate,Valeur,,
,,ur Indicateur,,,
,,OMD,,,
EDUCATION,,,,,
Éducation,52,,Fréquentation dans le préscolaire Prédisposition pour la scolarisation,6,pour cent
,,,Taux net d’inscription en 1ère année du cycle primaire (CP1),,
,,,Taux net de fréquentation du cycle primaire Taux net de fréquentation du cycle secondaire Enfants atteignant la classe de CM1,,
,,,Taux de passage au cycle secondaire Taux d’achèvement des études primaires Indice de parité des sexes,,
,,,Enseignement primaire Enseignement secondaire,,
,53,,4,pour cent,
,54,,27,pour cent,
,55,6,55,pour cent,
,56,,24,pour cent,
,57,7,52,pour cent,
,58,,56,pour cent,
,59,7b,17,pour cent,
,61,9,,,
,,,"0,88",ratio,
,,,"0,71",ratio,
Alphabétisation,60,8,Taux d’alphabétisation chez les femmes de 15-24 ans,40,pour cent
PROTECTION DE,L’ENFANT,,,,
Enregistrement des naissances,62,,Enregistrement des naissances,55,pour cent
Travail des enfants,71,,Travail des enfants,35,pour cent
,72,Travailleurs élèves,48,pour cent,
,73,Élèves travailleurs,32,pour cent,
Discipline de l’enfant,74,,Discipline de l’enfant,90,pour cent
,,,Toute punition psychologique/physique,,
Excision/,66,,Approbation de l’excision/MGF,20,pour cent
Mutilation génitale,63,Prévalence de l’excision/Mutilation génitale féminine (E/MGF),36,pour cent,
féminine,,,,,
,64,Prévalence de la forme extrême d’excision/MGF,5,pour cent,
,65,Prévalence de l’excision/MGF chez les filles,10,pour cent,
Violence conjugale,100,,Attitudes favorables à la violence conjugale,65,pour cent
"VIH/SIDA, ET ENFANTS ORPHELINS ET VULNERABLES",,,,,
Connaissances et dépistage du,90,,Informations sur la prévention du VIH lors des visites prénatales,33,pour cent
VIH/SIDA,91,Dépistage pour la prévention de la transmission mère- enfant du VIH,11,pour cent,
Soutien aux,75,,Prévalence d’orphelins,9,pour cent
enfants orphelins,78,Dispositions relatives à la garde des enfants,21,pour cent,
et vulnérables,,,,,
