0,1,2,3,4
lactancia y aliMentación de infantes,,,,
Indicador MICS,Indicador,Descripción,Valor,
2.5,Niños y niñas,Porcentaje de mujeres con un nacido vivo en los últimos,91.2,
,amamantados alguna vez,2 años que amamantaron a su último hijo nacido vivo,,
,,en cualquier momento.,,
2.6,Iniciación temprana de la,Porcentaje de mujeres con un nacido vivo en los últimos,38.1,
,lactancia materna,2 años que dio de lactar a su último nacido vivo dentro,,
,,de la primera hora después de nacer.,,
2.7,Lactancia exclusiva en,Porcentaje de infantes menores de 6 meses que son,4.7,
,menores de 6 meses,amamantados exclusivamentei.,,
2.8,Lactancia predominante,Porcentaje de infantes menores de 6 meses que,14.2,
,en menores de 6 meses,recibió leche materna como fuente predominante de,,
,,alimentación durante el día anteriorii.,,
2.9,Lactancia continuada en,Porcentaje de niños y niñas de 12 a 15 meses que,31.2,
,niños y niñas de 1 año,recibió leche materna durante el día anterior.,,
2.10,Lactancia continua en,Porcentaje de niños y niñas de 20 a 23 meses que,12.4,
,niños y niñas de 2 años,recibió leche materna durante el día anterior.,,
2.11,Duración mediana de la,La edad en meses cuando 50 por ciento de los niños y,7.3,
,lactancia,niñas de 0 a 35 meses no recibió leche materna el día,,
,,anterior.,,
2.12,Lactancia materna,Porcentaje de niños y niñas de 0 a 23 meses alimentados,21.5,
,adecuada para la edad,adecuadamente el día anterioriii.,,
2.13,"Introducción de alimentos sólidos, semisólidos o blandos","Porcentaje de infantes de 6 a 8 meses que recibió alimentos sólidos, semisólidos o blandos el día anterior.",80.5,
2.14,Frecuencia de alimentos,Porcentaje de niños y niñas no amamantados de 6 a,86.2,
,lácteos para niños y niñas,23 meses que recibió al menos dos alimentos lácteos,,
,no amamantados,el día anterior.,,
2.15,Frecuencia mínima de,Porcentaje de niños y niñas de 6 a 23 meses que recibió,78.7,
,comidas,"alimentos sólidos, semisólidos y blandos (además de",,
,,alimentos lácteos para niños y niñas no amamantados),,
,,el número mínimo de veces o másiv el día anterior.,,
2.16,Diversidad alimentaria,Porcentaje de niños y niñas de 6 a 23 meses que recibió,68.5,
,mínima,alimentos de cuatro o más grupos de alimentos el día,,
,,anteriorv.,,
2.17a,Dieta mínima aceptable,(a) Porcentaje de niños y niñas de 6 a 23 meses,40.6,
2.17b,,amamantados que recibió al menos la diversidad,,
,,alimentaria mínima y la frecuencia mínima de comidas,,
,,el día anterior.,,
,,(b) Porcentaje de niños y niñas de 6 a 23 meses no,47.1,
,,amamantados que recibió al menos dos alimentos,,
,,lácteos y tuvo al menos la diversidad alimentaria mínima,,
,,sin incluir alimentos lácteos y la frecuencia mínima de,,
,,comidas el día anterior.,,
2.18,Alimentación con biberón,Porcentaje de niños y niñas de 0 a 23 meses que fue,86.7,
,,alimentado con un biberón el día anterior.,,
salud del ni,ño y la niña,,,
Vacunas,,,,
Indicador MICS,Indicador,Descripción,Valor,
3.1,Cobertura de inmunización,Porcentaje de niños y niñas de 12 a 23 meses,93.9,
,contra la tuberculosis,que recibió la vacuna BCG al cumplir un año.,,
3.2,Cobertura de inmunización,Porcentaje de niños y niñas de 12 a 23 meses,71.2,
,contra la poliomielitis,que recibió la tercera dosis de vacuna anti,,
,,poliomielítica oral (OPV3) al cumplir un año.,,
3.3,Cobertura de inmunización,Porcentaje de niños y niñas de 12 a 23 meses,63.6,
,"contra la difteria, la tos ferina",que recibió la tercera dosis de vacuna contra,,
,y el tétanos,"la difteria, la tos ferina y el tétanos (DPT3) al",,
,,cumplir un año.,,
3.4 ODM 4.3,Cobertura de inmunización,Porcentaje de niños y niñas de 24 a 35 meses,77.3,
,contra el sarampión,que recibió la vacuna contra la rubéola al cumplir,,
,,1 año.,,
3.5,Cobertura de inmunización,Porcentaje de niños y niñas de 12 a 23 meses,61.4,
,contra la Hepatitis B,que recibió la tercera dosis de vacuna contra la,,
,,hepatitis B (HepB3) al cumplir un año.,,
3.6,Cobertura de inmunización,Porcentaje de niños y niñas de 12 a 23 meses,59.8,
,contra la Haemophilus,que recibió la tercera dosis de vacuna Hib (Hib3),,
,influenzae tipo B (Hib),al cumplir un año.,,
3.8,Cobertura de inmunización,Porcentaje de niños y niñas de 24 a 35 meses,41.7,
,completa,que recibió todasvi las vacunas recomendadas,,
