0,1,2,3,4
MICS Indicator Indicator,Description,Value,,
NUTRITION,,,,
Nutritional status,,,,
,MDG,Underweight prevalence,Percentage of children under age 5 who fall below,
,,,minus two standard deviations (moderate and severe),
,,,minus three standard deviations (severe),
,,,of the median weight for age of the WHO standard,
2.1a,1.8,(a) Moderate and Severe (-2 SD),,
,,,5.4,
2.1b,,(b) Severe (-3 SD),,
,,,2.1,
,,Stunting prevalence,Percentage of children under age 5 who fall below,
2.2a,,(a) Moderate and Severe (-2 SD),(a) minus two standard deviations (moderate and,
,,,severe),21.7
2.2b,,(b) Severe (-3 SD),(b) minus three standard deviations (severe),
,,,of the median height for age of the WHO standard,8.8
,,Wasting prevalence,Percentage of children under age 5 who fall below,
2.3a,,(a) Moderate and Severe (-2 SD),(a) minus two standard deviations (moderate and,
,,,severe),2.7
2.3b,,(b) Severe (-3 SD),(b) minus three standard deviations (severe),
,,,of the median weight for height of the WHO standard,1.3
2.4,,Overweight prevalence,Percentage of children under age 5 who are above two standard deviations of the median weight for height of the WHO standard,17.1
Breastfeeding and infant feeding,,,,
2.5 Children ever breastfed,Percentage of ever-married women with a live birth in the last 5 years who breastfed their last live-born child at any time4,96.9,,
2.6 Early initiation of breastfeeding,Percentage of ever-married women with a live birth in the last 5 years who put their last new-born to the breast within one hour of birth3,35.8,,
2.7            Exclusive breastfeeding under 6 months,Percentage of infants under 6 months of age who are exclusively breastfedi,45.4,,
2.8               Predominant breastfeeding under 6 months,Percentage of infants under 6 months of age who received breast milk as the predominant source of nourishmentii during the previous day,67.1,,
2.9                  Continued breastfeeding at 1 year,Percentage of children age 12-15 months who received breast milk during the previous day,79.6,,
2.10              Continued breastfeeding at 2 years,Percentage of children age 20-23 months who received breast milk during the previous day,20.4,,
MICS                 Indicator                     Description Indicator,Value,,,
2.11 Duration of breastfeeding The age in months when 50 percent of children age 0-,18.2,,,
35 months did not receive breast milk during the previous day,,,,
2.12 Age-appropriate breastfeeding Percentage of children age 0-23 months appropriately,56.6,,,
fediii during the previous day,,,,
"2.13                       Introduction of solid, semi-solid         Percentage of infants age 6-8 months who received or soft foods solid, semi-solid or soft foods during the previous day",78.6,,,
2.14        Milk feeding frequency for non-        Percentage of non-breastfed children age 6-23 months breastfed children who received at least 2 milk feedings during the,31.7,,,
previous day,,,,
Nutritional status,,,,
2.15 Minimum meal frequency Percentage of children age 6-23 months who received,61.6,,,
"solid, semi-solid and soft foods (plus milk feeds for non-breastfed children) the minimum number of timesiv or more during the previous day",,,,
2.16 Minimum dietary diversity Percentage of children age 6–23 months who received,53.6,,,
foods from 4 or more food groupsv during the previous day,,,,
2.17a Minimum acceptable diet (a) Percentage of breastfed children age 6–23 months,34.6,,,
who had at least the minimum dietary diversity and the minimum meal frequency during the previous day,19.9,,,
2.17b                                                                                (b) Percentage of non-breastfed children age 6–23 months who received at least 2 milk feedings and had at least the minimum dietary diversity not including milk feeds and the minimum meal frequency during the previous day,,,,
2.18                       Bottle feeding                                  Percentage of children age 0-23 months who were fed with a bottle during the previous day,15.8,,,
Low-birth weight,,,,
2.20 Low-birth weight infants Percentage of most recent live births in the last 5 years,23.0,,,
"weighing below 2,500 grams at birth5",,,,
2.21 Infants weighed at birth Percentage of most recent live births in the last 5 years,62.6,,,
who were weighed at birth4,,,,
CHILD HEALTH,,,,
Vaccinations,,,,
3.1              Tuberculosis immunization              Percentage of children age 12-23 months who coverage received BCG vaccine by their first birthday,91.1,,,
3.2 Polio immunization coverage Percentage of children age 12-23 months who,97.3,,,
received the third dose of OPV vaccine (OPV3) by their first birthday,,,,
"3.3 Diphtheria, pertussis and tetanus Percentage of children age 12-23 months who",96.1,,,
(DPT) immunization coverage received the third dose of DPT vaccine (DPT3) by their,,,,
first birthday,,,,
MICS                 Indicator                     Description Indicator,Value,,,
3.4 MDG Measles immunization coverage Percentage of children age 24-35 months who,95.5,,,
4.3 received measles vaccine by their second birthday,,,,
3.5         Hepatitis B immunization coverage,Percentage of children age 12-23 months who received the third dose of Hepatitis B vaccine (HepB3) by their first birthday,95.1,,
3.8 Full immunization coverage,Percentage of children age 24-35 months who received allvi vaccinations recommended in the national immunization schedule by their first birthday (measles by their second birthday),82.0,,
Tetanus toxoid6,,,,
3.9 Neonatal tetanus protection,Percentage of ever-married women age 15-49 years with a live birth in the last 5 years who were given at least two doses of tetanus toxoid vaccine within the appropriate interval prior to the most recent birth,84.8,,
Diarrhoea,,,,
3.10 Care-seeking for diarrhoea,Percentage of children under age 5 with diarrhoea in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,49.7,,
3.11     Diarrhoea treatment with oral rehydration salts (ORS) and zinc,Percentage of children under age 5 with diarrhoea in the last 2 weeks who received ORS and zinc,4.1,,
3.12   Diarrhoea treatment with oral rehydration therapy (ORT) and continued feeding,"Percentage of children under age 5 with diarrhoea in the last 2 weeks who received ORT (ORS packet, pre- packaged ORS fluid, recommended homemade fluid or increased fluids) and continued feeding during the episode of diarrhoea",17.2,,
Acute Respiratory Infection (ARI) symptoms,,,,
3.13                  Care-seeking for children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,64.4,,
3.14                Antibiotic treatment for children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks who received antibiotics,59.6,,
Solid fuel use,,,,
3.15 Use of solid fuels for cooking,Percentage of household members in households that use solid fuels as the primary source of domestic energy to cook,0.4,,
WATER AND SANITATION,,,,
4.1 MDG Use of improved drinking water,Percentage of household members using improved sources of drinking water,99.8,,
7.8 sources,,,,
4.2 Water treatment,Percentage of household members in households using unimproved drinking water who use an appropriate treatment method,0.0,,
4.3 MDG Use of improved sanitation Percentage of household members using improved,90.4,,,
7.9 sanitation facilities which are not shared,,,,
MICS                 Indicator                     Description Indicator,Value,,,
4.4 Safe disposal of child’s faeces Percentage of children age 0-2 years whose last stools,64.2,,,
were disposed of safely,,,,
4.5 Place for hand washing Percentage of households with a specific place for,88.7,,,
hand washing where water and soap or other cleansing agent are present,,,,
4.6             Availability of soap or other             Percentage of households with soap or other cleansing cleansing agent agent,87.0,,,
REPRODUCTIVE HEALTH7,,,,
Early childbearing,,,,
5.2 Early childbearing Percentage of ever-married women age 20-24 years,5.8,,,
who had at least one live birth before age 18,,,,
Maternal and new-born health,,,,
MDG Antenatal care coverage Percentage of ever-married women age 15-49 years,90.5,,,
5.5                                                                  with a live birth in the last 5 years who were attended during their last pregnancy that led to a live birth,80.7,,,
5.5a (a) at least once by skilled health personnel,,,,
5.5b (b) at least four times by any provider,,,,
5.6 Content of antenatal care Percentage of ever-married women age 15-49 years,50.7,,,
with a live birth in the last 5 years who had their blood pressure measured and gave urine and blood samples during the last pregnancy that led to a live birth,,,,
5.7 MDG Skilled attendant at delivery Percentage of ever-married women age 15-49 years,89.0,,,
5.2                                                                          with a live birth in the last 5 years who were attended by skilled health personnel during their most recent live birth,,,,
5.8 Institutional deliveries Percentage of ever-married women age 15-49 years,82.1,,,
with a live birth in the last 5 years whose most recent live birth was delivered in a health facility,,,,
5.9 Caesarean section Percentage of ever-married women age 15-49 years,39.8,,,
whose most recent live birth in the last 5 years was delivered by caesarean section,,,,
Post-natal health checks8,,,,
5.10 Post-partum stay in health facility Percentage of ever-married women age 15-49 years,45.9,,,
who stayed in the health facility for 12 hours or more after the delivery of their most recent live birth in the last 5 years,,,,
"5.11        Post-natal health check for the         Percentage of last live births in the last 5 years who new-born                                received a health check while in facility or at home following delivery, or a post-natal care visit within 2",80.0,,,
days after delivery,,,,
MICS Indicator Indicator,Description,Value,,
5.12          Post-natal health check for the mother,"Percentage of ever-married women age 15-49 years who received a health check while in facility or at home following delivery, or a post-natal care visit within 2 days after delivery of their most recent live birth in the last 5 years",77.8,,
LITERACY AND EDUCATION,,,,
7.1 MDG Literacy rate among young,Percentage of ever-married young women age 15-24 years who are able to read a short simple statement about everyday life or who attended secondary or higher education,81.5,,
2.3 women9,,,,
7.2 School readiness,Percentage of children in first grade of primary school who attended pre-school during the previous school year,36.5,,
7.3        Net intake rate in primary education,Percentage of children of school-entry age who enter the first grade of primary school,85.8,,
7.4 MDG Primary school net attendance,Percentage of children of primary school age currently attending primary or secondary school,95.0,,
2.1 ratio (adjusted),,,,
7.5              Preparatory school net attendance ratio (adjusted),Percentage of children of Preparatory10 school age currently attending Preparatory school or higher,71.9,,
7.6 MDG Children reaching last grade of,Proportion of children entering the first grade of primary school who eventually reach last grade,97.7,,
2.2 primary,,,,
7.7 Primary completion rate,Number of children attending the last grade of primary school (excluding repeaters) divided by number of children of primary school completion age (age appropriate to final grade of primary school),103.5,,
7.8              Transition rate to preparatory school,Number of children attending the last grade of primary school during the previous school year who are in the first grade of secondary school during the current school year divided by number of children attending the last grade of primary school during the previous school year,92.3,,
7.9 MDG Gender parity index (primary,Primary school net attendance ratio (adjusted) for girls divided by primary school net attendance ratio (adjusted) for boys,0.99,,
3.1 school),,,,
7.10 MDG Gender parity index (preparatory,Preparatory school net attendance ratio (adjusted) for girls divided by preparatory school net attendance ratio (adjusted) for boys,1.01,,
3.1 school),,,,
CHILD PROTECTION,,,,
Birth registration,,,,
8.1 Birth registration,Percentage of children under age 5 whose births are reported registered,99.4,,
MICS Indicator Indicator,Description,Value,,
Early marriage and polygyny,,,,
8.4 Marriage before age 15,Percentage of ever-married women age 15-49 years who were first married before age 15,5.8,,
8.5 Marriage before age 18,Percentage of ever-married women age 20-49 years who were first married before age 18,29.8,,
8.6           Young women age 15-19 years currently married,Percentage of young women age 15-19 years who are married,15.3,,
8.7 Polygyny,Percentage of ever-married women age 15-49 years who are in a polygynous marriage,1.9,,
,Spousal age difference,Percentage of currently married women whose spouse,,
,,"is 10 or more years older,",,
8.8a,,"(a) among ever-married women age 15-19 years,",31.5,
8.8b,,(b) among ever- married women age 20-24 years,20.7,
ACCESS TO MASS MEDIA AND ICT,,,,
Access to mass media,,,,
10.1                 Exposure to all three forms of mass media,"Percentage of ever-married women age 15-49 years who, at least once a week, read a newspaper/ magazine, or listen to the radio, and watch television",1.4,,
Use of information/communication technology,,,,
10.2 Use of computers,Percentage of ever-married young women age 15-24 years who used a computer during the last 12 months,17.0,,
10.3 Use of internet,Percentage of ever-married young women age 15-24 who used the internet during the last 12 months,10.7,,
