0,1,2,3,4
Mortalidad en la primera infancia,,,,
Indicador de MICS,Indicador,Descripción,ValorA,
1.1,,Tasa de mortalidad neonatal,Probabilidad de morir durante el primer mes de vida.,11
1.2,ODM 4.2,Tasa de mortalidad infantil,Probabilidad de morir antes de cumplir el primer año.,17
1.3,,Tasa de mortalidad post- neonatal,Diferencia entre las tasas de mortalidad infantil y mortalidad neonatal.,6
1.4,,Tasa de mortalidad de niños/as,Probabilidad de morir entre el primer y el quinto aniversario.,3
1.5,ODM 4.1,Tasa de mortalidad de niños/as menores de 5 años,Probabilidad de morir entre el nacimiento y al cumplir el quinto año.,20
A Los valores del indicador son de 1.000 nacidos vivos y se refieren al periodo de cinco años anterior a la encuesta.,,,,
Estado nutricionali,,,,
Indicador de MICS,Indicador,Descripción,Valor,
2.1a,ODM 1.8,Prevalencia de bajo peso,Porcentaje de niños/as menores de 5 años que,
2.1b,,moderada y grave,están por debajo de menos dos desviaciones estándar (moderada y grave),
,,grave,están por debajo de menos tres desviaciones estándar (grave) con respecto al peso mediano por la edad del estándar de la OMS.,
,5.0,,,
,0.9,,,
2.2a,,Prevalencia de baja talla para la edad,Porcentaje de niños/as menores de 5 años que,13.6
2.2b,,moderada y grave,están por debajo de menos dos desviaciones estándar (moderada y grave),2.7
,,grave,están por debajo de menos tres desviaciones estándar (grave) con respecto a la altura mediana por la edad estándar de la OMS.,
2.3a,,Prevalencia de emaciación,Porcentaje de niños/as menores de 5 años que,2.1
2.3b,,moderada y grave,están por debajo de menos dos desviaciones estándar (moderada y grave),0.4
,,grave,están por debajo de menos tres desviaciones estándar (grave) con respecto al peso mediano por la altura estándar de la OMS.,
2.4,,Prevalencia de sobrepeso,Número de niños/as menores de 5 años que están por encima de dos desviaciones estándar con respecto al peso mediano por la altura estándar de la OMS.,6.4
Alimentación de leche materna y alimentación de infantes,,,,
Indicador de MICS,Indicador,Descripción,Valor,
2.5,Niños que alguna vez fueron lactados,Porcentaje de mujeres con un nacido vivo en los 2 últimos años que lactaron en cualquier momento a su último hijo/a nacido vivo.,96.1,
2.6,Iniciación temprana con alimentación de leche materna,Porcentaje de mujeres que tuvieron un nacido vivo dentro de los 2 últimos años y que lactaron al recién nacido dentro de la hora de haber nacido.,42.0,
2.7,Lactancia exclusiva antes de los 6 meses,Porcentaje de infantes menores de 6 meses de edad que lactan exclusivamenteii.,46.7,
2.8,Lactancia predominante en infantes menores de 6 meses,Porcentaje de infantes de menos de 6 meses que lactan como fuente predominante de alimentación durante el día anterioriii .,58.0,
2.9,Lactancia continua hasta el 1er año de edad,Porcentaje de niños/as de entre 12 y 15 meses alimentados con leche materna el día anterior.,74.1,
2.10,Lactancia continua hasta los 2 años de edad,Porcentaje de niños/as de entre 20 y 23 meses alimentados con leche materna el día anterior.,57.0,
2.11,Duración mediana de la lactancia,La edad en meses en que el 50 por ciento de los niños/as de entre 0 y 35 meses no recibió leche materna durante el día anterior.,22.8,
2.12,Lactancia materna apropiada para la edad,Porcentaje de niños/as de entre 0 y 23 meses que fueron alimentados apropiadamente durante el día anterioriv .,65.7,
2.13,"Introducción de alimentos sólidos, semisólidos o blandos","Porcentaje de infantes de entre 6 y 8 meses que recibieron alimentos sólidos, semisólidos o blandos durante el día anterior.",90.3,
2.14,Frecuencia de alimentación con leche en niños/as que no reciben leche materna,Porcentaje de niños/as de entre 6 y 23 meses que no reciben lactancia materna y que recibieron al menos 2 tomas de leche durante el día anterior.,82.8,
2.15,Frecuencia mínima de comidas,"Porcentaje de niños/as de entre 6 y 23 meses que reciben alimentos sólidos, semisólidos y blandos (y niños/as no lactados que además son alimentados con leche) la cantidad mínima de veces o másv durante el día anterior.",86.4,
2.16,Diversidad alimentaria mínima,Número de niños/as de 6 a 23 meses que recibieron alimentos de 4 o más grupos de alimentos durante el día anteriorvi .,78.3,
2.17a,Alimentación mínima aceptable,(a) Porcentaje de niños/as amamantados de 6 a 23 meses de edad que tuvieron al menos la diversidad alimentaria mínima y la frecuencia mínima de comidas durante el día anterior,67.3,
