0,1,2,3
Topic,MICS4 MDG,,Value
,Indicator Indicator,,
,Number Number Indicator,,
NUTRITION,,,
,1.8 Underweight prevalence,12.6,percent
,2.1a Moderate and Severe (- 2 SD),,
,b                         Severe (- 3 SD) Stunting prevalence,,
,a Moderate and Severe (- 2 SD),,
,b                         Severe (- 3 SD) Wasting prevalence,,
,a Moderate and Severe (- 2 SD),,
,2.3b Severe (- 3 SD),,
,2.1,percent,
,11.0,percent,
,3.9,percent,
,14.1,percent,
Nutritional status,2.7,percent,
Breastfeeding and,,,
infant feeding,2.4 Children ever breastfed,96.2,percent
,2.5 Early initiation of breastfeeding,43.3,percent
,2.6 Exclusive breastfeeding under 6 months,(45.7),percent
,2.9 Predominant breastfeeding under 6 months,(63.8),percent
,2.10 Mean Duration of breastfeeding,15.9,Months
,2.11 Bottle feeding,27.3,percent
,2.13 Minimum meal frequency,20.6,percent
,2.14 Age-appropriate breastfeeding,38.9,percent
,2.15 Milk feeding frequency for non-breastfed children,34.9,percent
Salt iodization,2.16 Iodized salt consumption,63.0,percent
Vitamin A,2.17 Vitamin A supplementation (children under age 5),23.2,percent
Low birth weight,2.18 Low-birthweight infants,13.1,percent
,2.19 Infants weighed at birth,85.7,percent
CHILD HEALTH,,,
Vaccinations,3.1 Tuberculosis immunization coverage,99.0,percent
,3.2 Polio immunization coverage,89.9,percent
,"3.3 Immunization coverage for diphtheria, pertussis and tetanus (DPT)",91.7,percent
,3.4 4.3 Measles immunization coverage,97.7,percent
,3.5 Hepatitis B immunization coverage,91.7,percent
,3.6 Yellow fever immunization coverage,96.0,percent
Tetanus toxoid,3.7 Neonatal tetanus protection,74.2,percent
Care of illness,3.8 Oral rehydration therapy with continued feeding,51.0,percent
Solid fuel use,3.11 Solid fuels,60.2,percent
Malaria,3.12 Household availability of insecticide-treated nets (ITNs),16.2,percent
,3.13 Households protected by a vector control method,17.5,percent
,3.14 Children under age 5 sleeping under any mosquito net,12.4,percent
,3.15 6.7 Children under age 5 sleeping under insecticide-treated nets (ITNs),10.3,percent
,3.16 Malaria diagnostics usage,24.0,Percent
,3.17 Antimalarial treatment of children under 5 the same or next day,53.5,percent
