0,1,2,3,4,5
Topic,MICS,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
CHILD MORTALITY,,,,,
Child mortality,1,13,Under -five mortality rate,120,per thousand
2,14,Infant mortality rate,64,per thousand,
NUTRITION,,,,,
Nutritional status,6,4,Underweight prevalence,29.3,Percent
7,,Stunting prevalence,31.1,Percent,
8,,Wasting prevalence,8.8,Percent,
Breastfeeding,45,,Timely initiation of breastfeeding,43.0,Percent
15,,Exclusive breastfeeding rate,67.2,Percent,
16,,Continued breastfeeding rate,,,
at 12-15 months,98.5,Percent,,,
at 20-23 months,80.3,Percent,,,
17,,Timely complementary feeding rate,53.2,Percent,
18,,Frequency of complementary feeding,48.3,Percent,
19,,Adequately fed infants,58.2,Percent,
Salt iodization,41,,Iodized salt consumption,11.4,Percent Percent
,,,MICS DHS,11.9,
Vitamin A,42,,Vitamin A supplementation (under-fives),50.7,Percent
43,,Vitamin A supplementation (post-partum mothers),38.8,Percent,
Low birth weight,9,,Low birth weig ht infants,7.8,Percent
10,,Infants weighed at birth,10.3,Percent,
CHILD HEALTH,,,,,
Immunization,25,,Tuberculosis immunization coverage,95.4,Percent
26,,Polio immunization co verage,84.6,Percent,
27,,DPTHepbHib immunization coverage,85.9,Percent,
28,15,Measles immunization coverage,81.8,Percent,
31,,Fully immunized children,69.3,Percent,
30,,Yellow fever immunization coverage,80.9,Percent,
Tetanus toxoid,32,,Neonatal tetanus protection,71.8,Percent
Care of illness,33,,Use of oral dehydration therapy (ORT),29.0,Percent
34,,Home management of diarrhoea,25.6,Percent,
,23,,Care seeking for suspected pneumonia,35.6,Percent
22,,Antibiotic treatment of suspected pneumonia,25.5,Percent,
Solid fuel use,24,29,Solid fuels,97.3,Percent
Malaria,36,,Household availability of insecticide-treated nets (ITNs),54.7,Percent
Source and cost of supplies,96,,Source of supplies (from public sources),49.6,Percent
,,Insecticide treated nets,78.0,Percent,
,,Antimalarials,55.6,Percent,
97,,Cost of supplies (median costs),,,
,,Insecticide treated nets public sources,1.00,GHC,
,,private sources,1.50,GHC,
,,Antimalarials public sources,2.00,GHC,
,,private sources,0.80,GHC,
ENVIRONMENT,,,,,
Water and Sanitation,11,30,Use of improved drinking water sources,61.8,Percent
13,,Water treatment,3.9,Percent,
12,31,Use of improved sanitation facilities,21.4,Percent,
14,,Disposal of child's faeces,5.9,Percent,
REPRODUCTIVE HEALTH,,,,,
Contraception and unmet need,21,19c,Contraceptive prevalence,7.8,Percent
Maternal and newborn health,20,,Antenatal care,88.9,Percent
44,,Content of antenatal care,92.0,Percent,
,,,Blood test taken,54.2,Percent
,,,Blood pressure measured,89.0,Percent
,,,Urine specimen taken,50.1,Percent
,,,Weight measured,89.4,Percent
,4,17,Skilled attendant at deli very,19.3,Percent
5,,Institutional deliveries,17.5,Percent,
CHILD DEVELOPMENT,,,,,
Child development,46,,Support for learning,19.1,Percent
47,,Father's support for learning,52.2,Percent,
48,,Support for learning: children’s books,4.7,Percent,
49,,Support for learning: non-children’s books,24.3,Percent,
50,,Support for learning: materials for play,16.6,Percent,
51,,Non -adult care,35.4,Percent,
EDUCATION,,,,,
Education,52,,Pre-school attendance,40.2,Percent
53,,School readiness,80.4,Percent,
54,,Net intake rate in primary education,47.5,Percent,
55,6,Net primary school attendance rate,60.2,Percent,
56,,Net secondary school attendance rate,25.1,Percent,
58,,Transition rate to secondary school,89.1,Percent,
59,7b,Primary completion rate,14.0,Percent,
61,9,Gender parity index,1.00,Ratio Ratio,
,,primary school secondary school,0.76,,
Literacy,60,8,Adult literacy rate (youth) women,31.5,Percent
CHILD PROTECTION,,,,,
Birth registratio n,62,,Birth registration,51.6,Percent
Child labour,71,,Child labour,45.1,Percent
72,,Labourer students,62.3,Percent,
73,,Student labourers,41.4,Percent,
Child discipline,74,,Child discipline,84.3,Percent
,,,Any psychological/physical punishment,,
Early marriage and polygyny,67,,Marriage before age 15 Marriage before age 18,5.6,Percent Percent
,,,,34.3,
68,,Young women aged 15-19 currently married/in union,14.0,Percent,
70,,Polygamy,42.8,Percent,
69,,Spousal age difference,13.6,Percent Percent,
,,women aged 15-19,17.9,,
,,women aged 20-24,,,
Female genital mutilation/,66,,Approval for FGM/C,4.7,Percent
cutting,,,,,
63,,Prevalence of female genital mutilation/cutting (FGM/C),4.5,Percent,
Domestic violence,100,,Attitudes towards domestic violence women,83.0,Percent
Disability,101,,Child disability,16.7,Percent
"HIV/AIDS, SEXUAL BEHAVIOUR, AND ORPHANED AND VULNERABLE CHILDREN",,,,,
HIV/AIDS,82,19b,Comprehensive knowledge about HIV prevention among young women 15-24 years,17.6,Percent
knowledge and attitudes,,,,,
,89,,Knowledge of mother-to-child transmission of HIVwomen,64.9,Percent
,86,,Attitude towards women with HIV/AIDS,3.1,Percent
,87,,Women who know where to be tested for HIV,30.5,Percent
,88,,Women who have been tested for HIV,5.4,Percent
,90,,Counselling coverage for the prevention of mother -to-child transmission of HIV,34.4,Percent
91,,Testing coverage for the prevention of mother -to-child transmission of HIV,4.1,Percent,
Sexual behaviour,84,,Sex before age 15 women,6.6,Percent
92,,Age-mixing among sexual partners,13.5,Percent,
83,19a,Condom use with non-regular partners Women,34.3,Percent,
85,,Higher risk sex in the last year Women,31.5,Percent,
Support to,75,,Prevalence of orphans,7.3,Percent
orphaned and,,,,,
78,,Children’s living arrangements,4.9,Percent,
vulnerable,,,,,
children,,,,,
NATIONAL HEALTH INSURANCE SCHEME,,,,,
National Health,,,"Women, 15 - 49 years registered with NHIS",28.9,Percent
Insurance,,,,,
Scheme,,,,,
,,Valid Card holders,60.2,Percent,
Topic,MICS,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
CHILD MORTALITY,,,,,
Child mortality,1,13,Under-five mortality rate,93,per thousand
