0,1,2,3,4
Topic,"MICS4
Indicator Number","MDG
Indicator Number",Indicator,Value
CHILD MORTALITY,,,,
Child Mortality,1.1,4.1,Under-five mortality rate,82.0 percent
1.2,4.2,Infant mortality rate,53.0 percent,
1.3,,Neonatal mortality rate,32.0 percent,
1.4,,Post-neonatal mortality rate,21.0 percent,
1.5,,Child mortality rate,31.0 percent,
NUTRITION,,,,
Nutritional status,,1.8,Underweight prevalence,
2.1a,,Moderate and Severe (- 2 SD),13.4 percent,
2.1b,,Severe (- 3 SD),2.6 percent,
,,Stunting prevalence,,
2.2a,,Moderate and Severe (- 2 SD),22.7 percent,
2.2b,,Severe (- 3 SD),6.8 percent,
,,Wasting prevalence,,
2.3a,,Moderate and Severe (- 2 SD),6.2 percent,
2.3b,,Severe (- 3 SD),1.4 percent,
Breastfeeding and infant feeding,2.4,,Children ever breastfed,98.9 percent
2.5,,Early initiation of breastfeeding,45.9 percent,
2.6,,Exclusive breastfeeding under 6 months,45.7 percent,
2.7,,Continued breastfeeding at 1 year,90.7 percent,
2.8,,Continued breastfeeding at 2 years,37.4 percent,
2.9,,Predominant breastfeeding under 6 months,71.0 percent,
2.10,,Duration of breastfeeding,20.5 months,
2.11,,Bottle feeding,13.7 percent,
2.12,,"Introduction of solid, semi-solid or soft foods",74.8 percent,
2.13,,Minimum meal frequency,57.3 percent,
2.14,,Age-appropriate breastfeeding,63.9 percent,
2.15,,Milk feeding frequency for non-breastfed children,13.2 percent,
Salt iodization,2.16,,Iodized salt consumption,34.5 percent
Vitamin A,2.17,,Vitamin A supplementation (children under age 5),73.7 percent
Low birth weight,2.18,,Low-birth weight infants,10.7 percent
,2.19,,Infants weighed at birth,54.0 percent
CHILD HEALTH,,,,
Vaccinations,3.1,,Tuberculosis immunization coverage,97.8 percent
3.2,,Polio immunization coverage,90.7 percent,
3.3,,"Immunization coverage for diphtheria, pertussis and tetanus (DPT)",92.1 percent,
3.4,4.3,Measles immunization coverage,88.5 percent,
3.5,,Hepatitis B immunization coverage,92.1 percent,
3.6,,Yellow fever immunization coverage,88.3 percent,
Tetanus toxoid,3.7,,Neonatal tetanus protection,70.3 percent
Care of illness,3.8,,Oral rehydration therapy with continued feeding,43.9 percent
3.9,,Care seeking for suspected pneumonia,41.3 percent,
Topic,"MICS4
Indicator Number","MDG
Indicator Number",Indicator,Value
