0,1,2,3,4,5,6
MICS ODM Tabela Rubrica Indicador Valor,,,,,,
MORTALIDADE INFANTIL,,,,,,
1.1,MDG 4.1,CM1,Mortalidade infantil,Taxa de mortalidade infanto-juvenil (crianças menores de 5 anos),116,Por mil
1.2,MDG 4.2,CM1,Taxa de mortalidade infantil,63,Por mil,
NUTRIÇÃO,,,,,,
,MDG 1.8,NU1,Estatuto Nutricional,Prevalência de Insuficiência pondera:,,
2.1a,,,(a) Moderada e Severa,18,porcento,
2.1b,,,(b) Severa,5,porcento,
,,NU1,Prevalência do atraso de crescimento :,,,
2.2a,,,(a) Moderada e Severa,32,porcento,
2.2b,,,(b) Severa,10,porcento,
,,NU1,Prevalência de perda de peso:,,,
2.3a,,,(a) Moderada e Severa,6,porcento,
2.3b,,,(b) Severa,1,porcento,
2.4,,NU2,Aleitamento materno e alimentação da criança,Crianças alguma vez amamentadas,98,porcento
2.5,,NU2,Aleitamento inicial atempado,55,porcento,
2.6,,NU3,Aleitamento exclusivo (crianças de 0 - 6 meses),38,porcento,
2.7,,NU3,Aleitamento contínuo (crianças de 12 - 15 meses),97,porcento,
2.8,,NU3,Aleitamento contínuo (crianças de 20 -23 meses),65,porcento,
2.9,,NU3,Aleitamento predominante para menores de 6 meses,86,porcento,
2.10,,NU4,Duração do Aleitamento,23,em meses,
2.11,,NU8,Alimentação através do biberão,13,porcento,
2.12,,NU6,Introducção de alimentos sólidos ou semi-sólidos (crianças de 6 - 8 meses),43,porcento,
2.13,,NU7,Frequência mínima de refeições,23,porcento,
2.14,,NU5,Aleitamento adequado a idade,40,porcento,
2.15,,NU7,Alimentação com porções mínimas de leite não materno para as crianças que não estão amamentadas,23,porcento,
2.16,,NU9,Iodação do sal,Consumo de sal iodado,12,porcento
2.17,,NU10,Vitamina A,Suplemento de Vitamina A (crianças menores de 5 anos),79,porcento
2.18,,NU11,Insuficiência ponderal ã nascença,Insuficiência ponderal ao nascer,11,porcento
2.19,,NU11,Crianças pesadas ao nascer,46,porcento,
SAUDE DAS CRIANÇAS,,,,,,
3.1,,CH1,Vacinas,Cobertura vacinal contra turbeculosis (BCG) antes do 1º ano (crianças de 12-23 meses),94,porcento
3.2,,CH1,Cobertura vacinal contra Poliomielite (3 doses) antes do 1º ano (crianças de 12-23 meses),73,porcento,
3.3,,CH1,Cobertura vacinal de DPT (3 doses) antes do 1º ano (crianças de 12-23 meses),76,porcento,
3.4,MDG 4.3,CH1,Cobertura vacinal contra sarampo antes do 1º ano (crianças de 12-23 meses),61,porcento,
