0,1,2,3,4
CHILD MORTALITY,,,,
Early childhood mortalitya,,,,
MICS,Description,Value,,
Indicator Indicator,,,,
1.1 Neonatal mortality rate,Probability of dying within the ﬁrst month of life,23,,
1.2 MDG 4.2 Infant mortality rate,Probability of dying between birth and the ﬁrst birthday,32,,
1.3                     Post-neonatal mortality rate,Diﬀerence between infant and neonatal mortality rates,9,,
1.4 Child mortality rate,Probability of dying between the ﬁrst and the ﬁfth birthdays,8,,
1.5 MDG 4.1 Under-ﬁve mortality rate,Probability of dying between birth and the ﬁfth birthday,39,,
aRates refer to the 5-year period preceding the survey.,,,,
NUTRITION,,,,
Nutritional status,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
2.1a,MDG 1.8,Underweight prevalence,Percentage of children under age 5 who fall below,8.5
2.1b,,Moderate and severe,minus two standard deviations (moderate and severe),2.2
,,Severe,minus three standard deviations (severe),
,,,of the median weight for age of the WHO standard,
2.2a,,Stunting prevalence,Percentage of children under age 5 who fall below,12.0
2.2b,,Moderate and severe,minus two standard deviations (moderate and severe),3.4
,,Severe,minus three standard deviations (severe),
,,,of the median height for age of the WHO standard,
2.3a,,Wasting prevalence,Percentage of children under age 5 who fall below,6.4
2.3b,,Moderate and severe,minus two standard deviations (moderate and severe),1.7
,,Severe,minus three standard deviations (severe),
,,,of the median weight for height of the WHO standard,
2.4 Overweight prevalence,Percentage of children under age 5 who are above two standard deviations of the median weight for height of the WHO standard,5.3,,
Breastfeeding and infant feeding,,,,
2.5 Children ever breastfed,Percentage of women with a live birth in the last 2 years who breastfed their last live-born child at any time,89.0,,
2.6       Early initiation of breastfeeding,Percentage of women with a live birth in the last 2 years who put their last newborn to the breast within one hour of birth,49.2,,
2.7                    Exclusive breastfeeding under 6 months,Percentage of infants under 6 months of age who are exclusively breastfed,23.3,,
2.8 Predominant,Percentage of infants under 6 months of age who received breast milk as the predominant source of nourishmentduring the previous day,36.2,,
breastfeeding under 6 months,,,,
2.9                           Continued breastfeeding at 1 year,Percentage of children age 12-15 months who received breast milk during the previous day,55.6,,
2.10                         Continued breastfeeding at 2 years,Percentage of children age 20-23 months who received breast milk during the previous day,40.9,,
2.11    Median duration of breastfeeding,The age in months when 50 percent of children age 0-35 months did not receive breast milk during the previous day,14.1,,
Breastfeeding and infant feeding,,,,
2.12 Age-appropriate,Percentage of children age 0-23 months appropriately fed,40.5,,
breastfeeding,during the previous day,,,
"2.13                         Introduction of solid, semi- solid or soft foods","Percentage of infants age 6-8 months who received solid, semi-solid or soft foods during the previous day",80.9,,
2.14    Milk feeding frequency for    Percentage of non-breastfed children age 6-23 months who non-breastfed children received at least 2 milk feedings during the previous day,83.9,,,
2.15 Minimum meal frequency,"Percentage of children age 6-23 months who received solid, semi-solid and soft foods (plus milk feeds for non-breastfed children) the minimum number of times or more during the previous day",61.6,,
2.16 Minimum dietary diversity Percentage of children age 6–23 months who received foods,65.2,,,
from 4 or more food groups during the previous day,,,,
2.17a Minimum acceptable diet,(a) Percentage of breastfed children age 6–23 months who,30.1,,
2.17b,had at least the minimum dietary diversity and the minimum,,,
,meal frequency during the previous day,,,
,(b) Percentage of non-breastfed children age 6–23 months,54.0,,
,who received at least 2 milk feedings and had at least the,,,
,minimum dietary diversity not including milk feeds and the,,,
