0,1,2,3,4,5,6,7
Topic,MICS4,MDGs,Indicator,Value,,,
,Indicator Number,Indicator Number,,,,,
Merauke,Jayawijaya,Biak Numfor,,,,,
CHILD MORTALITY,,,,,,,
Child mortality,1.1,4.1,Under-five mortality rate Infant mortality rate,48,122,62,"per 1,000"
,1.2,4.2,,39,86,48,"per 1,000"
NUTRITION,,,,,,,
Breastfeeding,2.4,,Children ever breastfed,92.3,94.2,93.4,per cent
and infant,2.5,Early initiation of,44.1,38.5,19.0,per cent,
feeding,,breastfeeding,,,,,
,2.6,Exclusive breastfeeding under,23.3,55.0,38.3,per cent,
,,6 months,,,,,
,2.7,Continued breastfeeding at,87.0,89.9,61.8,per cent,
,,1 year,,,,,
,2.8,Continued breastfeeding at 2,33.6,79.0,44.3,per cent,
,,years,,,,,
,2.9,Predominant breastfeeding,35.6,59.5,42.9,per cent,
,,under 6 months,,,,,
,2.10,Duration of breastfeeding,20.0,-,18.7,months,
,2.11,Bottle feeding,45.8,17.4,49.9,per cent,
,2.13,Minimum meal frequency,52.0,59.6,50.8,per cent,
,2.14,Age-appropriate breastfeeding,41.6,68.8,39.7,per cent,
,2.15,Milk feeding frequency for,76.5,93.2,79.5,per cent,
,,non-breastfed children,,,,,
Vitamin A,2.17,,Vitamin A supplementation (children under age 5),71.4,33.1,80.7,per cent
Low birth weight,2.18,,Low-birth weight infants Infants weighed at birth,12.5,7.9,16.5,per cent per cent
,2.19,,,83.2,28.3,71.4,
CHILD HEALTH,,,,,,,
Vaccinations,3.1,,Tuberculosis immunization,96.3,62.7,90.8,per cent
,,,coverage,,,,
,3.2,,Polio immunization coverage,81.4,35.5,58.8,per cent
,3.3,,Immunization coverage for,70.1,30.9,57.3,per cent
,,,"diphtheria, pertussis and",,,,
,,,tetanus (DPT),,,,
,3.4,4.3,Measles immunization,92.2,43.8,86.0,per cent
,,,coverage,,,,
,3.5,,Hepatitis B immunization,69.2,32.2,48.7,per cent
,,,coverage,,,,
Tetanus toxoid,3.7,,Neonatal tetanus protection,71.5,46.9,73.6,per cent
Solid fuel use,3.11,,Solid fuels,54.2,83.3,50.1,per cent
Malaria,3.12,,Household availability of,60.5,10.5,46.2,per cent
,,,insecticide-treated nets (ITNs),,,,
,3.14,,Children under age 5 sleeping,60.3,18.3,47.2,per cent
,,,under any mosquito net,,,,
,3.15,6.7,Children under age 5 sleeping,41.7,8.9,41.9,per cent
,,,under insecticide-treated nets,,,,
,,,(ITNs),,,,
,3.16,,Malaria diagnostics usage,24.2,12.1,44.5,per cent
,3.17,,Antimalarial treatment of,6.7,0.2,35.9,per cent
,,,children under 5 the same or,,,,
,,,next day,,,,
,3.18,6.8,Antimalarial treatment of,13.0,0.8,45.7,per cent
,,,children under age 5,,,,
Topic,MICS4,MDGs,Indicator,Value,,,
,Indicator Number,Indicator Number,,,,,
Merauke,Jayawijaya,Biak Numfor,,,,,
WATER AND SANITATION,,,,,,,
Water and,4.1,7.8,Use of improved drinking,54.3,34.9,87.0,per cent
sanitation,,,water sources,,,,
,4.2,,Water treatment,76.7,26.1,71.0,per cent
,4.3,7.9,Use of improved sanitation,64.0,23.6,74.5,per cent
REPRODUCTIVE HEALTH,,,,,,,
Contraception,5.1,5.4,Adolescent birth rate,77,145,59,"per 1,000"
,5.2,,Early childbearing,11.1,36.9,10.2,per cent
,5.3,5.3,Contraceptive prevalence rate,51.8,33.7,42.5,per cent
,,,Unmet need,12.1,11.5,11.1,per cent
Maternal and,,5.5,Antenatal care coverage:,,,,
,,,• At least once by skilled personnel,,,,
,,,• At least four times by any provider,,,,
,,,Content of antenatal care Skilled attendant at delivery Institutional deliveries,,,,
newborn health,5.5a,,96.4,57.1,90.1,per cent,
,5.5b,,89.6,36.0,65.7,per cent,
,5.6,,,,,,
,5.7,5.2,40.3,12.0,18.6,per cent,
,5.8,,85.7,35.6,77.3,per cent,
,,,61.1,27.6,42.6,per cent,
EDUCATION,,,,,,,
Literacy and,7.1,2.3,Literacy rate among young,,,,
education,,,people,,,,
,,,• women age 15-24 years,90.2,60.2,90.3,per cent
,,,• men age 15-24 years,92.4,71.8,92.2,per cent
,7.2,,School readiness,48.3,12.5,29.2,per cent
,7.3,,Net intake rate in primary,73.0,69.6,70.7,per cent
,,,education,,,,
,7.4,2.1,Primary school net attendance,96.5,81.7,96.4,per cent
,,,ratio (adjusted),,,,
,7.5,,Secondary school net,70.5,54.1,75.4,per cent
,,,attendance ratio (adjusted),,,,
,7.6,2.2,Children reaching last grade,98.6,94.2,97.3,per cent
,,,of primary,88.1,90.9,115.7,per cent
,7.7,,Primary completion rate,,,,
,7.8,,Transition rate to secondary,96.5,94.7,96.1,per cent
,,,school,,,,
,7.9,,Gender parity index (primary,0.98,1.04,1.03,ratio
,,,school),,,,
,7.10,,Gender parity index,1.17,0.92,1.01,ratio
,,,(secondary school),,,,
CHILD PROTECTION,,,,,,,
Birth registration,8.1,,Birth registration,65.9,19.7,32.7,per cent
Child labour,,,,,,,
(age 15-14)1,8.2,Child labour,20.4,36.2,22.0,per cent,
,8.3,School attendance among,,,,,
,,child labourers,91.2,72.0,90.6,per cent,
,8.4,Child labour among students,27.6,49.6,29.6,per cent,
Child discipline,8.5,,Violent discipline,86.5,92.1,91.5,per cent
Early marriage,8.6,,Marriage before age 15:,,,,
,,• women age 15-49 years,9.9,15.6,3.8,per cent,
,,• men age 15-49 years,1.1,1.5,0.5,per cent,
,8.7,Marriage before age 18,,,,,
,,• women age 20-49 years,34.1,46.8,20.2,per cent,
,,• men age 20-49 years,3.4,11.0,3.9,per cent,
Topic,MICS4,MDGs,Indicator,Value,,,
,Indicator Number,Indicator Number,,,,,
Merauke,Jayawijaya,Biak Numfor,,,,,
,8.8,,Young women age 15-19,21.0,41.4,7.9,per cent
,years currently married or in,,,,,,
,union,,,,,,
,Young men age 15-19 years,2.7,9.2,1.1,per cent,,
,currently married or in union,,,,,,
,Spousal age difference,14.7,25.1,9.0,per cent,,
8.10b,women age 20-24 years,,,,,,
Domestic,8.14,,Attitudes towards domestic,,,,
violence,,violence,,,,,
,,women age 15-49 years,31.1,59.4,50.6,per cent,
,,men age 15-49 years,32.5,66.6,37.2,per cent,
"HIV/AIDS, SEXUAL BEHAVIOUR, AND ORPHANED",,,,,,,
HIV/AIDS,9.1,,Comprehensive knowledge,,,,
knowledge and,,,about HIV prevention,,,,
attitudes,,,women age 15-49 years,25.4,12.7,24.0,per cent
,,,men age 15-49 years,17.8,14.1,28.1,per cent
,9.2,6.3,Comprehensive knowledge,,,,
,,,about HIV prevention among,,,,
,,,young people,,,,
,,,women age 15-24 years,30.2,14.1,24.7,per cent
,,,men age 15-24 years,14.6,13.8,26.2,per cent
,9.3,,Knowledge of mother-to-child,,,,
,,,transmission of HIV,,,,
,,,women age 15-49 years,59.7,41.0,69.4,per cent
,,,men age 15-49 years,53.7,58.4,65.1,per cent
,9.4,,Accepting attitudes towards,,,,
,,,people living with HIV,,,,
,,,women age 15-49 years,21.5,8.2,13.9,per cent
,,,men age 15-49 years,22.1,10.8,11.4,per cent
,9.5,,Know a place to get tested,,,,
,,,for HIV,,,,
,,,women age 15-49 years,41.2,23.9,33.2,per cent
,,,men age 15-49 years,43.9,33.6,39.2,per cent
,9.6,,Have been tested and have,,,,
,,,been told result,,,,
,,,women age 15-49 years,3.7,2.0,1.3,per cent
