0,1,2,3,4,5,6
,MICS4,,MDG,,,
Topic,lndicator lndicator,lndicator,National,Kurdistan,Unit,
,Number Number,,,Region,,
FERTILITY,,,,,,
Fertility,Total Fertility Rate,4.5,3.3,per woman,,
CHIW MORTALITY,,,,,,
,1.1 4.1,Under-five mortality rate Child mortality,37,32,"per 1,000",
,1.2 4.2,Infant mortality rate,,,,
,,Post neonatal mortality Neonatal mortality,,,,
,5,4,"per 1,000",,,
Child mortality,32,28,"per 1,000",,,
,12,7,"per 1,000",,,
,20,21,"per 1,000",,,
NUTRITION,,,,,,
,2. a 1.8,Underweight prevalence Moderate and Severe (- 2 SD) Severe (- 3 SD),8.5,6.7,percent,
,2.lb,Stunting   prevalence Moderate and Severe (- 2 SD) Severe (- 3 SD),,,,
,2.2a,Wasting   prevalence Moderate and Severe (- 2 SD) Severe (- 3 SD),,,,
,2.2b,,,,,
,2.3a,,,,,
,2.3b,,,,,
,3.7,3.9,percent,,,
Nutritional status,22.6,15.4,percent,,,
,9.9,6.1,percent,,,
,7.4,5.0,percent,,,
,3.6,2.6,percent,,,
,Children ever breastfed,92.2,92.6,percent,,
,Early initiation of breastfeeding Exclusive breastfeeding under 6,,,,,
,2.6,,,,,
,months,,,,,
,2.7 Continued breastfeeding at 1year,,,,,
,2.8                    Continued breastfeeding at 2 years Predominant breastfeeding under 6,,,,,
,2.9,,,,,
,months,,,,,
,Duration of breastfeeding,,,,,
,Bottle feeding,,,,,
,"Introduction of solid, semi-solid or",,,,,
,2.12,,,,,
,soft foods,,,,,
,Minimum meal frequency,,,,,
,Age-appropriate breastfeeding,,,,,
,Milk feeding frequency for non-,,,,,
,2.15,,,,,
,breastfed children,,,,,
,42.8,37.8,percent,,,
,19.6,19.8,percent,,,
,51.5,44.2,percent,,,
,22.7,29.0,percent,,,
Breastfeeding,45.8,33.1,percent,,,
and infant feeding,13.8,9.3,percent,,,
,37.2,53.5,percent,,,
,35.5,29.4,percent,,,
,54.8,58.6,percent,,,
,25.7,23.7,percent,,,
,81.1,91.2,percent,,,
Salt iodization,2.16,lodized sait consumption,29.0,37.S,percent,
Vitamin A,2.17,Vitamin A supplementation (children under age 5),27.5,38.4,percent,
Low birth weight,2.18,Low-birthweight infants Infants weighed at birth,13.4,11.4,percent percent,
,2.19,,52.6,65.9,,
CHILD HEALTH,,,,,,
,Tuberculosis immunization coverage,89.7,97.1,percent,,
,Polio immunization coverage lmmunization coverage for,,,,,
,"diphtheria, pertussis and tetanus",,,,,
,4.3 Measles immunization coverage,,,,,
,Hepatitis B immunization coverage,,,,,
,(DPT),,,,,
,70.6,78.7,percent,,,
Vaccinations,64.8,75.2,percent,,,
,65.8,75.2,percent,,,
,61.0,73.2,percent,,,
Tetanus toxoid,3.7,Neonatal tetanus protection,56.6,56.5,percent,
MICS4 MDG Kurdistan,Unit,,,,,
Topic                  lndicator       lndicator     lndicator                        National       Region Number Number,,,,,,
Care of illness,3.8,Oral rehydration therapy with continued feeding,25.7 29.9,percent percent,,
,3.9,Care seeking for suspected pneumonia,74.4 76.5,percent,,
,3.10,Antibiotic treatment of suspected pneumonia,67.1 60.5,,,
Solid fuel use,3.11,Solid fuels,1.2,0.2,percent,
WATER AND SANITATION,,,,,,
,4.1,7.8,Use of improved drinking water sources,91.4,96.7,percent
,4.2,,Water treatment,15.8,2.9,percent
Water and,4.3,7.9,Use of improved sanitation facilities,93.8,97.7,percent
sanitation,4.4,,Safe disposai of child's faeces,19.3,13.8,percent
,4.5,,Place for handwashing,94.8,95.7,Percent
,4.6,,Availability of soap,99.1,99.4,Percent
REPRODUCTIVE HEALTH,,,,,,
,5.1,5.4,Adolescent birth rate,82.4,38.8,"per 1,000"
Contraception,5.2,,Early childbearing,11.8,6.2,percent
and unmet need,5.3,5.3,Contraceptive prevalence rate,52.5,64.5,Percent
,5.4,5.6,Unmet need,8.0,8.2,Percent
,,,Antenatal care coverage,,,
,5.5a,5.5,At least once by skilled personnel,77.7,81.0,percent
Maternai and,5.5b,,At least four times by any provider,49.6,57.1,percent
newborn health,5.6,,Content of antenatal care,64.9,72.0,percent
,5.7,5.2,Skilled attendant at delivery,90.9,92.4,percent
,5.8,,lnstitutional deliveries,76.6,84.9,percent
,5.9,,Caesarean section,22.2,28.4,percent
CHIW DEVELOPMENT,,,,,,
,6.1,Support for learning,58.2,62.0,percent,
,6.2,Father's support for learning,55.0,69.4,percent,
,6.3,Learning materials: children's books,5.4,4.7,percent,
Child,6.4,Learning materials: playthings,34.0,38.3,percent,
development,6.5,lnadequate care,7.5,8.0,percent,
,6.6,Early child development index,71.6,82.3,percent,
,6.7,Attendance to early childhood education,3.8,5.6,percent,
EDUCATION,,,,,,
,7.1,2.3,Literacy rate among young women,69.2,77.7,percent
,7.2,,School readiness,5.4,22.9,percent
,7.3,,Net intake rate in primary education,84.4,92.2,percent
,7.4,2.1,Primary school net attendance ratio (adjusted),90.4,95.9,percent
Literacy and,7.5,,Secondary school net attendance ratio (adjusted),48.6,71.9,percent
education,7.6,2.2,Children reaching last grade of primary,95.5,95.7,percent
,7.7,,Primary completion rate (gross),83.9,104.6,percent
,7.8,,Transition rate to secondary school,88.7,91.2,percent
,7.9,,Gender parity index (primary school),0.94,0.99,ratio
,7.10,,Gender parity index (secondary school),0.85,0.98,ratio
MICS4 MDG,Kurdistan Region,Unit,,,,
Topic                    lndicator       lndicator      lndicator                          National Number Number,,,,,,
CH/W PROTECTION,,,,,,
Birth registration,8.1,Birth registration,99.2,99.6,percent,
,8.2,Child labour,6.4,2.2,percent,
Childlabour,8.3,School attendance among child labourers,64.6,76.2,percent,
,8.4,ChiId labour among students,5.5,2.0,percent,
Child discipline,8.5,Violent discipline,79.0,69.5,percent,
,8.6,Marriage before age 15,5.5,4.9,percent,
,8.7,Marriage before age 18,23.4,22.4,percent,
Early marriage,8.8,Young women age 15-19 currently married or in union,20.7,9.9,percent,
and polygamy,8.9,Polygamy,6.1,5.7,percent,
,,Spousal age difference,,,,
,8.10a,Women age 15-19,16.5,13.8,percent,
,8.10b,Women age 20-24,14.1,9.7,percent,
Female genital,8.11,Approval for female genital mutilation/cutting (FGM/C),4.9,11.3,percent,
mutilation/,,Prevalence of female genital,,,,
cutting,8.12,mutilation/cutting (FGM/C) among,8.1,42.8,percent,
,,women,,,,
Domestic violence,8.14,Attitudes towards domestic violence,51.2,25.2,percent,
"HIV/AIDS, AND ORPHANED AND VULNERABLE CH/LOREN",,,,,,
,9.1,,Comprehensive knowledge about HIV prevention,3.5,3.2,percent
,9.2,6.3,Comprehensive knowledge about HIV prevention among young people,3.5,3.7,percent
,9.3,,Knowledge of mother-to-child transmission of HIV,26.1,34.3,percent
HIV/AIDS,9.4,,Accepting attitude towards people living with HIV,2.1,2.2,percent
knowledge and,,,,,,
attitudes,9.5,,Women who know where to be tested for HIV,4.2,3.9,percent
,9.6,,Women who have been tested for HIV and know the results,0.2,0.3,percent
,9.8,,HIV counselling during antenatal care,0.6,1.1,percent
,9.9,,HIV testing during antenatalcare,0.2,0.2,percent
,9.17,,Children's living arrangements,1.8,0.9,percent
Orphaned children,9.18,6.4,Prevalence of children with at least one parent dead,5.2,4.6,percent
,9.19,,School attendance of orphans,78.8,93.6,percent
,9.20,6.4,School attendance of non-orphans,83.3,92.5,percent
