0,1,2,3,4,5
Topic,MICS4,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
CHILD MORTALITY,,,,,
Child Mortality,1.1,4.1,Under-5 mortality rate,31,per thousand
1.2,4.2,Infant mortality rate,28,per thousand,
NUTRITION,,,,,
Nutritional Status,2.1a,1.8,Underweight prevalence,"3,7",percent percent
,2.1b,,Moderate and Severe (- 2 SD) Severe (- 3 SD),"1,2",
2.2a,,Stunting prevalence,"13,1",percent percent,
2.2b,,Moderate and Severe (- 2 SD) Severe (- 3 SD),"5,4",,
2.3a,,Wasting prevalence,"4,1",percent percent,
2.3b,,Moderate and Severe (- 2 SD) Severe (- 3 SD),"1,7",,
Breastfeeding and Infant,2.4,,Children ever breastfed,"96,4",percent
Feeding,,,,,
2.5,,Early initiation of breastfeeding,"67,8",percent,
2.6,,Exclusive breastfeeding under 6 months,"31,8",percent,
2.7,,Continued breastfeeding at 1 year,"50,8",percent,
2.8,,Continued breastfeeding at 2 years,"26,1",percent,
2.9,,Predominant breastfeeding under 6 months,"60,6",percent,
2.10,,Duration of breastfeeding,"14,8",percent,
2.11,,Bottle feeding,"46,7",percent,
2.12,,"Introduction of solid, semi-solid or soft foods","49,4",percent,
2.13,,Minimum meal frequency,"55,3",percent,
2.14,,Age-appropriate breastfeeding,"31,0",percent,
2.15,,Milk feeding frequency for non-breastfed children,"89,4",percent,
Salt Iodization,2.16,,Iodized salt consumption,"85,4",percent
Low Birth Weight,2.18,,Low-birthweight infants,"4,5",percent
2.19,,Infants weighed at birth,"97,6",percent,
Topic,MICS4,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
CHILD HEALTH,,,,,
Vaccinations,3.1,,Tuberculosis immunization coverage (BCG),"99,2",percent
3.2,,Polio immunization coverage (PIC),"81,3",percent,
3.3,,"Immunization coverage for diphtheria, pertussis and tetanus (DPT)","93,0",percent,
3.4,4.3,Measles immunization coverage,"84,2",percent,
3.5,,Hepatitis B immunization coverage (Hep B),"67,0",percent,
Care of Illness,3.8,,Oral rehydration therapy with continued feeding,"54,0",percent
3.9,,Care seeking for suspected pneumonia,"81,2",percent,
3.10,,Antibiotic treatment of suspected pneumonia,"86,6",percent,
Solid Fuel Use,3.11,,Solid fuels,"10,8",percent
WATER AND SANITATION,,,,,
Water,4.1,7.8,Use of improved drinking water sources,"93,9",percent
and Sanitation,,,,,
4.2,,Water treatment,"70,7",percent,
4.3,7.9,Use of improved sanitation,"97,3",percent,
4.4,,Safe disposal of child’s faeces,"66,7",percent,
REPRODUCTIVE HEALTH,,,,,
Contraception and Unmet Need,5.1,5.4,Adolescent birth rate,"23,4",per thousand
5.2,,Early childbearing,"2,3",percent,
5.3,5.3,Contraceptive prevalence rate among Women age 15-49,"51,0",percent percent,
,,Men age 15-49,"48,0",,
5.4,5.6,Unmet need,"11,6",percent,
Maternal and Newborn Health,5.5a,5.5,Antenatal care coverage,"99,2",percent percent
,5.5b,,At least once by skilled personnel At least four times by any provider,"87,0",
5.6,,Content of antenatal care,"98,9",percent,
,5.7,5.2,Skilled attendant at delivery,"99,9",percent
5.8,,Institutional deliveries,"99,6",percent,
5.9,,Caesarean section,"15,9",percent,
CHILD DEVELOPMENT,,,,,
Child Development,6.1,,Support for learning,"91,5",percent
Topic,MICS4,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
Child Development,6.2,,Father’s support for learning,"49,1",percent
6.3,,Learning materials: children’s books,"47,8",percent,
6.4,,Learning materials: playthings,"44,8",percent,
6.5,,Inadequate care,"4,4",percent,
6.6,,Early child development index,"86,1",percent,
6.7,,Attendance in early childhood education,"37,0",percent,
EDUCATION,,,,,
Literacy,7.1,2.3,Literacy rate among young,"99,9",percent percent
and Education,,,Women age 15-24,"99,9",
,,,Men age 15-24,,
7.2,,School readiness,"81,6",percent,
Literacy,7.3,,Net intake rate in primary education,"93,8",percent
and Education,,,,,
7.4,2.1,Primary school net attendance ratio (adjusted),"99,3",percent,
7.5,,Secondary school net attendance ratio (adjusted),"96,1",percent,
7.6,2.2,Children reaching last grade of primary,"100,0",percent,
7.7,,Primary completion rate,"107,4",percent,
7.8,,Transition rate to secondary school,"100,0",percent,
7.9,,Gender parity index (primary school),"1,00",ratio,
7.10,,Gender parity index (secondary school),"1,00",ratio,
CHILD PROTECTION,,,,,
Birth Registration,8.1,,Birth registration,"99,7",percent
Child Discipline,8.5,,Violent discipline,"49,4",percent
Early Marriage,8.6,,Marriage before age 15 among Women age 15-49,"0,2",percent percent
,,,Men age 15-49,"0,3",
8.7,,Marriage before age 18 among Women age 20-49,"8,6",percent percent,
,,Men age 20-49,"1,0",,
8.8,,Currently married or in union Women age 15-19,"4,5",percent percent,
,,Men age 15-19,0.9,,
8.10a,,Spousal age difference,"8,4",percent percent,
8.10b,,Women age 15-19,7.2,,
,,Women age 20-24,,,
Topic,MICS4,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
Domestic Violence,8.14,,Attitudes towards domestic violence: Women age 15-49,"12,2",percent percent
,,,Men age 15-49,"16,7",
HIV/AIDS and SEXUAL BEHAVIOUR,,,,,
HIV/AIDS,9.1,,Comprehensive knowledge about HIV prevention Women age 15-49,"38,0",percent percent
Knowledge and Attitudes,,,Men age 15-49,"37,9",
9.2,6.3,Comprehensive knowledge about HIV prevention among young people,"36,2",percent percent,
,,Women age 15-24,"34,1",,
,,Men age 15-24,,,
9.3,,Knowledge of mother-to-child transmission of HIV Women age 15-49,"52,5",percent percent,
,,Men age 15-49,"38,4",,
HIV/AIDS,9.4,,Accepting attitude towards people living with HIV Women age 15-49,"2,5",percent percent
Knowledge and Attitudes,,,Men age 15-49,"2,7",
9.5,,Respondents who know where to be tested for HIV Women age 15-49,"81,1",percent percent,
,,Men age 15-49,"76,4",,
9.6,,Respondents who have been tested for HIV and know the results,"22,5",percent percent,
,,Women age 15-49,"15,4",,
,,Men age 15-49,,,
9.7,,Sexually active young people who have been tested for HIV and know the results,"34,3",percent percent,
,,Women age 15-24,"16,2",,
,,Men age 15-24,,,
9.8,,HIV counselling during antenatal care,"58,1",percent,
9.9,,HIV testing during antenatal care,"71,5",percent,
Sexual Behaviour,9.10,,Young respondents who have never had sex Women age 15-24,"90,4",percent percent
,,,Men age 15-24,"55,4",
9.11,,Sex before age 15,"0,4",percent percent,
,,Among young women age 15-24 Among young men age 15-24,"1,4",,
Topic,MICS4,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
Sexual Behaviour,9.12,,Age-mixing among sexual partners Women age 15-24,"7,9",percent percent
,,,Men age 15-24,"2,5",
9.13,,Sex with multiple partners,"1,2",percent percent,
,,Women age 15-24,"16,6",,
,,Men age 15-24,,,
9.14,,Condom use during sex with multiple partners Women age 15-24,"73,5",percent percent,
,,Men age 15-24,"76,2",,
9.15,,Sex with non-regular partners Women age 15-24,"7,4",percent percent,
,,Men age 15-24,"38,6",,
9.16,6.2,Condom use with non-regular partners Women age 15-24,"69,9",percent percent,
,,Men age 15-24,"78,3",,
TOBACCO AND ALCOHOL USE,,,,,
Tobacco Use,ТА.1,,Tobacco use,"7,5",percent percent
,,,Women age 15-49,"53,9",
,,,Men age 15-49,,
ТА.2,,Smoking until age 15,"1,3",percent percent,
,,Women age 15-49,"8,7",,
,,Men age 15-49,,,
Alcohol Use,ТА.3,,Alcohol use,"26,6",percent percent
,,,Women age 15-49,"46,4",
,,,Men age 15-49,,
ТА.4,,Alcohol use until age 15,"0,9",percent percent,
,,Women age 15-49,"3,5",,
,,Men age 15-49,,,
MASS MEDIA AND ICI,,,,,
Access to mass media and use of information/ communication technologies,МТ.1,,Access to mass media,"22,9",percent percent
,,,Women age 15-49,"30,3",
,,,Men age 15-49,,
МТ.2,,Use of computers,"83,6",percent percent,
,,Women age 15-24,"82,4",,
,,Men age 15-24,,,
МТ.2,,Use of the Internet,"67,5",percent percent,
,,Women age 15-24,"69,7",,
,,Men age 15-24,,,
