0,1,2,3,4
NUTRITION,,,,
Breastfeeding and infant feeding,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
2.5,Children ever breastfed,Percentage of women with a live birth in the last 2 years who breastfed their last live-born child at any time,97.5,
2.6,Early initiation of breastfeeding,Percentage of women with a live birth in the last 2 years who put their last newborn to the breast within one hour of birth,30.1,
2.7,Exclusive breastfeeding under 6 months,Percentage of infants under 6 months of age who are exclusively breastfed,34.7,
2.8,Predominant breastfeeding under 6 months,Percentage of infants under 6 months of age who received breast milk as the predominant source of nourishment during the previous day,61.0,
2.9,Continued breastfeeding at 1 year,Percentage of children age 12-15 months who received breast milk during the previous day,(74.7),
2.10,Continued breastfeeding at 2 years,Percentage of children age 20-23 months who received breast milk during the previous day,35.5,
2.11,Median duration of breastfeeding,The age in months when 50 percent of children age 0-35 months did not receive breast milk during the previous day,19.8,
2.12,Age-appropriate breastfeeding,Percentage of children age 0-23 months appropriately fed during the previous day,59.5,
2.13,"Introduction of solid, semi-solid or soft foods","Percentage of infants age 6-8 months who received solid, semi-solid or soft foods during the previous day",(91.8),
2.14,Milk feeding frequency for non-breastfed children,Percentage of non-breastfed children age 6-23 months who received at least 2 milk feedings during the previous day,27.0,
2.15,Minimum meal frequency,"Percentage of children age 6-23 months who received solid, semi-solid and soft foods (plus milk feeds for non- breastfed children) the minimum number of times or more during the previous day",68.9,
2.16,Minimum dietary diversity,Percentage of children age 6–23 months who received foods from 4 or more food groups during the previous day,38.6,
2.17a,Minimum acceptable diet,Percentage of breastfed children age 6–23 months who had at least the minimum dietary diversity and the minimum meal frequency during the previous day,22.9,
2.17b,,) Percentage of non-breastfed children age 6–23 months who received at least 2 milk feedings and had at least the minimum dietary diversity not including milk feeds and the minimum meal frequency during the previous day,12.6,
2.18,Bottle feeding,Percentage of children age 0-23 months who were fed with a bottle during the previous day,7.2,
Salt iodization,,,,
2.19,Iodized salt consumption,Percentage of households with salt testing 15 parts per million or more of iodate,94.9,
Low-birthweight,,,,
2.20,Low-birthweight infants,"Percentage of most recent live births in the last 2 years weighing below 2,500 grams at birth",6.7,
2.21,Infants weighed at birth,Percentage of most recent live births in the last 2 years who were weighed at birth,55.5,
CHILD HEALTH,,,,
Vaccinations,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
3.1,,Tuberculosis immunization coverage,Percentage of children age 12-23 months who received BCG vaccine by their first birthday,98.2
3.2,,Polio immunization coverage,Percentage of children age 12-23 months who received the third dose of OPV vaccine (OPV3) by their first birthday,92.4
3.3,,"Diphtheria, pertussis and tetanus (DPT) immunization coverage",Percentage of children age 12-23 months who received the third dose of DPT vaccine (DPT3) by their first birthday,93.3
3.4,MDG 4.3,Measles immunization coverage,Percentage of children age 12-23 months who received measles vaccine by their first birthday,86.3
3.5,,Hepatitis B immunization coverage,Percentage of children age 12-23 months who received the third dose of Hepatitis B vaccine (HepB3) by their first birthday,93.7
3.6,,Haemophilus influenzae type B (Hib) immunization coverage,Percentage of children age 12-23 months who received the third dose of Hib vaccine (Hib3) by their first birthday,91.9
3.8,,Full immunization coverage,Percentage of children age 12-23 months who received all vaccinations recommended in the national immunization schedule by their first birthday,78.2
Tetanus toxoid,,,,
3.9,,Neonatal tetanus protection,Percentage of women age 15-49 years with a live birth in the last 2 years who were given at least two doses of tetanus toxoid vaccine within the appropriate interval prior to the most recent birth,72.2
Diarrhoea,,,,
-,,Children with diarrhoea,Percentage of children under age 5 with diarrhoea in the last 2 weeks,17.8
3.10,,Care-seeking for diarrhoea,Percentage of children under age 5 with diarrhoea in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,39.9
3.11,,Diarrhoea treatment with oral rehydration salts (ORS) and zinc,Percentage of children under age 5 with diarrhoea in the last 2 weeks who received ORS and zinc,16.4
3.12,,Diarrhoea treatment with oral rehydration therapy (ORT) and continued feeding,"Percentage of children under age 5 with diarrhoea in the last 2 weeks who received ORT (ORS packet, pre-packaged ORS fluid, recommended homemade fluid or increased fluids) and continued feeding during the episode of diarrhoea",56.5
Acute Respiratory Infection (ARI) symptoms,,,,
-,,Children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks,5.0
3.13,,Care-seeking for children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,(59.2)
3.14,,Antibiotic treatment for children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks who received antibiotics,(67.8)
Solid fuel use,,,,
3.15,,Use of solid fuels for cooking,Percentage of household members in households that use solid fuels as the primary source of domestic energy to cook,95.0
Malaria / Fever,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
-,,Children with fever,Percentage of children under age 5 with fever in the last 2 weeks,27.4
3.16a,,Household availability of insecticide-treated nets (ITNs),Percentage of households with,77.3
3.16b,,,at least one ITN,44.6
,,,) at least one ITN for every two people,
3.17a,,Household vector control,Percentage of households,
3.17b,,,with at least one ITN or that have been sprayed by IRS in the last 12 months,
,,,) with at least one ITN for every two people or that have been sprayed by IRS in the last 12 months,
,,78.3,,
,,46.6,,
3.18,MDG 6.7,Children under age 5 who slept under an ITN,Percentage of children under age 5 who slept under an ITN the previous night,70.5
3.19,,Population that slept under an ITN,Percentage of household members who slept under an ITN the previous night,61.6
3.20,,Care-seeking for fever,Percentage of children under age 5 with fever in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,49.7
3.21,,Malaria diagnostics usage,Percentage of children under age 5 with fever in the last 2 weeks who had a finger or heel stick for malaria testing,23.9
3.22,MDG 6.8,Anti-malarial treatment of children under age 5,Percentage of children under age 5 with fever in the last 2 weeks who received any antimalarial treatment,45.0
3.23,,Treatment with Artemisinin-based Combination Therapy (ACT) among children who received anti- malarial treatment,Percentage of children under age 5 with fever in the last 2 weeks who received ACT (or other first-line treatment according to national policy),27.5
3.24,,Pregnant women who slept under an ITN,Percentage of pregnant women who slept under an ITN the previous night,79.5
3.25,,Intermittent preventive treatment for malaria during pregnancy,"Percentage of women age 15-49 years who received three or more doses of SP/Fansidar, at least one of which was received during an ANC visit, to prevent malaria during their last pregnancy that led to a live birth in the last 2 years",24.9
WATER AND SANITATION,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
4.1,MDG 7.8,Use of improved drinking water sources,Percentage of household members using improved sources of drinking water,79.4
4.2,,Water treatment,Percentage of household members in households using unimproved drinking water who use an appropriate treatment method,56.0
4.3,MDG 7.9,Use of improved sanitation,Percentage of household members using improved sanitation facilities which are not shared,42.3
4.4,,Safe disposal of child’s faeces,Percentage of children age 0-2 years whose last stools were disposed of safely,85.6
4.5,,Place for handwashing,Percentage of households with a specific place for hand washing where water and soap or other cleansing agent are present,5.0
4.6,,Availability of soap or other cleansing agent,Percentage of households with soap or other cleansing agent,75.5
REPRODUCTIVE HEALTH,,,,
Contraception and unmet need,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
-,,Total fertility rate,Total fertility rate for women age 15-49 years,4.7
5.1,MDG 5.4,Adolescent birth rate,Age-specific fertility rate for women age 15-19 years,93
5.2,,Early childbearing,Percentage of women age 20-24 years who had at least one live birth before age 18,28.2
