0,1,2,3,4
Topic,MICS4 MDG,Value & Unit,,
,Indicator Indicator Indicator Number2 Number,,,
SAMPLE,,,,
Households,Households interviewed,"1,016",Number,
Women,Number of women interviewed,821,Number,
Children,Number of children under-5 years with completed information,454,Number,
CHILD MORTALITY,,,,
Child mortality,1.1 4.1 Under-five mortality rate,91,Per thousand,
,1.2 4.2 Infant mortality rate,70,Per thousand,
NUTRITION,,,,
Underweight,2.1a 1.8 Underweight prevalence (below -2 SD),14.4,Percent,
(Weight-for-age),2.1b 1.8 Underweight prevalence (below -3 SD),3.2,Percent,
Stunting,2.2a Stunting prevalence (below -2 SD),23.5,Percent,
(Height-for-age),2.2b Stunting prevalence (below -3 SD),7.2,Percent,
Wasting,2.3a Wasting prevalence (below -2 SD),6.1,Percent,
(Weight-for-height),2.3b Wasting prevalence (below -3 SD),1.3,Percent,
Breastfeeding,2.5 Early initiation of breastfeeding,37.3,Percent,
2.6 Exclusive breastfeeding rate,7.2,Percent,,
2.7 Continued breastfeeding rate at 12-15 months,80.6,Percent,,
2.8 Continued breastfeeding rate at 20-23 months,39.4,Percent,,
Timely complementary feeding rate,94.0,Percent,,
Frequency of complementary feeding,38.0,Percent,,
Adequately fed infants,24.8,Percent,,
Salt iodization,2.16 Iodized salt consumption,89.8,Percent,
Vitamin A,2.17 Vitamin A supplementation (under-fives),32.8,Percent,
,Vitamin A supplementation (post-partum mothers),,,
,44.7,Percent,,
Low birth weight,2.18 Low birth weight infants,11.6,Percent,
,2.19 Infants weighed at birth,80.9,Percent,
CHILD HEALTH,,,,
Immunization by 12,3.6 Yellow fever vaccination,93.8,Percent,
months,65.9,Percent,,
,78.1,Percent,,
,84.8,Percent,,
,48.7,Percent,,
,31.2,Percent,,
Tetanus toxoid,3.7 Neonatal tetanus protection,78.1,Percent,
Care of illness,Use of oral rehydration therapy (ORT) Home management of diarrhoea,42.9,Percent,
,10.0,Percent,,
,20.8,Percent,,
,75.8,Percent,,
,28.5,Percent,,
Solid fuel use,3.11 Solid fuels,44.0,Percent,
Malaria,3.12 Households having insecticide-treated nets (ITNs),64.4,Percent,
,3.18 6.8 Anti-malarial treatment (under-fives),,,
,3.20                    Intermittent preventive malaria treatment (pregnant women),,,
,Women aged 15-49 years sleeping under insecticide-treated nets,,,
,3.19     Pregnant women aged 15-49 years sleeping under insecticide-treated nets,,,
,63.6,Percent,,
,57.5,Percent,,
,20.2,Percent,,
,23.2,Percent,,
,47.2,Percent,,
,48.2,Percent,,
Topic,MICS4 MDG,Value & Unit,,
,Indicator Indicator Indicator Number2 Number,,,
ENVIRONMENT,,,,
Water and sanitation,4.1 7.8 Use of improved drinking water sources,86.8,Percent,
,4.2 Water treatment,48.8,Percent,
,4.3 7.9 Use of improved sanitation facilities,67.4,Percent,
,4.4 Safe disposal of child's faeces,89.0,Percent,
,3.21 Place for handwashing,63.1,Percent,
,3.22 Availability of soap for handwashing,75.8,Percent,
REPRODUCTIVE HEALTH,,,,
Contraception and unmet,,39.5,Percent,
need,23.8,Percent,,
,62.3,Percent,,
Maternal and newborn health,5.5a 5.5 Antenatal care by a skilled personnel,93.8,Percent,
5.5b 5.5 Four or more antenatal care visits,56.5,Percent,,
Content of antenatal care,,,,
Blood test taken,,,,
Blood pressure measured Urine specimen taken Weight measured,,,,
Adolescent pregnancy (15-19 began child bearing),,,,
5.1 5.4 Adolescent birth rate (ASFR 15-19 years),,,,
89.0,Percent,,,
89.5,Percent,,,
86.8,Percent,,,
91.9,Percent,,,
66.9,Percent,,,
65.4,Percent,,,
3.4,Rate,,,
20.0,Percent,,,
82,Rate,,,
CHILD DEVELOPMENT,,,,
Child development,6.1 Support for learning,25.6,Percent,
,6.2 Father's support for learning,38.7,Percent,
,6.3 Learning materials: children’s books,6.7,Percent,
,6.4 Learning materials: materials for play,33.1,Percent,
,6.5 Inadquate care,19.2,Percent,
,6.6 Early child development index,40.0,Percent,
,6.7 Pre-school attendance,62.4,Percent,
EDUCATION,,,,
Education,7.1 2.3 Adult female literacy rate (female aged 15-24 years),84.3,Percent,
,7.3 Net intake rate in primary education,57.4,Percent,
,7.4 Net primary school attendance ratio,91.2,Percent,
,7.5 Net secondary school attendance ratio,25.5,Percent,
,7.7 Primary completion rate,42.0,Percent,
,7.9 3.1 Gender parity index -primary school,0.98,Ratio,
,7.10 3.2 Gender parity index -secondary school,0.95,Ratio,
CHILD PROTECTION,,,,
Birth registration,8.1 Birth registration,69.1,Percent,
Child labour,8.2 Child labour,6.4,Percent,
,8.3 Labourer students,100.0,Percent,
,8.4 Student labourers,95.1,Percent,
Child discipline,8.5 Any psychological/physical punishment,77.7,Percent,
Early marriage and polygyny,8.6 Marriage before age 15,8.9,Percent,
8.7 Marriage before age 18,27.1,Percent,,
8.8 Young women aged 15-19 currently married/in union,20.1,Percent,,
8.9 Polygyny,12.3,Percent,,
8.10 Spousal age difference of women aged 15-24,20.3,Percent,,
Female genital mutilation/,8.11 Approval for FGM/C,3.8,Percent,
cutting,8.12 Prevalence of female genital mutilation/cutting (FGM/C),12.4,Percent,
,8.13 FGM/C prevalence among daughters,2.0,Percent,
Domestic violence,8.14 Attitudes towards domestic violence,46.5,Percent,
Disability,Reported child disability,29.1,Percent,
Topic,MICS4 MDG,Value & Unit,,
,Indicator Indicator Indicator Number2 Number,,,
"HIV/AIDS, SEXUAL BEHAVIOUR, AND ORPHANED AND VULNERABLE CHILDREN",,,,
