0,1,2,3,4,5
Topic,MICS4,MDG,Indicator,Value and Units,
,Indicator Number,Indicator Number,,,
SAMPLE,,,,,
Households,,,Households interviewed,6828,Number
Women,,,Number of women interview,5908,Number
Children,,,Number of children under-5 years with completed information,5045,Number
CHILD MORTALITY,,,,,
Child mortality,1.1,4.1,Under-five mortality rate,91,per thousand
,1.2,4.2,Infant mortality rate,60,per thousand
NUTRITION,,,,,
Nutritional status,,,Underweight prevalence,,
2.1a,1.8,Moderate and Severe (- 2 SD),14.9,per cent,
2.1b,,Severe (- 3 SD),2.7,per cent,
,,Stunting prevalence,,,
2.2a,,Moderate and Severe (- 2 SD),27.1,per cent,
2.2b,,Severe (- 3 SD),10.6,per cent,
,,Wasting prevalence,,,
,,Moderate and Severe (- 2 SD),3.9,per cent,
,,Severe (- 3 SD),0.6,per cent,
Breastfeeding and infant feeding,2.4,,Children ever breastfed,96.4,per cent
2.5,,Early initiation of breastfeeding,41.2,per cent,
2.6,,Exclusive breastfeeding under 6 months,35.8,per cent,
2.7,,Continued breastfeeding at 1 year,82.2,per cent,
2.8,,Continued breastfeeding at 2 years,43.9,per cent,
2.9,,Predominant breastfeeding under 6 months,52.2,per cent,
2.10,,Duration of breastfeeding,20.5,Median (months),
2.11,,Bottle feeding,11.7,per cent,
2.12,,"Introduction of solid, semi-solid or soft foods",56.7,per cent,
2.13,,Minimum meal frequency,32.2,per cent,
2.14,,Age-appropriate breastfeeding,53.3,per cent,
Salt iodization,2.16,,Iodized salt consumption,87.4,per cent
Topic                           MICS4        MDG          Indicator                                                   Value and Units Indicator Indicator,,,,,
Number Number,,,,,
Vitamin A,2.17,,Vitamin A supplementation (children under age 5),47.4,per cent
Low birth weight,2.18,,Low-birth weight infants,5.4,per cent
,2.19,,Infants weighed at birth,58.8,per cent
CHILD HEALTH,,,,,
Vaccinations,3.1,,Tuberculosis immunization coverage,97.6,per cent
3.2,,Polio immunization coverage,84.4,per cent,
3.3,,"Immunization coverage for diphtheria, pertussis and tetanus (DPT)",91.1,per cent,
3.4,4.3,Measles immunization coverage,95.3,per cent,
3.5,,Hepatitis B immunization coverage,91.1,Per cent,
3.6,,Yellow fever immunization coverage,84.6,per cent,
Tetanus toxoid,3.7,,Neonatal tetanus protection,64.0,per cent
Care of illness,3.8,,Oral rehydration therapy with continued feeding,43.2,per cent
3.9,,Care seeking for suspected pneumonia,50.7,per cent,
3.10,,Antibiotic treatment of suspected pneumonia,50.6,per cent,
Solid fuel use,3.11,,Solid fuels,97.0,per cent
Malaria,3.12,,Household availability of insecticide-treated nets (ITNs),91.4,per cent
3.13,,Households protected by a vector control method,93.5,per cent,
3.14,,Children under age 5 sleeping under any mosquito net,80.5,per cent,
3.15,6.7,Children under age 5 sleeping under insecticide- treated nets (ITNs),77.9,per cent,
3.17,,Antimalarial treatment of children under 5 the same or next day,32.9,per cent,
3.18,6.8,Antimalarial treatment of children under age 5,47.1,per cent,
3.19,,Pregnant women sleeping under insecticide- treated nets (ITNs),77.2,per cent,
3.20,,Intermittent preventive treatment for malaria,26.9,per cent,
WATER AND SANITATION,,,,,
Water and sanitation,4.1,7.8,Use of improved drinking water sources,48.3,per cent
4.2,,Water treatment,60.2,per cent,
4.3,7.9,Use of improved sanitation facilities,15.1,per cent,
4.4,,Safe disposal of child’s faeces,72.5,per cent,
4.5,,Place for hand-washing (water and soap are available),63.6,per cent,
4.6,,"Availability of soap (soap available, water not available)",85.2,per cent,
Topic                           MICS4        MDG          Indicator                                                   Value and Units Indicator Indicator,,,,,
Number Number,,,,,
REPRODUCTIVE HEALTH,,,,,
Contraception and unmet need,5.1,5.4,Adolescent birth rate,184,"per 1,000"
5.2,,Early childbearing,39.9,per cent,
