0,1,2,3,4
CHILD MORTALITY,,,,
Early childhood mortalitya,,,,
MICS Indicator,Indicator,Description,Value,
1.1,Neonatal mortality rate,Probability of dying within the first month of life,29,
1.2 MDG 4.2,Infant mortality rate,Probability of dying between birth and the first birthday,41,
1.3,Post-neonatal mortality rate,Difference between infant and neonatal mortality rates,12,
1.4,Child mortality rate,Probability of dying between the first and the fifth birthdays,7,
1.5 MDG 4.1,Under-five mortality rate,Probability of dying between birth and the fifth birthday,49,
"a Indicator values are per 1,000 live births and refer to the five-year period before the survey",,,,
NUTRITION,,,,
Nutritional status,,,,
MICS Indicator,Indicator,Description,Value,
2.1a MDG 1.8,Underweight prevalence,Percentage of children under age 5 who fall below,7.7,
2.1b,,,1.6,
2.2a,Stunting prevalence,Percentage of children under age 5 who fall below,14.6,
2.2b,,,2.5,
2.3a,Wasting prevalence,Percentage of children under age 5 who fall below,4.0,
2.3b,,,1.1,
2.4,Overweight prevalence,Percentage of children under age 5 who are above two standard deviations of the median weight for height of the WHO standard,3.0,
Breastfeeding and infant feeding,,,,
2.5,Children ever breastfed,Percentage of women with a live birth in the last 2 years who breastfed their last live-born child at any time,95.2,
2.6,Early initiation of breastfeeding,Percentage of women with a live birth in the last 2 years who put their last newborn to the breast within one hour of birth,43.9,
2.7,Exclusive breastfeeding under 6 months,Percentage of infants under 6 months of age who are exclusively breastfed,16.4,
2.8,Predominant breastfeeding under 6 months,Percentage of infants under 6 months of age who received breast milk as the predominant source of nourishment during the previous day,51.5,
2.9,Continued breastfeeding at 1 year,Percentage of children age 12-15 months who received breast milk during the previous day,(72.6),
2.10,Continued breastfeeding at 2 years,Percentage of children age 20-23 months who received breast milk during the previous day,(63.0),
2.11,Median duration of breastfeeding,The age in months when 50 percent of children age 0-35 months did not receive breast milk during the previous day,23.8,
MICS Indicator,Indicator,Description,Value,
2.12,Age-appropriate breastfeeding,Percentage of children age 0-23 months appropriately fed during the previous day,55.6,
2.13,"Introduction of solid, semi-solid or soft foods","Percentage of infants age 6-8 months who received solid, semi-solid or soft foods during the previous day",(88.6),
2.14,Milk feeding frequency for non- breastfed children,Percentage of non-breastfed children age 6-23 months who received at least 2 milk feedings during the previous day,68.1,
2.15,Minimum meal frequency,"Percentage of children age 6-23 months who received solid, semi- solid and soft foods (plus milk feeds for non-breastfed children) the minimum number of times or more during the previous day",76.1,
2.16,Minimum dietary diversity,Percentage of children age 6–23 months who received foods from 4 or more food groups during the previous day,32.3,
2.17a,Minimum acceptable diet,(a) Percentage of breastfed children age 6–23 months who had at,25.7,
2.17b,,least the minimum dietary diversity and the minimum meal frequency,,
,,during the previous day,,
,,(b) Percentage of non-breastfed children age 6–23 months who,16.2,
,,received at least 2 milk feedings and had at least the minimum dietary,,
,,diversity not including milk feeds and the minimum meal frequency,,
,,during the previous day,,
2.18,Bottle feeding,Percentage of children age 0-23 months who were fed with a bottle during the previous day,57.0,
Low-birthweight,,,,
2.20,Low-birthweight infants,"Percentage of most recent live births in the last 2 years weighing below 2,500 grams at birth",9.7,
2.21,Infants weighed at birth,Percentage of most recent live births in the last 2 years who were weighed at birth,94.7,
( ) Figure that is based on 25-49 unweighted cases,,,,
CHILD HEALTH,,,,
Vaccinations,,,,
MICS Indicator,Indicator,Description,Value,
