0,1,2,3,4
CHILD MORTALITY,,,,
Early childhood mortalitya,,,,
MICS Indicator,Indicator,Description,Value,
1.1,Neonatal mortality rate,Probability of dying within the first month of life,9,
1.2 MDG 4.2,Infant mortality rate,Probability of dying between birth and the first birthday,12,
1.3,Post-neonatal mortality rate,Difference between infant and neonatal mortality rates,3,
1.4,Child mortality rate,Probability of dying between the first and the fifth birthdays,3,
1.5 MDG 4.1,Under-five mortality rate,Probability of dying between birth and the fifth birthday,15,
"a Indicator values are per 1,000 live births and refer to the five-year period before the survey",,,,
NUTRITION,,,,
Nutritional status,,,,
MICS Indicator,Indicator,Description,Value,
2.1a MDG 1.8,Underweight prevalence,Percentage of children under age 5 who fall below,1.8,
2.1b,,,0.3,
2.2a,Stunting prevalence,Percentage of children under age 5 who fall below,4.3,
2.2b,,,0.6,
2.3a,Wasting prevalence,Percentage of children under age 5 who fall below,1.4,
2.3b,,,0.3,
2.4,Overweight prevalence,Percentage of children under age 5 who are above two standard deviations of the median weight for height of the WHO standard,4.3,
Breastfeeding and infant feeding,,,,
2.5,Children ever breastfed,Percentage of women with a live birth in the last 2 years who breastfed their last live-born child at any time,96.7,
2.6,Early initiation of breastfeeding,Percentage of women with a live birth in the last 2 years who put their last newborn to the breast within one hour of birth,45.4,
2.7,Exclusive breastfeeding under 6 months,Percentage of infants under 6 months of age who are exclusively breastfed,39.9,
2.8,Predominant breastfeeding under 6 months,Percentage of infants under 6 months of age who received breast milk as the predominant source of nourishment during the previous day,53.2,
2.9,Continued breastfeeding at 1 year,Percentage of children age 12-15 months who received breast milk during the previous day,56.5,
2.10,Continued breastfeeding at 2 years,Percentage of children age 20-23 months who received breast milk during the previous day,31.8,
2.11,Median duration of breastfeeding,The age in months when 50 percent of children age 0-35 months did not receive breast milk during the previous day,14.1,
MICS Indicator,Indicator,Description,Value,
2.12,Age-appropriate breastfeeding,Percentage of children age 0-23 months appropriately fed during the previous day,46.3,
2.13,"Introduction of solid, semi-solid or soft foods","Percentage of infants age 6-8 months who received solid, semi-solid or soft foods during the previous day",90.3,
2.14,Milk feeding frequency for non- breastfed children,Percentage of non-breastfed children age 6-23 months who received at least 2 milk feedings during the previous day,81.1,
2.15,Minimum meal frequency,"Percentage of children age 6-23 months who received solid, semi- solid and soft foods (plus milk feeds for non-breastfed children) the minimum number of times or more during the previous day",90.3,
2.16,Minimum dietary diversity,Percentage of children age 6–23 months who received foods from 4 or more food groups during the previous day,63.3,
2.17a,Minimum acceptable diet,(a) Percentage of breastfed children age 6–23 months who had at,47.1,
2.17b,,least the minimum dietary diversity and the minimum meal frequency,,
,,during the previous day,,
,,(b) Percentage of non-breastfed children age 6–23 months who,51.8,
,,received at least 2 milk feedings and had at least the minimum dietary,,
,,diversity not including milk feeds and the minimum meal frequency,,
,,during the previous day,,
2.18,Bottle feeding,Percentage of children age 0-23 months who were fed with a bottle during the previous day,61.6,
Low-birthweight,,,,
2.20,Low-birthweight infants,"Percentage of most recent live births in the last 2 years weighing below 2,500 grams at birth",5.4,
2.21,Infants weighed at birth,Percentage of most recent live births in the last 2 years who were weighed at birth,99.0,
CHILD HEALTH,,,,
Vaccinations,,,,
MICS Indicator,Indicator,Description,Value,
