0,1,2,3,4,5
Topic,MICS4 MDG,,Value,,
,Indicator Indicator Indicator Number Number,,,,
CHILD MORTALITY,,,,,
Child mortality,1.1,4.1,Under-five mortality rate,79,"per 1,000"
,1.2,4.2,Infant mortality rate,68,"per 1,000"
,1.3 Neonatal mortality rate,32,"per 1,000",,
,1.4 Post-neonatal mortality rate,36,"per 1,000",,
,1.5 Child mortality rate,11,"per 1,000",,
NUTRITION,,,,,
Nutritional status,2.1a,1.8,Underweight prevalence,26.6,per cent
,2.1b,,Moderate and Severe (- 2 SD) Severe (- 3 SD),,
,2.2a,,Stunting prevalence,,
,2.2b,,Moderate and Severe (- 2 SD) Severe (- 3 SD),,
,2.3a,,Wasting prevalence,,
,2.3b,,Moderate and Severe (- 2 SD) Severe (- 3 SD),,
,7.2,per cent,,,
,44.2,per cent,,,
,18.8,per cent,,,
,5.9,per cent,,,
,1.4,per cent,,,
Breastfeeding,2.4 Children ever breastfed,95.6,per cent,,
and infant,2.5 Early initiation of breastfeeding,39.1,per cent,,
feeding,2.6 Exclusive breastfeeding under 6 months,40.4,per cent,,
,2.7,Continued breastfeeding at 1 year,73.0,per cent,
,2.8 Continued breastfeeding at 2 years,40.0,per cent,,
,2.9 Predominant breastfeeding under 6 months,68.3,per cent,,
,2.10,Duration of breastfeeding,19.5,months,
,2.11,Bottle feeding,17.5,per cent,
,2.12,"Introduction of solid, semi-solid or soft foods",52.3,per cent,
,2.13,Minimum meal frequency,43.0,per cent,
,2.14,Age-appropriate breastfeeding,36.7,per cent,
,2.15,Milk feeding frequency for non-breastfed children,51.2,per cent,
Vitamin A,2.17,Vitamin A supplementation (children under age 5),59.1,per cent,
Low birth weight,2.18,Low-birth weight infants,14.8,per cent,
,2.19,Infants weighed at birth,42.5,per cent,
CHILD HEALTH,,,,,
Vaccinations,3.1 Tuberculosis immunization coverage,77.1,per cent,,
,3.2 Polio immunization coverage,49.1,per cent,,
,"3.3 Immunization coverage for diphtheria, pertussis and tetanus (DPT)",51.5,per cent,,
,3.4,4.3,Measles immunization coverage,55.3,per cent
,3.5 Hepatitis B immunization coverage,51.5,per cent,,
Tetanus toxoid,3.7,Neonatal tetanus protection,65.8,per cent,
Care of illness,Oral rehydration therapy with continued feeding,57.4,per cent,,
,Care seeking for suspected pneumonia,,,,
,Antibiotic treatment of suspected pneumonia,,,,
,54.4,per cent,,,
,57.4,per cent,,,
Solid fuel use,3.11,Solid fuels,96.5,per cent,
Topic,MICS4 MDG,Value,,,
,Indicator Indicator Indicator Number Number,,,,
Malaria,3.12,Household availability of insecticide-treated nets (ITNs) 50.2,per cent per cent per cent per cent per cent,,
,3.14,Children under age 5 sleeping under any type of mosquito net 87.4,per cent per cent,,
,3.15 6.7,Children under age 5 sleeping under insecticide-treated nets (ITNs) 43.2,,,
,3.16,Malaria diagnostics usage 9.1,,,
,3.17,Anti-malarial treatment of children under age 5 the same or next 1.2,,,
,3.18 6.8,day,,,
,3.19,Anti-malarial treatment of children under age 5 1.9,,,
,,Pregnant women sleeping under insecticide-treated nets (ITNs) 43.2,,,
WATER AND SANITATION,,,,,
Water and,4.1,7.8,Use of improved drinking water sources,69.9,per cent
sanitation,4.2 Water treatment,53.2,per cent,,
,4.3,7.9,Use of improved sanitation,56.9,per cent
,4.4 Safe disposal of child's faeces,18.6,per cent,,
REPRODUCTIVE HEALTH,,,,,
Contraception,5.1,5.4,Adolescent birth rate,94,"per 1,000"
and unmet need,5.2 Early childbearing,18.2,per cent,,
,5.3,5.3,Contraceptive prevalence rate,49.8,per cent
,5.4,5.6,Unmet need,19.9,per cent
Maternal and newborn health,Antenatal care coverage,54.2,per cent per cent,,
,5.5a 5.5 At least once by skilled personnel,36.9,per cent per cent per cent per cent,,
,b At least four times by any provider,18.3,,,
,Content of antenatal care,41.5,,,
,5.2 Skilled attendant at delivery,37.5,,,
,Institutional deliveries,3.7,,,
,Caesarean section,,,,
Post-natal health checks,5.10,Post-partum stay in health facility,64.9,per cent per cent per cent,
,5.11,Post-natal health check for the newborn Post-natal health check for the mother,40.6,,
,5.12,,39.5,,
Maternal mortality,5.13,5.1,Maternal mortality ratio,357,"per 100,000"
CHILD DEVELOPMENT,,,,,
Child,6.1 Support for learning,57.4,per cent,,
development,6.2 Father's support for learning,51.5,per cent,,
,6.3 Learning materials: children’s books,5.0,per cent,,
,6.4 Learning materials: playthings,40.9,per cent,,
,6.5 Inadequate care,14.0,per cent,,
,6.6 Early child development index,81.3,per cent,,
,6.7 Attendance to early childhood education,23.0,per cent,,
Topic,MICS4 MDG,,Value,,
,Indicator Indicator Indicator Number Number,,,,
EDUCATION,,,,,
Literacy and,Literacy rate among young people,,,,
,2.3                         women age 15-24 years men age 15-24 years,,,,
,School readiness,,,,
,Net intake rate in primary education,,,,
,2.1 Primary school net attendance ratio (adjusted),,,,
,Secondary school net attendance ratio (adjusted),,,,
,2.2 Children reaching last grade of primary,,,,
,Primary completion rate,,,,
,Transition rate to secondary school,,,,
,Gender parity index (primary school),,,,
,Gender parity index (secondary school),,,,
education,68.7,per cent,,,
,77.4,per cent,,,
,23.7,per cent,,,
,63.9,per cent,,,
,84.9,per cent,,,
,44.6,per cent,,,
,65.3,per cent,,,
,94.2,per cent,,,
,90.9,per cent,,,
,0.99,ratio,,,
,1.00,ratio,,,
CHILD PROTECTION,,,,,
Birth registration,8.1 Birth registration,74.8,per cent,,
Child discipline,8.5,Violent discipline,75.7,per cent,
Early marriage,Marriage before age 15,,,,
,women age 15-49 years,,,,
,women age 20-49 years,,,,
,Young women age 15-19 years currently married or in union,,,,
,men age 15-49 years Marriage before age 18,,,,
,men age 20-49 years,,,,
,Young men age 15-19 years currently married or in union Spousal age difference,,,,
,8.10a women age 15-19 years,,,,
,8.10b women age 20-24 years,,,,
,9.3,per cent,,,
,3.0,per cent,,,
,37.0,per cent,,,
,14.6,per cent,,,
,24.7,per cent,,,
,9.0,per cent,,,
,11.4,per cent,,,
