0,1,2,3,4,5
Sujet,Numéro Indicateur MICS4,Numéro Indicateur OMD,Indicateur,Valeur,
MORTALITÉ DES ENFANTS,,,,,
Mortalité des enfants,1.1,4.1,Taux de mortalité enfants moins de cinq ans,124,pour mille
1.2,4.2,Taux mortalité infantile,78,pour mille,
NUTRITION,,,,,
Etat nutritionnel,2.1a,1.8,Prévalence insuffisance pondérale Modérée et grave (- 2 SD),"16,6",pour cent
2.1b,Grave (- 3 SD),"4,2",pour cent,,
2.2a,,Prévalence retard croissance Modéré et grave (- 2 SD),"29,7",pour cent,
2.2b,,Grave (- 3 SD),"8,7",pour cent,
2.3a,,Prévalence émaciation Modérée et grave (- 2 SD),"4,8",pour cent,
2.3b,,Grave (- 3 SD),"1,0",pour cent,
Allaitement et alimentation infantile,2.4,,Enfants jamais allaités,"4,0",pour cent
2.5,,Mis au sein moins d’une heure après la naissance,"46,0",pour cent,
2.6,,Allaitement exclusif des moins de 6 mois,"62,4",pour cent,
2.7,,Poursuite allaitement à 1 an,"92,5",pour cent,
2.8,,Poursuite allaitement à 2 ans,"63,8",pour cent,
2.9,,Allaitement prédominant moins de 6 mois,"75,6",pour cent,
2.10,,Durée moyenne de l’allaitement,"22,7",pour cent,
2.11,,Allaitement au biberon,"3,7",pour cent,
2.12,,"Introduction d’aliments solides, semi-solides ou mous","44,2",pour cent,
2.13,,Fréquence repas minimum,"34,3",pour cent,
2.14,,Allaitement approprié à l’âge,"64,6",pour cent,
2.15,,Fréquence alimentation lactée pour enfants non allaités au sein,"21,9",pour cent,
Iodation du sel,2.16,,Consommation de sel iodé,"31,5",pour cent
Vitamine A,2.17,,Supplément en vitamine A (enfants moins de 5 ans),"88,1",pour cent
Insuffisance pondérale,2.18,,Nourrissons de poids insuffisant à la naissance,"11,1",pour cent
à la naissance,,,,,
2.19,,Nourrissons pesés à la naissance,"51,8",pour cent,
SANTÉ DE L’ENFANT,,,,,
Vaccinations,3.1,,Couverture vaccinale contre la tuberculose,"90,7",pour cent
3.2,,Couverture vaccinale contre la poliomyélite,"65,4",pour cent,
3.3,,"Couverture vaccinale contre la diphtérie, la coqueluche et le tétanos (DCTCoq)","59,1",pour cent,
3.4,4.3,Couverture vaccinale contre la rougeole,"63,8",pour cent,
3.5,,Couverture vaccinale contre l’hépatite B,"14,2",pour cent,
3.6,,Couverture vaccinale contre la fièvre jaune,"60,3",pour cent,
Vaccin antitétanique,3.7,,Protection néonatale contre le tétanos,"66,9",pour cent
Traitement de la maladie,3.8,,Thérapie par réhydratation orale avec alimentation continue,"23,6",pour cent
3.9,,Recours aux soins pour pneumonie suspectée,"32,1",pour cent,
3.10,,Antibiothérapie de pneumonie suspectée,"40,8",pour cent,
Utilisation des combustibles solides,3.11,,Combustibles solides,"97,5",pour cent
Paludisme,3.12,,Disponibilité de moustiquaires imprégnées (MI) dans le ménage,"56,7",pour cent
3.13,,Ménage protégé par une méthode de lutte contre le vecteur,"57,1",pour cent,
3.14,,Enfants de moins de 5 ans dormant sous n’importe quelle moustiquaire,"58,8",pour cent,
3.15,6.7,Enfants de moins de 5 ans dormant sous moustiquaires imprégnées (MI),"57,1",pour cent,
3.16,,Usage de diagnostics du paludisme,"18,4",pour cent,
