0,1,2,3,4,5,6
,Mics4 indicator number,MdG indicator number,,value,,
topic,,,indicator,,,
Macedonia,Roma set- tlements,,,,,
CHILD MORTALITY,,,,,,
Child Mortality,1.2,4.2,Infant mortality rate,N/A,131,per thousand
1.1,4.1,Under five mortality rate,N/A,142,per thousand,
NUTRITION,,,,,,
Nutritional status,,,Underweight prevalence Moderate and Severe (- 2 SD) Severe (- 3 SD),,,
,2.1a,1.8,,1.3,7.6,percent percent
,2.1b,,,0.2,2.0,
,,Stunting prevalence,,,,
2.2a,,Moderate and Severe (- 2 SD) Severe (- 3 SD),4.9,16.5,percent percent,
2.2b,,,2.0,3.0,,
,,Wasting prevalence,,,,
2.3a,,Moderate and Severe (- 2 SD) Severe (- 3 SD),1.8,4.5,percent percent,
2.3b,,,0.2,1.7,,
Breastfeeding and infant feeding,2.4,,Children ever breastfed,93.9,95.5,percent
2.5,,Early initiation of breastfeeding,21.0,38.6,percent,
2.6,,Exclusive breastfeeding under 6 months,23.0,(32.1),percent,
2.7,,Continued breastfeeding at 1 year,33.8,(52.8),percent,
2.8,,Continued breastfeeding at 2 years,12.8,(54.7),percent,
2.9,,Predominant breastfeeding under 6 months,44.1,(67.6),percent,
2.10,,Duration of breastfeeding,10.0,17.9,months,
2.11,,Bottle feeding,79.3,68.0,percent,
2.12,,"Introduction of solid, semi-solid or soft foods",40.5,(*),percent,
2.13,,Minimum meal frequency,65.2,62.5,percent,
2.14,,Age-appropriate breastfeeding,22.4,42.9,percent,
2.15,,Milk feeding frequency for non-breastfed children,92.0,76.1,percent,
Low birth weight,2.18,,Low-birth weight infants,5.5,11.2,percent
2.19,,Infants weighed at birth,96.3,94.0,percent,
CHILD HEALTH,,,,,,
Vaccinations,3.1,,Tuberculosis immunization coverage,97.1,96.4,percent
3.2,,Polio immunization coverage,91.7,81.3,percent,
3.3,,"Immunization coverage for diphtheria, pertussis and tetanus (DPT)",91.9,77.9,percent,
3.4,4.3,Measles immunization coverage,91.6,88.9,percent,
3.5,,Hepatitis B immunization coverage,90.6,85.3,percent,
Solid fuel use,3.11,,Solid fuels,33.6,33.0,percent
,Mics4 indicator number,MdG indicator number,,value,,
topic,,,indicator,,,
Macedonia,Roma set- tlements,,,,,
WATER AND SANITATION,,,,,,
Water and sanitation,4.1,7.8,Use of improved drinking water sources,99.6,99.1,percent
4.2,,Water treatment,1.5,(15.1),percent,
4.3,7.9,Use of improved sanitation,92.9,91.1,percent,
4.4,,Safe disposal of child’s faeces,17.3,25.0,percent,
REPRODUCTIVE HEALTH,,,,,,
Contraception and unmet need,5.1,5.4,Adolescent birth rate,12,(94)3,"per 1,000"
5.2,,Early childbearing,nd4,27.3,percent,
5.3,5.3,Contraceptive prevalence rate,40.2,37.0,percent,
5.4,5.6,Unmet need,12.1,21.1,percent,
Maternal and newborn health,,,Antenatal care coverage,,,
,5.5a,5.5,At least once by skilled personnel At least four times by any provider,98.6,94.0,percent percent
,5.5b,,,93.9,85.9,
5.6,,Content of antenatal care,94.1,82.7,percent,
,5.7,5.2,Skilled attendant at delivery,98.3,99.5,percent
5.8,,Institutional deliveries,98.4,99.1,percent,
5.9,,Caesarean section,24.9,13.1,percent,
CHILD DEVELOPMENT,,,,,,
Child devel- opment,6.1,,Support for learning,91.5,61.8,percent
6.2,,Father’s support for learning,71.1,56.8,percent,
6.3,,Learning materials: children’s books,52.4,27.1,percent,
6.4,,Learning materials: playthings,70.7,62.1,percent,
6.5,,Inadequate care,5.0,7.4,percent,
6.6,,Early child development index,92.7,72.2,percent,
6.7,,Attendance to early childhood education,21.8,3.9,percent,
EDUCATION,,,,,,
Literacy and education,7.1,2.3,Literacy rate among young women age 15-24 years,97.4,76.6,percent
7.2,,School readiness,40.0,36.1,percent,
7.3,,Net intake rate in primary education,91.2,84.3,percent,
7.4,2.1,Primary school net attendance ratio (adjusted),98.3,85.6,percent,
7.5,,Secondary school net attendance ratio (adjust- ed),85.7,39.2,percent,
7.6,2.2,Children reaching last grade of primary,98.6,89.2,percent,
7.7,,Primary completion rate,97.4,67.1,percent,
7.8,,Transition rate to secondary school,98.0,80.4,percent,
7.9,,Gender parity index (primary school),1.00,1.00,ratio,
7.10,,Gender parity index (secondary school),.96,.80,ratio,
,Mics4 indicator number,MdG indicator number,,value,,
topic,,,indicator,,,
Macedonia,Roma set- tlements,,,,,
CHILD PROTECTION,,,,,,
Birth registra- tion,8.1,,Birth registration,99.7,98.4,percent
Child labour,8.2,,Child labour,16.6,10.3,percent
8.3,,School attendance among child labourers,83.6,74.0,percent,
8.4,,Child labour among students,16.2,10.3,percent,
Child disci- pline,8.5,,Violent discipline,69.3,82.0,percent
Early marriage and polygyny,,,Marriage before age 15 among women age 15-49 years,,,
,8.6,,,1.4,11.9,percent
Domestic violence,,,,,,
,,Marriage before age 18 among women age 20-49 years,,,,
8.7,,,10.7,47.0,percent,
8.8,,Young women age 15-19 years currently married or in union,4.3,22.4,percent,
,,Spousal age difference women age 20-24 years,,,,
8.10.b,,,8.4,5.1,percent,
8.14,,Attitudes towards domestic violence,,,,
,,women age 15-49 years,14.5,25.4,percent,
Orphaned children,9.17,,Children’s living arrangements,0.7,2.2,percent
9.18,,Prevalence of children with one or both parents dead,1.9,3.3,percent,
SUBJECTIVE WELL-BEING,,,,,,
Subjective well-being,,,Life satisfaction among women age 15-24 years,,,
,SW.1,,,68.5,60.2,percent
,,Happiness among women age 15-24 years,,,,
SW.2,,,94.0,83.6,percent,
,,Perception of a better life among women age 15-24 years,,,,
SW.3,,,54.6,39.0,percent,
TOBACCO AND ALCOHOL USE,,,,,,
Tobacco use,,,Tobacco use among women age 15-49 years,,,
,TA.1,,,30.0,42.1,percent
,,Smoking before age 15 among women age 15-49 years,,,,
TA.2,,,5.2,22.7,percent,
Alcohol use,,,Alcohol use among women age 15-49 years,,,
,TA.3,,,28.5,11.2,percent
,,Use of alcohol before age 15 among women age 15-49 years,,,,
TA.4,,,2.6,4.8,percent,
