0,1,2,3,4
Sujet,Numéro Indicateur MICS4,Numéro,Valeur,
,,Indicateur Indicateur1 OMD,,
MORTALITE DES ENFANTS,,,,
,1.1,4.1,Taux de mortalité des enfants de moins de cinq ans,90 ‰
Mortalité des enfants,1.2,4.2,Taux de mortalité infantile Taux de mortalité néonatale,64‰
,1.3,,Taux de mortalité post-néonatale,30 ‰
,1.4,,,34 ‰
,1.5,,Taux de mortalité juvénile,28 ‰
NUTRITION,,,,
Allaitement et,2.4,,Enfants allaités,"97,1 %"
alimentation,2.5,Mise au sein dans l'heure suivant la naissance Allaitement exclusif des moins de 6 mois,"45,5 %",
infantile,2.6,,"26,6 %",
,2.7,Poursuite de l’allaitement à 1 an,"83,1 %",
,2.8,Poursuite de l’allaitement à 2 ans,"39,3 %",
,2.9,Allaitement prédominant pour les moins de 6 mois,"73,1 %",
,2.10,Durée médiane de l’allaitement,"19,6 mois",
,2.11,Allaitement au biberon,"0,9 %",
,2.12,"Introduction d’aliments solides, semi-solides ou mous","91,1 %",
,2.13,Fréquence minimum des repas,"68,4 %",
,2.15,Fréquence alimentation lactée pour enfants non allaités au sein,"11,5 %",
Consommation de micronutriments,2.17,,Supplémentation en Vitamine A (enfants de moins de 5 ans),"69,8 %"
SANTE DE L’ENFANT,,,,
Vaccinations,3.1,,Couverture vaccinale contre la tuberculose,"63,5 %"
,3.2,,Couverture vaccinale contre la poliomyélite,"42,1 %"
,3.3,,"Couverture vaccinale contre la diphtérie, la coqueluche et le","44,5 %"
,,,tétanos (DTCoq),
,3.4,4.3,Couverture vaccinale contre la rougeole,"47,2 %"
Vaccin antitétanique,3.7,,Protection néonatale contre le tétanos,"63,1 %"
Traitement des maladies,3.8,,Thérapie par réhydratation orale avec alimentation continue Recours aux soins en cas de suspicion de pneumonie Antibiothérapie pour les cas présumés de pneumonie,"58,2 %"
,3.9,,,"35,7 %"
,3.10,,,"61,6 %"
Utilisation de combustibles solides,3.11,,Combustibles solides,"99,8 %"
Paludisme,3.12,,Disponibilité de moustiquaires imprégnées (MI) dans le ménage,"78,1 %"
,3.13,,Ménages protégés par une méthode de lutte contre le vecteur,"86,5 %"
,3.14,,Enfants de moins de 5 ans dormant sous n’importe quelle,"62,4 %"
,,,moustiquaire,
,3.15,6.7,Enfants de moins de 5 ans dormant sous moustiquaire imprégnée,"60,2 %"
,,,(MI),
,3.16,,Utilisation des tests de diagnostic du paludisme,"10,5 %"
,3.17,,Traitement antipaludique enfants moins de 5 ans donné le même,"14,2 %"
,,,jour ou le jour suivant,
,3.18,6.8,Traitement antipaludique donné aux enfants de moins de 5 ans,"17,1 %"
,3.19,,Femmes enceintes dormant sous moustiquaire imprégnée (MI),"62,6 %"
,3.20,Traitement préventif intermittent du paludisme,"56,0 %",
Sujet,Numéro Indicateur MICS4,Numéro,Valeur,
,,Indicateur Indicateur1 OMD,,
MORTALITE DES ENFANTS,,,,
,1.1,4.1,Taux de mortalité des enfants de moins de cinq ans,90 ‰
Mortalité des enfants,1.2,4.2,Taux de mortalité infantile Taux de mortalité néonatale,64‰
,1.3,,Taux de mortalité post-néonatale,30 ‰
,1.4,,,34 ‰
,1.5,,Taux de mortalité juvénile,28 ‰
NUTRITION,,,,
Allaitement et,2.4,,Enfants allaités,"97,1 %"
alimentation,2.5,Mise au sein dans l'heure suivant la naissance Allaitement exclusif des moins de 6 mois,"45,5 %",
infantile,2.6,,"26,6 %",
,2.7,Poursuite de l’allaitement à 1 an,"83,1 %",
,2.8,Poursuite de l’allaitement à 2 ans,"39,3 %",
,2.9,Allaitement prédominant pour les moins de 6 mois,"73,1 %",
,2.10,Durée médiane de l’allaitement,"19,6 mois",
,2.11,Allaitement au biberon,"0,9 %",
,2.12,"Introduction d’aliments solides, semi-solides ou mous","91,1 %",
,2.13,Fréquence minimum des repas,"68,4 %",
,2.15,Fréquence alimentation lactée pour enfants non allaités au sein,"11,5 %",
Consommation de micronutriments,2.17,,Supplémentation en Vitamine A (enfants de moins de 5 ans),"69,8 %"
SANTE DE L’ENFANT,,,,
Vaccinations,3.1,,Couverture vaccinale contre la tuberculose,"63,5 %"
,3.2,,Couverture vaccinale contre la poliomyélite,"42,1 %"
,3.3,,"Couverture vaccinale contre la diphtérie, la coqueluche et le","44,5 %"
,,,tétanos (DTCoq),
,3.4,4.3,Couverture vaccinale contre la rougeole,"47,2 %"
Vaccin antitétanique,3.7,,Protection néonatale contre le tétanos,"63,1 %"
Traitement des maladies,3.8,,Thérapie par réhydratation orale avec alimentation continue Recours aux soins en cas de suspicion de pneumonie Antibiothérapie pour les cas présumés de pneumonie,"58,2 %"
,3.9,,,"35,7 %"
,3.10,,,"61,6 %"
Utilisation de combustibles solides,3.11,,Combustibles solides,"99,8 %"
Paludisme,3.12,,Disponibilité de moustiquaires imprégnées (MI) dans le ménage,"78,1 %"
,3.13,,Ménages protégés par une méthode de lutte contre le vecteur,"86,5 %"
,3.14,,Enfants de moins de 5 ans dormant sous n’importe quelle,"62,4 %"
,,,moustiquaire,
,3.15,6.7,Enfants de moins de 5 ans dormant sous moustiquaire imprégnée,"60,2 %"
,,,(MI),
,3.16,,Utilisation des tests de diagnostic du paludisme,"10,5 %"
,3.17,,Traitement antipaludique enfants moins de 5 ans donné le même,"14,2 %"
,,,jour ou le jour suivant,
,3.18,6.8,Traitement antipaludique donné aux enfants de moins de 5 ans,"17,1 %"
,3.19,,Femmes enceintes dormant sous moustiquaire imprégnée (MI),"62,6 %"
,3.20,Traitement préventif intermittent du paludisme,"56,0 %",
Sujet,Numéro Indicateur MICS4,Numéro,Valeur,
,,Indicateur Indicateur1 OMD,,
EAU ET ASSAINISSEMENT,,,,
Eau et,4.1,7.8,Utilisation de source améliorée d’eau de boisson,"26,0 %"
Assainissement,4.2,,Traitement de l’eau,"16,3 %"
,4.3,7.9,Utilisation d’installations sanitaires améliorées,"1,9 %"
,4.4,,Elimination hygiénique des matières fécales de l’enfant,"3,4 %"
,4.5,,Endroit pour le lavage des mains,"4,5 %"
,4.6,,Disponibilité de savon,"33,0 %"
SANTE DE LA REPRODUCTION,,,,
Contraception et,5.1,5.4,Taux de fécondité des adolescentes,241 ‰
besoins non,5.2,5.3,Grossesses précoces Prévalence contraceptive,"56,7 %"
satisfaits,5.3,,,"17,3 %"
,5.4,5.6,Besoins non satisfaits en contraception,"15,4 %"
Santé de la mère et du nouveau-né,5.5a,5.5,Couverture des soins prénatals,"74,6 %"
,5.5b,,Au moins une fois par le personnel qualifié,"43,3 %"
,,,Au moins quatre fois par n’importe quel prestataire Contenu des soins prénatals,
,,,Personnel qualifié à l’accouchement Accouchement dans une structure de santé Accouchement par césarienne,
,5.6,,"7,9 %",
,5.7,5.2,"28,5 %",
,5.8,,"23,5 %",
,5.9,,"0,0 %",
Soinspost-natals,5.10,,Séjour post-partum dans une structure de santé,"92,0 %"
,5.11,Examen de santé postnatal du nouveau-né,"64,5 %",
,5.12,Examen de santé postnatal de la mère,"62,5 %",
DEVELOPPEMENT DE L’ENFANT,,,,
Développement,6.1,,Soutien à l’apprentissage,"8,5 %"
de l’enfant,6.2,Appui du père à l’apprentissage,"19,7 %",
,6.3,Matériel d’apprentissage : livres pour enfants,"1,0 %",
,6.4,Matériel d’apprentissage : jouets,"22,3 %",
,6.5,Garde inadéquate,"30,4 %",
,6.6,Indice de développement du jeune enfant,"67,3 %",
,6.7,Fréquentation du préscolaire,"8,7 %",
EDUCATION,,,,
Alphabétisation,7.1,2.3,Taux d’alphabétisation des jeunes femmes,"47,4 %"
et Education,7.2,,Préparation à l’école,"7,4 %"
,7.3,,Taux d’admission à l’éducation primaire,"47,3 %"
,7.4,2.1,Taux net de scolarisation primaire (ajusté),"58,4 %"
,7.5,,Taux net de scolarisation secondaire (ajusté),"17,0 %"
,7.6,2.2,Enfants atteignant la dernière classe du primaire,"60,1 %"
