0,1,2,3,4
CHILD MORTALITY,,,,
Early childhood mortalitya,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
1.1,,Neonatal mortality rate,Probability of dying within the first month of life,29
1.2,MDG 4.2,Infant mortality rate,Probability of dying between birth and the first birthday,53
1.3,,Post-neonatal mortality rate,Difference between infant and neonatal mortality rates,24
1.4,,Child mortality rate,Probability of dying between the first and the fifth birthdays,33
1.5,MDG 4.1,Under-five mortality rate,Probability of dying between birth and the fifth birthday,85
a Rates refer to the 5-year period preceding the survey.,,,,
NUTRITION,,,,
Nutritional status,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
2.1a,MDG 1.8,Underweight prevalence,Percentage of children under age 5 who fall below,
2.1b,,Moderate and severe,minus two standard deviations (moderate and severe),
,,Severe,minus three standard deviations (severe),
,,,of the median weight for age of the WHO standard,
,16.7,,,
,3.7,,,
2.2a,,Stunting prevalence,Percentage of children under age 5 who fall below,42.4
2.2b,,Moderate and severe,minus two standard deviations (moderate and severe),16.3
,,Severe,) minus three standard deviations (severe),
,,,of the median height for age of the WHO standard,
2.3a,,Wasting prevalence,Percentage of children under age 5 who fall below,3.8
2.3b,,Moderate and severe,minus two standard deviations (moderate and severe),1.1
,,Severe,minus three standard deviations (severe),
,,,of the median weight for height of the WHO standard,
2.4,,Overweight prevalence,Percentage of children under age 5 who are above two standard deviations of the median weight for height of the WHO standard,5.1
Breastfeeding and infant feeding,,,,
2.5,Children ever breastfed,Percentage of women with a live birth in the last 2 years who breastfed their last live-born child at any time,97.8,
2.6,Early initiation of breastfeeding,Percentage of women with a live birth in the last 2 years who put their last newborn to the breast within one hour of birth,74.5,
2.7,Exclusive breastfeeding under 6 months,Percentage of infants under 6 months of age who are exclusively breastfed,70.2,
2.8,Predominant breastfeeding under 6 months,Percentage of infants under 6 months of age who received breast milk as the predominant source of nourishment during the previous day,80.1,
2.9,Continued breastfeeding at 1 year,Percentage of children age 12-15 months who received breast milk during the previous day,97.2,
2.10,Continued breastfeeding at 2 years,Percentage of children age 20-23 months who received breast milk during the previous day,75.4,
2.11,Median duration of breastfeeding,The age in months when 50 percent of children age 0-35 months did not receive breast milk during the previous day,24.1,
2.12,Age-appropriate breastfeeding,Percentage of children age 0-23 months appropriately fed during the previous day,84.1,
2.13,"Introduction of solid, semi-solid or soft foods","Percentage of infants age 6-8 months who received solid, semi-solid or soft foods during the previous day",88.6,
2.14,Milk feeding frequency for non-breastfed children,Percentage of non-breastfed children age 6-23 months who received at least 2 milk feedings during the previous day,12.5,
2.15,Minimum meal frequency,"Percentage of children age 6-23 months who received solid, semi-solid and soft foods (plus milk feeds for non-breastfed children) the minimum number of times or more during the previous day",46.8,
2.16,Minimum dietary diversity,Percentage of children age 6–23 months who received foods from 4 or more food groups during the previous day,26.6,
2.17a,Minimum acceptable diet,Percentage of breastfed children age 6–23 months who had at least the minimum dietary diversity and the minimum meal frequency during the previous day,15.0,
2.17b,,Percentage of non-breastfed children age 6–23 months who received at least 2 milk feedings and had at least the minimum dietary diversity not including milk feeds and the minimum meal frequency during the previous day,5.2,
2.18,Bottle feeding,Percentage of children age 0-23 months who were fed with a bottle during the previous day,4.2,
Salt iodization,,,,
