0,1,2,3,4
SUJET,NUMERO,NUMERO,INDICATEUR,VALEUR
,INDICATEUR MICS 4,INDICATEUR OMD,,
MORTALITE DES ENFANTS,,,,
Mortalité des enfants,1.1,4.1,Taux de mortalité des enfants de moins de cinq ans,118 ‰
1.2,4.2,Taux mortalité infantile,75 ‰,
NUTRITION,,,,
Etat Nutritionnel,Insuffisance pondérale,,,
2.1a,1.8,Modérée et grave (- 2 SD),"24,4 %",
2.1b,,Sévère (-3D),"8,2 %",
Retard croissance,,,,
2.2a,,Modéré et grave (- 2 SD),"29,7 %",
2.2b,,Sévère (- 3 SD),"12,6 %",
Emaciation,,,,
2.3a,,Modéré et grave (- 2 SD),"13,9 %",
2.3b,,Sévère (- 3 SD),"4,0 %",
Allaitement et alimentation infantile,2.4,,Enfants ayant été allaités,"94,8 %"
2.5,,Mise au sein moins d’une heure après la naissance,"55,7 %",
2.6,,Allaitement exclusif des moins de 6 mois,"26,9 %",
2.7,,Poursuite de l’allaitement à 1 an,"85,0 %",
2.8,,Poursuite de l’allaitement à 2 ans,"35,5 %",
2.9,,Allaitement prédominant pour les moins de 6 mois,"61,0 %",
2.10,,Durée moyenne de l’allaitement,"19,3 mois",
2.11,,Alimentation au biberon,"11,0 %",
2.12,,"Introduction d’aliments solides, semi-solides ou mous","47,9 %",
2.13,,Fréquence minimum des repas,"18,7 %",
2.14,,Allaitement approprié à l’âge,"44,0 %",
2.15,,Fréquence alimentation lactée pour enfants non allaités au sein,"53,2 %",
Iodation du sel,2.16,,Consommation de sel iodé,"7,3 %"
Vitamine A,2.17,,Supplémentation en vitamine A (enfants moins de 5 ans),"79,4 %"
Insuffisance pondérale à la naissance,2.18,,Nourrissons de poids insuffisant à la naissance,"34,7 %"
2.19,,Nourrissons pesés à la naissance,"22,1 %",
SANTE DE L’ENFANT,,,,
Vaccinations,3.1,,Couverture vaccinale contre la tuberculose,"90,7 %"
3.2,,Couverture vaccinale contre la poliomyélite,"54,5 %",
3.3,,"Couverture vaccinale contre la diphtérie, la coqueluche et le tétanos (DCTCoq)","57,3 %",
3.4,4.3,Couverture vaccinale contre la rougeole,"63,3 %",
3.5,,Couverture vaccinale contre l’hépatite B,"57,3 %",
Vaccin antitétanique,3.7,,Protection néonatale contre le tétanos,"55,7 %"
Traitement des maladies,3.8,,Thérapie par réhydratation orale avec alimentation continue,"40,4 %"
3.9,,Recours aux soins pour pneumonie présumée,"43,0 %",
3.10,,Antibiothérapie de pneumonie présumée,"30,4 %",
Utilisation de combustibles solides,3.11,,Combustibles solides,"59,8 %"
Paludisme,3.12,,Disponibilité de moustiquaires imprégnées (MI) dans le ménage,"45,7 %"
3.14,,Enfants de moins de 5 ans dormant sous n’importe quelle moustiquaire,"27,3 %",
3.15,6.7,Enfants de moins de 5 ans dormant sous moustiquaire imprégnée (MI),"18,7 %",
3.16,,Usage de diagnostics du paludisme,"5,1 %",
3.17,,Traitement antipaludique enfants moins de 5 ans donné le même jour ou le jour suivant,"8,6 %",
3.18,6.8,Traitement antipaludique donné aux enfants de moins de 5 ans,"19,7 %",
3.19,,Femmes enceintes dormant sous moustiquaire imprégnée (MI),"22,0 %",
3.20,,Traitement préventif intermittent du paludisme,"18,9 %",
SUJET,NUMERO,NUMERO,INDICATEUR,VALEUR
,INDICATEUR MICS 4,INDICATEUR OMD,,
EAU ET ASSAINISSEMENT,,,,
Eau et Assainissement,4.1,7.8,Utilisation de source améliorée d’eau de boisson,"53,0 %"
4.2,,Traitement de l’eau,"28,8 %",
4.3,7.9,Utilisation d’installations sanitaires améliorées,"32,3 %",
4.4,,Elimination hygiénique des matières fécales de l’enfant,"20,3 %",
4.5,,Endroit pour le lavage des mains,"56,3 %",
4.6,,Disponibilité de savon,"66,3 %",
SANTE DE LA REPRODUCTION,,,,
Contraception et besoins non satisfaits,5.1,5.4,Taux de fécondité des adolescentes,71 ‰
5.2,,Grossesses précoce,"23,6 %",
5.3,5.3,Prévalence contraceptive,"11,4 %",
5.4,5.6,Besoins non satisfaits en contraception,"31,1 %",
Santé maternelle et du nouveau-né,Soins prénatals,,,
5.5a,5.5,Au moins une fois par le personnel qualifié,"84,2 %",
5.5b,5.5,Au moins quatre fois par n’importe quel prestataire,"48,4 %",
5.6,,Contenu des soins prénatals,"58,2 %",
,5.7,5.2,Personnel qualifié à l’accouchement,"65,1 %"
5.8,,Accouchement dans une structure de santé,"64,5 %",
5.9,,Césarienne,"9,6 %",
Mortalité maternelle,5.13a,5.1,Taux de mortalité maternelle selon la méthode directe,715 pour 100.000
5.13b,5.1,Taux de mortalité maternelle selon la méthode indirecte,626 pour 100.000,
DEVELOPPEMENT DE L ’ ENFANT,,,,
Développement de l’enfant,6.1,,Soutien à l’apprentissage,"54,5 %"
6.2,,Appui du père à l’apprentissage,"28,3 %",
6.4,,Matériel d’apprentissage : jouets,"40,4 %",
6.5,,Garde inadéquate,"26,1 %",
6.6,,Indice de développement du jeune enfant,"57,9 %",
6.7,,Fréquentation du préscolaire,"13,6 %",
EDUCATION,,,,
Alphabétisation et Education,7.1,2.3,Taux d’alphabétisation des jeunes femmes,"57,4 %"
7.2,,Préparation à l’école,"5,4 %",
7.3,,Taux d’admission à l’éducation primaire,"33,7 %",
7.4,2.1,Taux net de scolarisation primaire (ajusté),"61,0 %",
7.5,,Taux net de scolarisation secondaire (ajusté),"23,7 %",
7.6,2.2,Enfants atteignant la dernière classe du primaire,"78,1 %",
7.7,,Taux d’achèvement du primaire,"76,4 %",
7.8,,Taux de transition à l’école secondaire,"66,6 %",
7.9,,Indice de parité entre les sexes (école primaire),"1,05 ratio",
7.10,,Indice de parité entre les sexes (école secondaire),"0,84 ratio",
PROTECTION DE L’ ENFANT,,,,
Enregistrement des naissances,8.1,,Enregistrement des naissances,"58,8 %"
Travail des enfants,8.2,,Travail des enfants,"21,5 %"
8.3,,Fréquentation scolaire des enfants travailleurs,"56,3 %",
8.4,,Travail des enfants parmi les étudiants,"22,7 %",
Discipline de l’enfant,8.5,,Discipline violente,"86,9 %"
Mariage précoce et polygamie,8.6,,Mariage avant l’âge de 15 ans,"14,8 %"
8.7,,Mariage avant l’âge de 18 ans,"37,3 %",
8.8,,Jeunes femmes âgées de 15-19 ans actuellement mariées,"25,7 %",
8.9,,Polygamie,"10,9 %",
Différence d’âge entre conjoints,,,,
,8.10a,,Femmes de 15-19 ans,"59,9 %"
8.10b,,Femmes de 20-24 ans,"52,9 %",
Mutilation génitale féminine/,8.11,,Approbation de la mutilation génitale féminine/excision (MGF/E),"40,7 %"
excision,,,,
8.12,,Prévalence de la mutilation génitale féminine/excision (MGF/E) chez les femmes,"69,4 %",
8.13,,Prévalence de la mutilation génitale féminine/excision (MGF/E) chez les filles,"54,8 %",
8.13b,,Prévalence de la mutilation génitale féminine/excision (MGF/E) chez les filles de moins de 5 ans,"46,6 %",
Violence domestique,8.14,,Attitudes envers la violence domestique,"37,9 %"
Conditions d’accueil des enfants et orphelinat,9.17,,Enfants ne vivant pas avec un parent biologique,"9,4 %"
9.18,,Prévalence d’enfants avec au moins un parent décédé,"7,2 %",
SUJET,NUMERO,NUMERO,INDICATEUR,VALEUR
,INDICATEUR MICS 4,INDICATEUR OMD,,
VIH/ SIDA,,,,
"VIH/SIDA, connaissance et attitudes",9.1,,Connaissance approfondie sur la prévention du VIH,"6,4 %"
9.2,6.3,Connaissance approfondie sur la prévention du VIH chez les jeunes,"6,3 %",
9.3,,Connaissance de la transmission mère-enfant du VIH,"39,9 %",
9.4,,Attitude bienveillante envers les gens vivant avec le VIH,"6,2 %",
9.5,,Femmes qui savent où faire le test VIH,"29,6 %",
9.6,,Femmes ayant subi le test VIH et connaissant les résultats,"4,6 %",
9.7,,Jeunes femmes sexuellement actives ayant subi le test du VIH et connaissant les résultats,"3,4 %",
9.8,,Conseils sur le VIH lors des soins prénatals,"21,1 %",
9.9,,Dépistage du VIH lors des soins prénatals,"18,9 %",
