0,1,2,3,4,5
Topic,MICS4,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
CHILD MORTALITY,,,,,
Child mortality2,1.1,4.1,Under-five mortality rate,16,"per 1,000"
1.2,4.2,Infant mortality rate,15,"per 1,000",
1.3,,Neonatal mortality rate,13,"per 1,000",
1.4,,Post-neonatal mortality rate,1,"per 1,000",
1.5,,Child mortality rate,2,"per 1,000",
NUTRITION,,,,,
Nutritional status,,,Underweight prevalence,,
2.1a,1.8,Moderate and Severe (- 2 SD),2.2,percent,
2.1b,Severe (- 3 SD),0.2,percent,,
,,Stunting prevalence,,,
2.2a,,Moderate and Severe (- 2 SD),6.4,percent,
2.2b,,Severe (- 3 SD),1.4,percent,
,,Wasting prevalence,,,
2.3a,,Moderate and Severe (- 2 SD),1.9,percent,
2.3b,,Severe (- 3 SD),0.5,percent,
Breastfeeding and infant feeding,2.4,,Children ever breastfed,96.7,percent
2.5,,Early initiation of breastfeeding,60.9,percent,
2.6,,Exclusive breastfeeding under 6 months,36.4,percent,
2.7,,Continued breastfeeding at 1 year,48.4,percent,
2.8,,Continued breastfeeding at 2 years,12.2,percent,
2.9,,Predominant breastfeeding under 6 months,65.6,percent,
2.10,,Duration of breastfeeding,12.9,months,
2.11,,Bottle feeding,50.2,percent,
2.12,,"Introduction of solid, semi-solid or soft foods",62.4,percent,
2.13,,Minimum meal frequency,49.2,percent,
2.14,,Age-appropriate breastfeeding,30.5,percent,
2.15,,Milk feeding frequency for non-breastfed children,63.7,percent,
Salt iodization,2.16,,Iodized salt consumption,44.3,percent
Vitamin A,2.17,,Vitamin A supplementation3,25.7,percent
Low birthweight,2.18,,Low birthweight infants,5.8,percent
2.19,,Infants weighed at birth,99.2,percent,
CHILD HEALTH,,,,,
Vaccination,3.1,,Tuberculosis immunization coverage,97.8,percent
3.2,,Polio immunization coverage,88.5,percent,
3.3,,"Immunization coverage for diphteria, pertussis and tetanus (DPT)",90.6,percent,
3.4,4.3,Measles immunization coverage,89.3,percent,
3.5,,Hepatitis B immunization coverage,93.6,percent,
Care of Illness,3.8,,Oral rehydration therapy with continued feeding,54.7,percent
3.9,,Care seeking for suspected pneumonia,79.2,percent,
3.10,,Antibiotic treatment of suspected pneumonia,81.9,percent,
Solid fuel use,3.11,,Solid fuels,7.0,percent
WATER AND SANITATION,,,,,
Water and Sanitation,4.1,7.8,Use of improved drinking water sources,86.4,percent
4.2,,Water treatment,22.1,percent,
4.3,7.9,Use of improved sanitation,69.7,percent,
4.4,,Safe disposal of child's faeces,45.9,percent,
4.5,,Place for handwashing,91.9,percent,
4.6,,Availability of soap,95.4,percent,
Topic,MICS4,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
REPRODUCTIVE HEALTH,,,,,
Contraception and unmet need,5.1,5.4,Adolescent birth rate,35,"per 1,000"
5.2,,Early childbearing,4.4,percent,
5.3,5.3,Contraceptive prevalence rate,59.5,percent,
5.4,5.6,Unmet need,9.5,percent,
Maternal and newborn health,,,Antenatal care coverage,,
5.5a,5.5,At least once by skilled personnel,98.8,percent,
5.5b,,At least four times by any provider,95.4,percent,
5.6,,Content of antenatal care,97.5,percent,
5.7,5.2,Skilled attendant at delivery,99.2,percent,
5.8,,Institutional deliveries,98.9,percent,
5.9,,Caesarean section,16.2,percent,
Post-natal health checks,5.10,,Post-partum stay in health facility,100.0,percent
5.11,,Post-natal health check for the newborn,98.8,percent,
5.12,,Post-natal health check for the mother,94.2,percent,
CHILD DEVELOPMENT,,,,,
Child development,6.1,,Support for learning,89.1,percent
6.2,,Father’s support for learning,47.4,percent,
6.3,,Learning materials: children’s books,68.1,percent,
6.4,,Learning materials: playthings,67.8,percent,
6.5,,Inadequate care,5.6,percent,
6.6,,Early child development index (ECDI),83.8,percent,
6.7,,Attendance to early childhood education,70.6,percent,
EDUCATION,,,,,
Literacy and education,,,Literacy rate among young people,,
7.1,2.3,women aged 15-24 years,99.3,percent,
,,men aged 15-24 years,99.5,percent,
7.2,,School readiness,92.7,percent,
7.3,,Net intake rate in primary education,94.1,percent,
7.4,2.1,Primary school net attendance ratio (adjusted),98.7,percent,
7.5,,Secondary school net attendance ratio (adjusted)4,86.0,percent,
-,,Lower secondary school net attendance ratio,96.3,percent,
,,(adjusted),,,
-,,Upper secondary school net attendance ratio,67.6,percent,
,,(adjusted),,,
7.6,2.2,Children reaching last grade of primary,99.8,percent,
7.7,,Primary completion rate,110.6,percent,
7.8,,Transition rate to secondary school,97.6,percent,
7.9,,Gender parity index (primary school),0.99,ratio,
7.10,,Gender parity index (secondary school),1.06,ratio,
-,,Gender parity index (lower secondary school),1.02,ratio,
-,,Gender parity index (upper secondary school),1.18,ratio,
CHILD PROTECTION,,,,,
Birth registration,8.1,,Birth registration,99.6,percent
Child discipline,8.5,,Violent discipline,75.6,percent
Early marriage,,,Marriage before age 15,,
8.6,,women aged 15-49 years,0.6,percent,
,,men aged 15-49 years,0.2,percent,
,,Marriage before age 18,,,
8.7,,women aged 20-49 years,14.9,percent,
,,men aged 20-49 years,2.4,percent,
,,Young women aged 15-19 years currently married or,9.9,percent,
,,in union,,,
8.8,,,,,
,Young men aged 15-19 years currently married or in,,,,
,union,,,,
,1.4,percent,,,
,,Spousal age difference,,,
8.10a,,women aged 15-19 years,9.8,percent,
8.10b,,women aged 20-24 years,5.4,percent,
Domestic violence,,,Attitudes toward domestic violence,,
8.14,,women aged 15-49 years,11.2,percent,
,,men aged 15-49 years,13.3,percent,
Children’s living arrangements and orphanhood,9.17,,Children’s living arrangements,10.6,percent
9.18,,Prevalence of children with one or both biological,4.5,percent,
,,parents dead,,,
Children with,8.15,,Children with at least one biological parent living abroad,21.1,percent
biological parents living abroad,,,,,
Topic,MICS4,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
HIV/AIDS AND SEXUAL BEHAVIOUR,,,,,
HIV/AIDS,,,Comprehensive knowledge about HIV prevention,,
knowledge and attitudes,,,,,
9.1,,women aged 15-49 years,33.0,percent,
,,men aged 15-49 years,28.1,percent,
,,Comprehensive knowledge about HIV prevention,,,
,,among young people,,,
9.2,6.3,women aged 15-24 years,36.0,percent,
,,men aged 15-24 years,28.1,percent,
,,Knowledge of mother-to-child transmission of HIV,,,
9.3,,women aged 15-49 years,53.0,percent,
,,men aged 15-49 years,45.4,percent,
,,Accepting attitudes towards people living with HIV,,,
9.4,,women aged 15-49 years,2.8,percent,
,,men aged 15-49 years,3.4,percent,
9.5,,Women who know where to be tested for HIV,78.5,percent,
,Men who know where to be tested for HIV,64.6,percent,,
,,Women who have been tested for HIV and know the,18.2,percent,
,,results,,,
9.6,,,,,
,Men who have been tested for HIV and know the,,,,
,results,,,,
,,9.2,percent,,
,,Sexually active young women who have been tested,26.5,percent,
,,for HIV and know the results,,,
9.7,,,,,
,Sexually active young men who have been tested for,,,,
,HIV and know the results,,,,
,,10.5,percent,,
9.8,,HIV counselling during antenatal care,70.8,percent,
9.9,,HIV testing during antenatal care,82.8,percent,
Sexual behaviour,9.10,,Young women who have never had sex,70.8,percent
,Young men who have never had sex,35.4,percent,,
,,Sex before age 15 among young people,,,
9.11,,women aged 15-24 years,0.9,percent,
,,men aged 15-24 years,7.5,percent,
,,Age-mixing among sexual partners,,,
9.12,,women aged 15-24 years,5.6,percent,
,,men aged 15-24 years,0.4,percent,
,,Sex with multiple partners,,,
9.13,,women aged 15-49 years,2.0,percent,
,,men aged 15-49 years,13.5,percent,
,,Condom use during sex with multiple partners,,,
9.14,,women aged 15-49 years,34.5,percent,
,,men aged 15-49 years,49.5,percent,
,,Sex with non-regular partners,,,
9.15,,women aged 15-24 years,37.5,percent,
,,men aged 15-24 years,82.3,percent,
,,Condom use with non-regular partners,,,
9.16,6.2,women aged 15-24 years,63.8,percent,
men aged 15-24 years,81.7,percent,,,
ACCESS TO MASS MEDIA AND USE OF INFORMATION/COMMUNICATION TECHNOLOGY,,,,,
Access to mass media,,,Exposure to mass media,,
MT.1,,women aged 15-49 years,31.7,percent,
,,men aged 15-49 years,32.3,percent,
Use of information/ communication technology,,,Use of computers,,
MT.2,,women aged 15-24 years,85.9,percent,
,,men aged 15-24 years,88.7,percent,
,,Use of internet,,,
MT.3,,women aged 15-24 years,90.7,percent,
,,men aged 15-24 years,89.2,percent,
Topic,MICS4,MDG,Indicator,Value,
,Indicator Number,Indicator Number,,,
SUBJECTIVE WELL-BEING,,,,,
Subjective well- being,,,Life satisfaction,,
SW.1,,women aged 15-24 years,49.9,percent,
,,men aged 15-24 years,52.7,percent,
,,Happiness,,,
SW.2,,women aged 15-24 years,86.8,percent,
,,men aged 15-24 years,84.4,percent,
,,Perception of a better life,,,
SW.3,,women aged 15-24 years,57.5,percent,
,,men aged 15-24 years,51.1,percent,
TOBACCO AND ALCOHOL USE,,,,,
Tobacco use,,,Tobacco use,,
TA.1,,women aged 15-49 years,8.2,percent,
,men aged 15-49 years,48.5,percent,,
,,Smoking before age 15,,,
TA.2,,women aged 15-49 years,2.2,percent,
,,men aged 15-49 years,21.5,percent,
Alcohol use,,,Alcohol use,,
TA.3,,women aged 15-49 years,57.2,percent,
,,men aged 15-49 years,79.9,percent,
,,Use of alcohol before age 15,,,
TA.4,,women aged 15-49 years,6.1,percent,
,,men aged 15-49 years,20.1,percent,
TUBERCULOSIS (TB)5,,,,,
Knowledge of tuberculosis and attitudes,,,General knowledge of tuberculosis,,
TB.1,,women aged 15-49 years,99.4,percent,
,,men aged 15-49 years,99.1,percent,
,,Knowledge of modes of TB transmission,,,
TB.2,,women aged 15-49 years,84.4,percent,
,,men aged 15-49 years,78.3,percent,
,,Knowledge of at least one TB symptom,,,
TB.3,,women aged 15-49 years,93.9,percent,
,,men aged 15-49 years,91.8,percent,
,,Knowledge of all three most common TB symptoms6,,,
TB.4,,women aged 15-49 years,1.3,percent,
,,men aged 15-49 years,0,percent,
,,Knowledge that TB is curable,,,
TB.5,,women aged 15-49 years,87.5,percent,
,,men aged 15-49 years,84.2,percent,
,,Attitudes toward people suffering from TB,,,
TB.6,,women aged 15-49 years,41.6,percent,
,,men aged 15-49 years,30.3,percent,
ANAEMIA7,,,,,
Anaemia,,,Prevalence of anaemia,,
AN.1,,among children,21.4,percent,
AN.2,,among women,25.8,percent,
