0,1,2,3,4,5,6
,1.8,Underweight prevalence,,,,
2.1a,,Moderate and severe (Z<-2CX),3.4,percent,,
2.1b,,Severe (Z<-3CХ),0.7,percent,,
2.3a,Moderate and severe (Z<-2CX),1.2,percent,,,
2.3b,Severe(Z<-3CХ),0.3,percent,,,
2.4,Children ever breastfed,100.0,percent,,,
2.5,Early initiation of breastfeeding,83.1,percent,,,
2.6,Exclusive breastfeeding (0-5 months),(58.1),percent,,,
Breastfeeding and 2.7 Continued breastfeeding at 1 year (12-15 months),(64.7),percent,,,,
infant feeding,2.9,Predominant breastfeeding (0-5 months),(61.0),percent,,
,2.10,Median duration of breastfeeding (0-35 months),24.2,month,,
2.11 Children who drank anything from a bottle with nipple (0-23,,,,,,
,months),,,,,
2.13,Minimum meal frequency (6-23 months),35.9,percent,,,
2.14,Age-appropriate breastfeeding (0-23 months),70.1,percent,,,
2.15,Milk feeding frequency for non-breastfed children,(50.7),percent,,,
Salt iodization 2.16,Iodized salt consumption,71.9,percent,,,
А Vitamin 2.17,Vitamin A supplementation (6-59 months),93.4,percent,,,
2.18,Low birth weight infants,9.7,percent,,,
2.19,Infants weighed at birth,99.4,percent,,,
CHILD HEALTH,,,,,,
,3.1,,Immunization coverage for Tuberculosis,100.0,percent,
,3.2,,Immunization coverage for Polio 3,98.7,percent,
Immunization,3.3,,Immunization coverage for DPT or Penta 3,98.7,percent,
,3.4,4.3,"Immunization coverage for Measles, Mumps and Rubella 1",98.2,percent,
,3.5,,Immunization coverage for Hepatitis B,98.7,percent,
Care of illness,3.8,,Oral rehydration therapy with continued feeding,53.8,percent,
Solid fuel use,3.11,,Use of solid fuels for cooking,22.7,percent,
Child disability,3.21,,Children at increased risk of disability,13.1,percent,
Child injury,CS.1,,Children had injury in the last 12 months,7.8,percent,
WATER AND SANITATION,,,,,,
4.1,7.8,Use of improved drinking water sources,28.1,percent,,
CS.2,,Use of improved drinking water sources (country specific),96.3,percent,,
4.2,,Water treatment,85.4,percent,,
CS.3,,Water treatment (country specific),89.2,,,
WATER AND 4.3,7.9,Use of improved sanitation,65.7,percent,,
SANITATION CS.4,,Use of improved sanitation (country specific),95.6,percent,,
4.4,,Safe disposal of child’s faeces,59.3,percent,,
4.5,,Place for hand washing with water and soap available,91.7,percent,,
4.6,,Availability of soap,97.8,percent,,
2.3a,Moderate and severe (Z<-2CX),1.2,percent,,,
2.3b,Severe(Z<-3CХ),0.3,percent,,,
2.4,Children ever breastfed,100.0,percent,,,
2.5,Early initiation of breastfeeding,83.1,percent,,,
2.6,Exclusive breastfeeding (0-5 months),(58.1),percent,,,
Breastfeeding and 2.7 Continued breastfeeding at 1 year (12-15 months),(64.7),percent,,,,
