0,1,2,3,4,5
Topic,MICS MDG,Indicator,Value,,
,Indicator Indicator Number Number,,,,
CHILD MORTALITY,,,,,
,,,,,per
Child mortality,1,13,Under-five mortality rate,51,thousand per
,2,14,Infant mortality rate,40,thousand
NUTRITION,,,,,
,6 4 Underweight prevalence,6.3,percent,,
,7 Stunting prevalence,,,,
,8 Wasting prevalence,,,,
,45 Timely initiation of breastfeeding,,,,
,15 Exclusive breastfeeding rate,,,,
,16                   Continued breastfeeding rate at 12-15 months,,,,
,at 20-23 months,,,,
,17 Timely complementary feeding rate,,,,
,18 Frequency of complementary feeding,,,,
,19 Adequately fed infants,,,,
,41               Iodized salt consumption Vitamin A supplementation,,,,
,42 (under-fives),,,,
,43 (post-partum mothers),,,,
,9 Low birth weight infants,,,,
,10 Infants weighed at birth,,,,
Nutritional status,20.9,percent,,,
,2.2,percent,,,
,77.5,percent,,,
,57.2,percent,,,
,,percent,,,
Breastfeeding,82.3,percent percent,,,
,64.9,,,,
,57.4,percent,,,
,21.8,percent,,,
,40.0,percent,,,
Salt iodization,83.1,percent,,,
Vitamin A,64.7,percent,,,
,56.2,percent,,,
Low birth weight,5.5,percent percent,,,
,98.3,,,,
CHILD HEALTH,,,,,
,25,,Tuberculosis       immunization       coverage Polio             immunization             coverage DPT immunization coverage,97.6,percent
,,,Measles immunization coverage Fully immunized children,,
,,,"Use of oral rehydration therapy (ORT) Home management of diarrhoea Received ORT or increased fluids, and continued feeding",,
,,,Care  seeking  for  suspected  pneumonia Antibiotic treatment of suspected pneumonia,,
,,,Solid fuels Source (public),,
,,,Antibiotics,,
,,,Oral rehydration salts,,
,26,,93.0,percent,
Immunization,27,,92.0,percent,
,28,15,76.1,percent,
,31,,67.5,percent,
,33,,62.8,percent,
,34,,20.9,percent,
Care of illness,35,,46.6,percent,
,23,,62.6,percent,
,22,,71.1,percent,
Solid fuel use,24,29,76.5,percent,
Source and cost of,96,,,,
supplies,,,33.4,percent,
,,,51.3,percent,
MICS,MDG,Indicator,Value,,
Topic     Indicator Number,Indicator Number,,,,
,97,,Cost,,
,,Antibiotics,1151,tugrug,
,,Public Private,,,
,,Oral rehydration salts Public,,,
,,Private,,,
1400,tugrug,,,,
251,tugrug,,,,
350,tugrug,,,,
ENVIRONMENT,,,,,
Water and Sanitation,11,30,Use of improved drinking water sources,71.6,percent
13,,Water treatment,97.9,percent,
12,31,Use of improved sanitation facilities,77.2,percent,
14,,Disposal of child's faeces,59.5,percent,
REPRODUCTIVE HEALTH,,,,,
Contraception and unmet need,21,19c,Contraceptive prevalence,66,percent
Maternal health,,,,,
98,,Unmet need for family planning,13.7,percent,
99,,Demand satisfied for family planning,82.8,percent,
20,,Antenatal care,98.9,percent,
44,,Content of antenatal care Blood test taken,,,
,,Blood pressure measured Urine specimen taken Weight measured,,,
,89.1,percent,,,
,98.2,percent,,,
,89.2,percent,,,
,88.1,percent,,,
4,17,Skilled attendant at delivery,99.2,percent,
5,,Institutional deliveries,98.6,percent,
CHILD DEVELOPMENT,,,,,
Child development,46,,Support for learning,55.4,percent
47,,Father's support for learning,43.8,percent,
48,,Support for learning: children’s books,26.2,percent,
49,,Support for learning: non-children’s books,53.1,percent,
50,,Support for learning: materials for play,6.0,percent,
51,,Non-adult care,13.1,percent,
EDUCATION,,,,,
Education,52,,Pre-school attendance,37.3,percent
Literacy,,,,,
53,,School readiness,80.5,percent,
54,,Net intake rate in primary education,79.7,percent,
55,6,Net primary school attendance rate,95.3,percent,
56,,Net secondary school attendance rate,85.4,percent,
57,7,Children reaching grade five,96.4,percent,
58,,Transition rate to secondary school,98.4,percent,
59,7b,Primary completion rate,93.6,percent,
61,9,Gender parity index primary school secondary school,,,
,,1.02,ratio,,
,,1.07,ratio,,
60,8,Adult literacy rate (women aged 15-24),94.5,percent,
CHILD PROTECTION,,,,,
Birth registration,62,,Birth registration,98.3,percent
MICS MDG,Indicator,Value,,,
Topic    Indicator   Indicator Number Number,,,,,
Child labour,71,,Child labour,18.1,percent percent
,,,5-14 years,22.5,
,,,5-17 years,,
,72,,Labourer students 5-14 years,86.8,percent percent
,,,5-17 years,82.1,
,73,,Student labourers 5-14 years,18.1,percent percent
,,,5-17 years,21.3,
Child discipline,74,,Any psychological/physical punishment,79.4,percent
,67,,Marriage before age 18,7.7,percent
Early marriage,68,,Young women aged 15-19 currently married/in union,3.3,percent
69,,Spousal age difference Women aged 15-19,7.2,percent percent,
,,Women aged 20-24,3.3,,
Domestic violence,100,,Attitudes towards domestic violence,56.4,percent
Disability,101,,Child disability,16.6,percent
75,,Prevalence of orphans,7.9,percent,
Orphaned children,,,,,
78,,Children’s living arrangements,3.8,percent,
"HIV/AIDS, SEXUAL BEHAVIOUR, AND ORPHANED CHILDREN",,,,,
HIV/AIDS knowledge and attitudes,82,19b,Comprehensive knowledge about HIV prevention among young people,31.0,percent
86,,Attitude towards people with HIV/AIDS,13.5,percent,
87,,Women who know where to be tested for HIV,56.9,percent,
88,,Women who have been tested for HIV,14.6,percent,
89,,Knowledge of mother- to-child transmission of HIV,48.8,percent,
90,,Counselling coverage for the prevention of mother-to-child transmission of HIV,62.1,percent,
91,,Testing coverage for the prevention of mother- to-child transmission of HIV,34.9,percent,
