0,1,2,3
CHILD MORTALITY,,,
Early childhood mortality*,,,
MICS Indicator Indicator,Description,Value,
1.1 Neonatal mortality rate,Probability of dying within the first month of life,13.9,
1.2 MDG 4.2 Infant mortality rate,Probability of dying between birth and the first birthday,21.0,
1.3 Post-neonatal mortality rate,Difference between infant and neonatal mortality rates,7.1,
1.4 Child mortality rate,Probability of dying between the first and the fifth birthdays,3.6,
1.5 MDG 4.1 Under-five mortality rate,Probability of dying between birth and the fifth birthday,24.5,
NUTRITION,,,
Nutritional status,,,
MICS Indicator,Indicator,Description,Value
2.1a MDG 1.8,Underweight prevalence (a) Moderate and severe (b) Severe,Percentage of children under age 5 who fall below,1.6
2.1b,,(a) minus two standard deviations (moderate and severe) (b) minus three standard deviations (severe),0.2
,,of the median weight for age of the WHO standard,
2.2a,Stunting prevalence,Percentage of children under age 5 who fall below,10.8
2.2b,(a) Moderate and severe (b) Severe,(a) minus two standard deviations (moderate and severe) (b) minus three standard deviations (severe),2.1
,,of the median height for age of the WHO standard,
2.3a,Wasting prevalence,Percentage of children under age 5 who fall below,1.0
2.3b,(a) Moderate and severe (b) Severe,(a) minus two standard deviations (moderate and severe) (b) minus three standard deviations (severe),0.4
,,of the median weight for height of the WHO standard,
2.4 Overweight prevalence,Percentage of children under age 5 who are above two standard deviations of the median weight for height of the WHO standard,10.5,
Breastfeeding and infant feeding,,,
2.5 Children ever breastfed,Percentage of women with a live birth in the last 2 years who,98.3,
,breastfed their last live-born child at any time,,
2.6 Early initiation of,Percentage of women with a live birth in the last 2 years who put their last newborn to the breast within one hour of birth,71.1,
breastfeeding,,,
2.7                    Exclusive breastfeeding under 6 months,Percentage of infants under 6 months of age who are exclusively breastfed,47.1,
2.8                    Predominant breastfeeding under 6 months,Percentage of infants under 6 months of age who received breast milk as the predominant source of nourishment during the previous day,55.7,
2.9                            Continued breastfeeding at 1 year,Percentage of children age 12-15 months who received breast milk during the previous day,82.5,
2.10                          Continued breastfeeding at 2 years,Percentage of children age 20-23 months who received breast milk during the previous day,52.9,
2.11,Median duration of,The age in months when 50 percent of children age 0-35 months did not receive breast milk during the previous day,22.7
,breastfeeding,,
2.12      Age-appropriate breastfeeding,Percentage of children age 0-23 months appropriately fed during the previous day,66.3,
"2.13 Introduction of solid,","Percentage of infants age 6-8 months who received solid, semi-solid or soft foods during the previous day",94.8,
semi-solid or soft foods,,,
2.14 Milk feeding frequency for,Percentage of non-breastfed children age 6-23 months who received at least 2 milk feedings during the previous day,56.3,
non-breastfed children,,,
"2.15 Minimum meal frequency Percentage of children age 6-23 months who received solid, 69.3",,,
semi-solid and soft foods (plus milk feeds for non-breastfed children) the minimum number of times or more during the previous day,,,
2.16 Minimum dietary diversity Percentage of children age 6–23 months who received foods 50.8,,,
from 4 or more food groups during the previous day,,,
2.17a Minimum acceptable diet (a) Percentage of breastfed children age 6–23 months who had 37.6,,,
2.17b at least the minimum dietary diversity and the minimum meal,,,
frequency during the previous day,,,
(b) Percentage of non-breastfed children age 6–23 months who 24.3,,,
received at least 2 milk feedings and had at least the minimum dietary diversity not including milk feeds and the minimum meal frequency during the previous day,,,
2.18 Bottle feeding Percentage of children age 0-23 months who were fed with a 28.9,,,
bottle during the previous day,,,
Salt iodization,,,
2.19 Iodized salt consumption,Percentage of households with salt testing 15 parts per million,74.5,
,or more of iodide,,
Low-birthweight,,,
2.20 Low-birthweight infants,"Percentage of most recent live births in the last 2 years weighing below 2,500 grams at birth",5.2,
2.21 Infants weighed at birth,Percentage of most recent live births in the last 2 years who were weighed at birth,99.3,
CHILD HEALTH,,,
Vaccinations,,,
MICS Indicator Indicator,Description,Value,
3.1              Tuberculosis immunization coverage,Percentage of children age 12-23 months who received BCG vaccine by their first birthday,93.3,
3.2 Polio immunization coverage,Percentage of children age 12-23 months who received the third dose of OPV vaccine (OPV3) by their first birthday,92.3,
"3.3                       Diphtheria, pertussis and tetanus (DPT) immunization coverage (Penta)",Percentage of children age 12-23 months who received the third dose of DPT vaccine (DPT3) by their first birthday,92.5,
3.4 MDG 4.3 Measles immunization,Percentage of children age 12-23 months who received mea- sles vaccine by their first birthday,86.1,
coverage,,,
3.5              Hepatitis B immunization coverage,Percentage of children age 12-23 months who received the third dose of Hepatitis B vaccine (HepB3) by their first birthday,93.1,
3.6                          Haemophilus influenzae type B (Hib) immunization coverage,Percentage of children age 12-23 months who received the third dose of Hib vaccine (Hib3) by their first birthday,92.5,
3.8 Full immunization coverage,Percentage of children age 12-23 months who received all vaccinations recommended in the national immunization schedule by their first birthday,78.1,
Diarrhoea,,,
- Children with diarrhoea,Percentage of children under age 5 with diarrhoea in the last 2 weeks,8.2,
3.10 Care-seeking for diarrhoea,Percentage of children under age 5 with diarrhoea in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,46.8,
3.11                         Diarrhoea treatment with oral rehydration salts (ORS) and zinc,Percentage of children under age 5 with diarrhoea in the last 2 weeks who received ORS and zinc,7.1,
3.12 Diarrhoea treatment with oral Percentage of children under age 5 with diarrhoea in the last 82.5,,,
"rehydration therapy (ORT)    2 weeks who received ORT (ORS packet, pre-packaged ORS and continued feeding fluid, recommended homemade fluid or increased fluids) and",,,
continued feeding during the episode of diarrhoea,,,
Acute Respiratory Infection (ARI) symptoms,,,
- Children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks,4.1,
3.13                   Care-seeking for children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,70.3,
3.14 Antibiotic treatment for chil-,Percentage of children under age 5 with ARI symptoms in the last 2 weeks who received antibiotics,63.4,
dren with ARI symptoms,,,
Solid fuel use,,,
3.15 Use of solid fuels for,Percentage of household members in households that use solid fuels as the primary source of domestic energy to cook,55.5,
cooking,,,
WATER AND SANITATION,,,
MICS Indicator Indicator,Description,Value,
4.1 MDG 7.8,Use of improved drinking water sources,Percentage of household members using improved sources of drinking water,68.1
4.S1,Use of improved drinking water sources (based on country specific definition),Percentage of household members using improved sources of drinking water based on country specific definition of improved drinking water sources,84.8
