0,1,2,3,4,5,6,7
Topic,MICS5,MDG,Indicator,Value,,,
,Indicator Number,Indicator Number,,,,,
Montenegro,Roma settlements,,,,,,
Nutritional status,,,Underweight prevalence,,,,
,2.1a,1.8,Moderate and Severe (-2 SD),1.0,7.3,percent,
,2.1b,,Severe (-3 SD),0.1,1.7,percent,
,,,Stunting prevalence,,,,
,2.2a,,Moderate and Severe (-2 SD),9.4,26.8,percent,
,2.2b,,Severe (-3 SD),5.6,13.0,percent,
,,,Wasting prevalence,,,,
,2.3a,,Moderate and Severe (-2 SD),2.8,3.7,percent,
,2.3b,,Severe (-3 SD),1.2,1.5,percent,
,2.4,,Overweight prevalence,22.3,17.5,percent,
Breastfeeding and infant feeding,2.5,,Children ever breastfed,88.3,90.2,percent,
,2.6,,Early initiation of breastfeeding,14.4,20.3,percent,
,2.7,,Exclusive breastfeeding under 6 months,16.8,14.3,percent,
,2.8,,Predominant breastfeeding under 6 months,35.4,43.6,percent,
,2.9,,Continued breastfeeding at 1 year,23.9,(57.6),percent,
,2.10,,Continued breastfeeding at 2 years,9.0,(39.7),percent,
,2.11,,Duration of breastfeeding,6.9,20.7,months,
,2.12,,Age-appropriate breastfeeding,21.4,37.9,percent,
,2.13,,"Introduction of solid, semi-solid or soft foods",95.1,*,percent,
2.14 Milk feeding frequency for non-breastfed,,,,,,,
,,children,,,,,
,2.15,Minimum meal frequency,86.2,66.1,percent,,
,2.16,Minimum dietary diversity,81.3,28.8,percent,,
,2.17a,Minimum acceptable diet (breastfed),54.3,12.3,percent,,
,2.17b,Minimum acceptable diet (non-breastfed),70.7,15.5,percent,,
,2.18,Bottle feeding,75.2,75.6,percent,,
Low birth weight,2.20,Low birth weight infants,4.0,12.3,percent,,
,2.21,Infants weighed at birth,98.6,93.0,percent,,
CHILD HEALTH,,,,,,,
Vaccinations,3.1,Tuberculosis immunisation coverage,99.4,76.5,percent,,
,3.2,Polio immunisation coverage,80.3,29.9,percent,,
"3.3 Diphtheria, pertussis and tetanus (DPT)",,,,,,,
immunisation coverage 84.5 34.8 percent,,,,,,,
Nutritional status,,,Underweight prevalence,,,,
,2.1a,1.8,Moderate and Severe (-2 SD),1.0,7.3,percent,
,2.1b,,Severe (-3 SD),0.1,1.7,percent,
,,,Stunting prevalence,,,,
,2.2a,,Moderate and Severe (-2 SD),9.4,26.8,percent,
,2.2b,,Severe (-3 SD),5.6,13.0,percent,
,,,Wasting prevalence,,,,
,2.3a,,Moderate and Severe (-2 SD),2.8,3.7,percent,
,2.3b,,Severe (-3 SD),1.2,1.5,percent,
,2.4,,Overweight prevalence,22.3,17.5,percent,
Breastfeeding and infant feeding,2.5,,Children ever breastfed,88.3,90.2,percent,
,2.6,,Early initiation of breastfeeding,14.4,20.3,percent,
,2.7,,Exclusive breastfeeding under 6 months,16.8,14.3,percent,
,2.8,,Predominant breastfeeding under 6 months,35.4,43.6,percent,
,2.9,,Continued breastfeeding at 1 year,23.9,(57.6),percent,
,2.10,,Continued breastfeeding at 2 years,9.0,(39.7),percent,
,2.11,,Duration of breastfeeding,6.9,20.7,months,
,2.12,,Age-appropriate breastfeeding,21.4,37.9,percent,
,2.13,,"Introduction of solid, semi-solid or soft foods",95.1,*,percent,
2.14 Milk feeding frequency for non-breastfed,,,,,,,
,,children,,,,,
,2.15,Minimum meal frequency,86.2,66.1,percent,,
,2.16,Minimum dietary diversity,81.3,28.8,percent,,
,2.17a,Minimum acceptable diet (breastfed),54.3,12.3,percent,,
,2.17b,Minimum acceptable diet (non-breastfed),70.7,15.5,percent,,
,2.18,Bottle feeding,75.2,75.6,percent,,
Low birth weight,2.20,Low birth weight infants,4.0,12.3,percent,,
,2.21,Infants weighed at birth,98.6,93.0,percent,,
CHILD HEALTH,,,,,,,
Vaccinations,3.1,Tuberculosis immunisation coverage,99.4,76.5,percent,,
,3.2,Polio immunisation coverage,80.3,29.9,percent,,
"3.3 Diphtheria, pertussis and tetanus (DPT)",,,,,,,
immunisation coverage 84.5 34.8 percent,,,,,,,
Topic,MICS5,MDG,Indicator,Value,,,
,Indicator Number,Indicator Number,,,,,
Montenegro,Roma settlements,,,,,,
Topic,MICS5,MDG,Indicator,Value,,,
,Indicator Number,Indicator Number,,,,,
Montenegro,Roma settlements,,,,,,
Topic,MICS5,MDG,Indicator,Value,,,
,Indicator Number,Indicator Number,,,,,
Montenegro,Roma settlements,,,,,,
Topic,MICS5,MDG,Indicator,Value,,,
,Indicator Number,Indicator Number,,,,,
Montenegro,Roma settlements,,,,,,
7.1,2.3,women age 15–24 years,99.2,40.0,percent,,
Full immunisation coverage 60.7 11.6 percent,,men age 15–24 years,99.0,62.9,percent,,
Care-seeking for diarrhoea (56.4),(59.6),percent,7.2,School readiness,45.8,23.8,percent
Diarrhoea treatment with oral rehydration,(24.3),percent,7.3,Net intake rate in primary education,90.8,51.8,percent
salts (ORS) and zinc2 (31.9),,,,,,,
Diarrhoea treatment with oral rehydration,,,,ISCED classification3,,,
therapy (ORT) and continued feeding,(62.7) (66.9) percent 7.4,2.1,Primary school net attendance ratio (adjusted),97.9,64.5,percent,
7.1,2.3,women age 15–24 years,99.2,40.0,percent,,
Full immunisation coverage 60.7 11.6 percent,,men age 15–24 years,99.0,62.9,percent,,
