0,1,2,3
Nutritional statusii,,,
MICS Indicator,Indicator,Description,Value
2.1a MDG 1.8,Underweight prevalence,Percentage of children under age 5 who fall below,7.3
2.1b,Moderate and severe,minus two standard deviations (moderate and severe),1.7
,Severe,minus three standard deviations (severe) of the median weight for age of the WHO standard,
2.2a,Stunting prevalence,Percentage of children under age 5 who fall below,26.8
2.2b,Moderate and severe,minus two standard deviations (moderate and severe),13.0
,Severe,minus three standard deviations (severe) of the median height for age of the WHO standard,
2.3a,Wasting prevalence,Percentage of children under age 5 who fall below,3.7
2.3b,Moderate and severe,minus two standard deviations (moderate and severe),1.5
,Severe,minus three standard deviations (severe) of the median weight for height of the WHO standard,
2.4,Overweight prevalence,Percentage of children under age 5 who are above two standard deviations of the median weight for height of the WHO standard,17.5
Breastfeeding and infant feeding,,,
MICS Indicator Indicator,Description,Value,
2.5 Children ever breastfed,Percentage of women with a live birth in the last 2 years who breastfed their last live-born child at any time,90.2,
2.6        Early initiation of breastfeeding,Percentage of women with a live birth in the last 2 years who put their last newborn to the breast within one hour of birth,20.3,
2.7                      Exclusive breastfeeding under 6 months,Percentage of infants under 6 months of age who are exclusively breastfediii,14.3,
2.8                      Predominant breastfeeding under 6 months,Percentage of infants under 6 months of age who received breast milk as the predominant source of nourishmentiv during the previous day,43.6,
2.9                              Continued breastfeeding at 1 year,Percentage of children age 12-15 months who received breast milk during the previous day,(57.6),
2.10                            Continued breastfeeding at 2 years,Percentage of children age 20-23 months who received breast milk during the previous day,(39.7),
2.11      Median duration of breastfeeding,The age in months when 50 percent of children age 0-35 months did not receive breast milk during the previous day,20.7,
2.12      Age-appropriate breastfeeding,Percentage of children age 0-23 months appropriately fedvduring the previous day,37.9,
"2.13                      Introduction of solid, semi- solid or soft foods","Percentage of infants age 6-8 months who received solid, semi-solid or soft foods during the previous day",*,
2.14     Milk feeding frequency for non-breastfed children,Percentage of non-breastfed children age 6-23 months who received at least 2 milk feedings during the previous day,48.4,
2.15 Minimum meal frequency,"Percentage of children age 6-23 months who received solid, semi-solid and soft foods (plus milk feeds for non- breastfed children) the minimum number of timesvi or more during the previous day",66.1,
2.16 Minimum dietary diversity,Percentage of children age 6–23 months who received foods from 4 or more food groupsvii during the previous day,28.8,
2.17a                   Minimum acceptable diet 2.17b,Percentage of breastfed children age 6–23 months who had at least the minimum dietary diversity and the minimum meal frequency during the previous day,12.3,
,Percentage of non-breastfed children age 6–23 months who received at least 2 milk feedings and had at least the minimum dietary diversity not including milk feeds and the minimum meal frequency during the previous day,15.5,
