0,1,2,3,4,5
Topic,MICS,MDG,,Value,
,Indicator Number,Indicator Indicator Number,,,
NUTRITION,,,,,
Nutritional,6,4,Underweight prevalence,2.6,percent
status,7,,Stunting prevalence,5.2,percent
,8,,Wasting prevalence,2.9,percent
Breastfeeding,45,,Timely initiation of breastfeeding Exclusive breastfeeding rate Continued breastfeeding rate,25.2,percent
,,,at 12-15 months,,
,,,at 20-23 months,,
,,,Timely complementary feeding rate Frequency of complementary feeding Adequately fed infants,,
,15,19.3,percent,,
,16,,,,
,,24.6,percent percent,,
,,12.8,,,
,17,35.3,percent,,
,18,30.3,percent,,
,19,25.3,percent,,
Low birth,9,,Low birth weight infants,3.9,percent
weight,10,Infants weighed at birth,96.4,percent,
CHILD HEALTH,,,,,
Immunization,25,,Tuberculosis immunization coverage,87.6,percent
,26,,Polio immunization coverage,85.8,percent
,27,,DPT immunization coverage,88.6,percent
,28,15,Measles immunization coverage,78.3,percent
,31,,Fully immunized children,55.6,percent
Care of illness,33,,Use of oral rehydration therapy (ORT),98.1,percent
,34,Home management of diarrhoea,14.8,percent,
,35,"Received ORT or increased fluids, and continued",,,
,,feeding,64.3,percent,
,23,Care seeking for suspected pneumonia,89.4,percent,
,22,Antibiotic treatment of suspected pneumonia,56.6,percent,
Solid fuel use,24,29,Solid fuels,31.8,percent
ENVIRONMENT,,,,,
Water and,11,30,Use of improved drinking water sources,98.3,percent
Sanitation,13,,Water treatment,5.7,percent
,12,31,Use of improved sanitation facilities,99.0,percent
,14,,Disposal of child's faeces,37.0,percent
Security of,93,,Security of tenure,21.5,percent
tenure and,94,,Durability of housing,1.9,percent
durability of,95,32,Slum household,30.0,percent
housing,,,,,
Topic,MICS,MDG,,Value,
,Indicator Number,Indicator Indicator Number,,,
REPRODUCTIVE HEALTH,,,,,
Contraception,21,19c,Contraceptive prevalence,39.4,percent
and unmet need,98,,Unmet need for family planning Demand satisfied for family planning,26.4,percent percent
,99,,,59.8,
Maternal and,20,,Antenatal care,97.4,percent
newborn health,44,,Content of antenatal care,,
,,,Blood test taken,89.4,percent
,,,Blood pressure measured,81.7,percent
,,,Urine specimen taken,90.2,percent
,,,Weight measured,68.6,percent
,4,17,Skilled attendant at delivery,98.8,percent
5,,Institutional deliveries,99.5,percent,
CHILD DEVELOPMENT,,,,,
Child,46,,Support for learning,88.9,percent
development,47,,Father's support for learning,77.7,percent
,48,,Support for learning: children’s books,76.9,percent
,49,,Support for learning: non-children’s books,79.2,percent
,50,,Support for learning: materials for play,13.6,percent
,51,,Non-adult care,6.3,percent
EDUCATION,,,,,
Education,52,,Pre-school attendance School readiness,29.1,percent
,,,Net intake rate in primary education Net primary school attendance rate Net secondary school attendance rate Children reaching grade five Transition rate to secondary school Primary completion rate,,
,,,Gender parity index primary school secondary school,,
,53,,64.1,percent,
,54,,93.6,percent,
,55,6,97.5,percent,
,56,,84.3,percent,
,57,7,97.2,percent,
,58,,98.0,percent,
,59,7b,91.1,percent,
,61,9,,,
,,,1.01,ratio,
,,,1.01,ratio,
Literacy,60,8,Adult literacy rate,93.4,percent
CHILD PROTECTION,,,,,
Birth registration,62,,Birth registration,97.9,percent
Child labour,71,,Child labour,9.9,percent
,72,Labourer students,87.1,percent,
,73,Student labourers,9.8,percent,
Child discipline,74,,Child discipline,61.4,percent
,,,Any psychological/physical punishment,,
Early marriage,67,,Marriage before age 15 Marriage before age 18,0.2,percent
,,,Young women aged 15-19 currently married/in union,,
,,,Spousal age difference,,
,,,1,,
,,,Women aged 15-19,,
,,,Women aged 20-24,,
,,6.8,percent,,
,68,1.9,percent,,
,69,,,,
,,*,percent,,
,,17.4,percent,,
Domestic violence,100,,Attitudes towards domestic violence,10.9,percent
Disability,101,,Child disability,12.5,percent
Topic,MICS,MDG,,Value,
,Indicator Number,Indicator Indicator Number,,,
"HIV/AIDS, SEXUAL BEHAVIOUR",,,,,
HIV/AIDS,82,19b,Comprehensive knowledge about HIV prevention,29.8,percent
knowledge and,,,among young people,,
attitudes,89,,Knowledge of mother- to-child transmission of HIV,65.1,percent
,86,,Attitude towards people with HIV/AIDS,31.3,percent
,87,,Women who know where to be tested for HIV,70.1,percent
,88,,Women who have been tested for HIV,3.0,percent
,90,,Counselling coverage for the prevention of mother-,10.7,percent
,,,to-child transmission of HIV,,
,91,,Testing coverage for the prevention of mother-to-,1.8,percent
,,,child transmission of HIV,,
Sexual,84,,Age at first sex among young people,0.4,percent
behaviour,92,,Age-mixing among sexual partners,12.5,percent
,83,19a,Condom use with non-regular partners,66.4,percent
,85,,Higher risk sex in the last year,45.4,percent
