0,1,2,3,4
Topic,MICS,MDG,Indicator,Value
,Indicator Number,Indicator Number,,
NUTRITION,,,,
Nutritional,6,4,Underweight prevalence,
,,,Moderate Severe,
,,,Stunting prevalence,
,,,Moderate Severe,
,,,Wasting prevalence Moderate Severe,
status,,,22.6 per cent,
,,,5.6 per cent,
,7,,,
,,,35.1 per cent,
,,,12.7 per cent,
,8,,,
,,,7.9 per cent,
,,,2.1 per cent,
Breastfeeding,45,,Timely initiation of breastfeeding Exclusive breastfeeding rate Continued breastfeeding rate,75.8 per cent
,,,at 12-15 months,
,,,at 20-23 months,
,,,Timely complementary feeding rate Frequency of complementary feeding Adequately fed infants,
,15,23.6 per cent,,
,16,,,
,,91.0 per cent,,
,,65.4 per cent,,
,17,80.9 per cent,,
,18,56.5 per cent,,
,19,41.0 per cent,,
Vitamin A,42,,Vitamin A supplementation (under-fives),55.9 per cent
,43,Vitamin A supplementation (post-partum mothers),66.4 per cent,
Low birth,9,,Low birth weight infants,8.6 per cent
weight,10,Infants weighed at birth,56.3 per cent,
CHILD HEALTH,,,,
Immunization,25,,Tuberculosis immunization coverage,97.2 per cent
,26,,Polio immunization coverage,95.9 per cent
,27,,DPT immunization coverage,95.9 per cent
,28,15,Measles immunization coverage,90.7 per cent
,31,,Fully immunized children,88.6 per cent
,29,,Hepatitis B immunization coverage,95.9 per cent
Tetanus toxoid,32,,Neonatal tetanus protection,91.8 per cent
Care of illness,33,,Use of oral rehydration therapy (ORT),66.3 per cent
,34,Home management of diarrhoea,15.5 per cent,
,35,"Received ORT or increased fluids, and continued",50.3 per cent,
,,feeding,,
,23,Care seeking for suspected pneumonia,69.3 per cent,
,22,Antibiotic treatment of suspected pneumonia,34.2 per cent,
Solid fuel use,24,29,Solid fuels,94.3 per cent
CHILD MORTALITY,,,,
Child mortality,1,13,Under-five mortality rate,46.1 per thousand
,2,14,Infant mortality rate,37.5 per thousand
ENVIRONMENT,,,,
Water and,11,30,Use of improved drinking water sources,82.3 per cent
Sanitation,13,,Water treatment,34.5 per cent
,12,31,Access to improved sanitation facilities,84.6 per cent
REPRODUCTIVE HEALTH,,,,
Contraception,21,19c,Contraceptive prevalence,46.0 per cent
Maternal,20,,Antenatal care,83.1 per cent
,,,Content of antenatal care Blood pressure measured Urine specimen taken Weight measured,
,,,Skilled attendant at delivery Institutional deliveries,
and newborn,44,,80.1 per cent,
health,,,,
,,,56.9 per cent,
,,,63.6 per cent,
,4,17,70.6 per cent,
,5,,36.2 per cent,
CHILD DEVELOPMENT,,,,
Child,46,,Support for learning,57.9 per cent
development,47,Father's support for learning,44.0 per cent,
EDUCATION,,,,
Education,52,,Pre-school attendance School readiness,22.9 per cent
,,,Net intake rate in primary education Net primary school attendance rate Net secondary school attendance rate,
,,,Grade promotion from grade 1 to grade 5 Transition rate to secondary school,
,,,Net primary completion rate Gender Parity Index,
,,,Primary Secondary,
,53,,39.8 per cent,
,54,,74.4 per cent,
,55,6,90.2 per cent,
,56,,58.3 per cent,
,57,7,93.3 per cent,
,58,,95.3 per cent,
,59,7b,54.2 per cent,
,61,9,,
,,,1.01 ratio,
,,,1.01 ratio,
Literacy,60,8,Young female literacy rate,87.8 per cent
CHILD PROTECTION,,,,
Birth,62,,Birth registration,72.4 per cent
registration,75,,Prevalence of orphans,6.6 per cent
,78,,Children’s living arrangements,5.4 per cent
,68,,Young women aged 15-19 currently married,7.4 per cent
HIV/AIDS,,,,
HIV/AIDS,82,19b,Comprehensive knowledge about HIV prevention,31.8 per cent
knowledge,,,among young women,
and attitudes,89,,Knowledge of mother-to-child transmission of HIV,65.0 per cent
,86,,Attitude towards people with HIV/AIDS,34.9 per cent
,87,,Women who know where to be tested for HIV,70.6 per cent
,88,,Women who have been tested for HIV,17.6 per cent
