0,1,2,3,4
Topic MICS4,MDG Indicator Indicator,Value,,
Indicator Number,Num ber,,,
NUTR ITION,,,,
Breastfeeding and,2.4,,Children ever breastfed,99.2 percent
infant feeding,2.5,Early initiation of breastfeeding,28.0 percent,
,2.6,Exclusive breastfeeding under six months,63.9 percent,
,2.7,Continued breastfeeding at one year,98.0 percent,
,2.8,Continued breastfeeding at two years,86.7 percent,
,2.9,Predominant breastfeeding under six months,80.1 percent,
,2.10,Duration of breastfeeding,31.5 months,
,2.11,Bottle feeding,5.2 percent,
,2.12,"Introduction of solid, semi-solid or soft foods",62.6 percent,
,2.13,Minimum meal frequency,57.4 percent,
,2.14,Age-appropriate breastfeeding,76.1 percent,
Salt iodization,2.16,,Iodized salt consumption,50.4 percent
Vitamin A,2.17,,Vitamin A supplementation (children under five),90.1 percent
Low birth weight,2.18,,Low-birth-weight infants,26.1 percent
,2.19,Infants weighed at birth,30.6 percent,
,NMICS,,De-worming tablet coverage,72.8 percent
CHILD HEALTH,,,,
Vaccinations,3.1,,Tuberculosis immunization coverage,88.8 percent
,3.2,,Polio immunization coverage,77.4 percent
,3.3,,"Immunization coverage for diphtheria, pertussis and tetanus (DPT)",67.5 percent
,3.4,4.3,Measles immunization coverage,83.4 percent
,NMICS,,Japanese encephalitis vaccination coverage,31.2 percent
Tetanus toxoid,3.7,,Neonatal tetanus protection,64.4 percent
Care of illness,3.8,,Oral rehydration therapy with continued feeding,47.4 percent
,3.9,Care seeking for suspected pneumonia,51.1 percent,
,3.10,Antibiotic treatment ofsuspected pneumonia,56.1 percent,
,NMICS,Zinc tablet along with ORS during diarrhoea,21.7 percent,
Solid fuel use,3.11,,Solid fuels,92.9 percent
Malaria,3.16,,Malaria diagnostics usage (finger or heel stick),5.7 percent
,,,Anti-malarial treatment of children under five the same or next day,
,,,Anti-malarial treatment of children under five,
,3.17,,0.2 percent,
,3.18,6.8,0.5 percent,
WATER AND SANITATION,,,,
Water and sanitation,4.1,7.8,Use of improved drinking water sources,82.8 percent
,4.2,,Water treatment,3.7 percent
,4.3,7.9,Use of improved sanitation facilities,35.5 percent
,4.4,,Safe disposal of child's faeces,17.1 percent
,4.5,,Soap and water available at place for hand-washing,51.2 percent
,4.6,,Availability of soap in household,87.5 percent
,NMICS,,Distance between latrine and hand-washing place (within 10 paces),25.9 percent
Topic MICS4,MDG Indicator Indicator,Value,,
Indicator Number,Num ber,,,
R EPR ODUCTIVE HEALTH,,,,
Contraception and,5.3,5.3,Contraceptive prevalence rate,52.4 percent
unmet need,5.4,5.6,Unmet need,24.4 percent
,NMICS,,Experience of discrimination during menstruation (chaupadi),19.4 percent
Maternal and,,5.5,Antenatal care coverage,
newborn health,5.5a,,At least once by skilled personnel,45.0 percent
,5.5b,,At least four times by any provider,40.4 percent
,5.6,,Content of antenatal care,31.5 percent
,5.7,5.2,Skilled attendant at delivery,28.7 percent
,5.8,,Institutional deliveries,29.8 percent
,5.9,,Caesarean section,2.8 percent
,NMICS,,Newborn care practices in non-institutional deliveries,
,,,Dried before placenta was delivered,58.7 percent
,,,Wrapped in a separate cloth,88.4 percent
,,,Newborn first-time bathing practice (within one hour),33.8 percent
CHILD DEVELOPMENT,,,,
Child development,6.1,,Support for learning,70.6 percent
,6.2,,Father's support for learning,42.6 percent
,6.3,,Learning materials: children’s books,4.8 percent
,6.4,,Learning materials: playthings,55.2 percent
,6.5,,Inadequate care,50.7 percent
,6.6,,Early child development index,57.7 percent
,6.7,,Attendance in early childhood education,32.3 percent
LITER ACY AND EDUCATION,,,,
Literacy and,7.1,2.3,Literacy rate among young women,74.1 percent
,,,,71.9 percent
,,,,57.8 percent
,,,,73.1 percent
,,,,55.6 percent 0.99
,,,,0.90
education,7.2,,School readiness,
,7.3,,Net intake rate in primary education,
,7.4,2.1,Primary school net attendance ratio (adjusted),
,7.5,,Secondary school net attendance ratio (adjusted),
,7.9,,Gender parity index (primary school),
,7.10,,Gender parity index (secondary school),
CHILD PROTECTION,,,,
Birth registration,8.1,,Birth registration,41.9 percent
Child labour,8.2,,Child labour,44.3 percent
,8.3,School attendance among child labourers,93.8 percent,
,8.4,Child labour among students,45.7 percent,
Child discipline,8.5,,Violent discipline,83.0 percent
Early marriage and,8.6,,Marriage before the age of 15 years Marriage before the age of 18 years,15.7 percent
,,,Young women aged 15–19 years currently married or in union Polygyny,
,,,Spousal age difference Women aged 15–19 years Women aged 20–24 years,
polygyny,8.7,59.9 percent,,
,8.8,26.1 percent,,
,8.9,3.6 percent,,
,8.10a,4.9 percent,,
,8.10b,3.7 percent,,
Domestic violence,8.14,,Attitudes towards domestic violence,47.5 percent
,NMICS NMICS,,Attitudes towards domestic violence (mother-in-law) Child grant,62.0 percent
,,,,76.3 percent
Topic                                 MICS4           MDG        Indicator                                                                                          Value Indicator Indicator,,,,
Number Num ber,,,,
"HIV/AIDS, SEXUAL BEHAVIOUR, AND OR PHANED AND VULNERABLE CHILDR EN",,,,
HIV/AIDS knowledge           9.1                             Comprehensive  knowledge about HIV prevention,21.8 percent,,,
and attitudes         9.2           6.3        Comprehensive knowledge about HIV prevention among young people,34.4 percent,,,
Knowledge of mother-to-child transmission ofHIV,34.0 percent,,,
A ccepting attitude towards people living with HIV,47.2 percent,,,
Women who know where to be tested for HIV,44.5 percent,,,
Women who have been tested for HIV and know the results,1.5 percent,,,
HIV counselling during antenatal care,9.8 percent,,,
HIV testing during antenatal care,5.0 percent,,,
MASS MEDIA AND USE OF INFOR MATION/COMMUNICATION TECHNOLOGY,,,,
Access to mass media MT.1 All three media at least once a week,5.3 percent,,,
Use of information/ MT.2 Used a computer,5.8 percent,,,
communication             MT.3             Used the internet technology,2.3 percent,,,
TOBACCO AND ALCOHOL USE,,,,
Tobacco use TA.1 Currently used any tobacco product,16.3 percent,,,
TA.2 Smoked a whole cigarette before the age of 15 years,5.8 percent,,,
Alcohol use                     TA.3                      Had at least one drink of alcohol before the age of 15 years TA.4 Currently used alcohol,6.5 percent,,,
,9.5 percent,,,
SUBJECTIVE WELL-BEING,,,,
SW.2 Very or somewhat happy,64.2 percent,,,
SW.3 Perceived a better life,39.2 percent,,,
