0,1,2,3,4
CHILD MORTALITY,,,,
Early childhood mortality*,,,,
MICS Indicator,Indicator,Description,Value,
1.1,Neonatal mortality rate,Probability of dying within the first month of life,23,
1.2 MDG 4.2,Infant mortality rate,Probability of dying between birth and the first birthday,33,
1.3,Post-neonatal mortality rate,Difference between infant and neonatal mortality rates,11,
1.4,Child mortality rate,Probability of dying between the first and the fifth birthdays,5,
1.5 MDG 4.1,Under-five mortality rate,Probability of dying between birth and the fifth birthday,38,
* Rates refer to the five-year period preceding the survey,,,,
NUTRITION,,,,
Nutritional status,,,,
MICS Indicator,Indicator,Description,Value,
2.1a,MDG 1.8,Underweight prevalence,Percentage of children under age 5 who fall below,
2.1b,,Moderate and severe,minus two standard deviations (moderate and severe),30.1
,,Severe,minus three standard deviations (severe),8.6
,,,of the median weight-for-age of the WHO standard,
2.2a,Stunting prevalence,Percentage of children under age 5 who fall below,,
2.2b,Moderate and severe,minus two standard deviations (moderate and severe),37.4,
,Severe,minus three standard deviations (severe),15.8,
,,of the median height-for-age of the WHO standard,,
2.3a,Wasting prevalence,Percentage of children under age 5 who fall below,,
2.3b,Moderate and severe,minus two standard deviations (moderate and severe),11.3,
,Severe,minus three standard deviations (severe),3.2,
,,of the median weight-for-height of the WHO standard,,
2.4,Overweight prevalence,Percentage of children under age 5 who are above two standard deviations of the median weight-for-height of the WHO standard,2.1,
Breastfeeding and infant feeding,,,,
2.5,Children ever breastfed,Percentage of women with a live birth in the last 2 years who breastfed their last live-born child at any time,97.3,
2.6,Early initiation of breastfeeding,Percentage of women with a live birth in the last 2 years who put their last newborn to the breast within one hour of birth,48.7,
2.7,Exclusive breastfeeding under 6 months,Percentage of infants under 6 months of age who are exclusively breastfed,56.9,
2.8,Predominant breastfeeding under 6 months,Percentage of infants under 6 months of age who received breast milk as the predominant source of nourishment during the previous day,74.9,
2.9,Continued breastfeeding at 1 year,Percentage of children aged 12–15 months who received breast milk during the previous day,93.6,
2.10,Continued breastfeeding at 2 years,Percentage of children aged 20–23 months who received breast milk during the previous day,86.7,
2.11,Median duration of breastfeeding,The age in months when 50 percent of children aged 0–35 months did not receive breast milk during the previous day,36,
2.12,Age-appropriate breastfeeding,Percentage of children aged 0–23 months appropriately fed during the previous day,79.3,
2.13,"Introduction of solid, semi- solid or soft foods","Percentage of infants aged 6–8 months who received solid, semi-solid or soft foods during the previous day",73.5,
2.14,Milk feeding frequency for non-breastfed children,Percentage of non-breastfed children aged 6–23 months who received at least 2 milk feedings during the previous day,59.5,
2.15,Minimum meal frequency,"Percentage of children aged 6–23 months who received solid, semi-solid and soft foods (plus milk feeds for non-breastfed children) the minimum number of times or more during the previous day",74.4,
Breastfeeding and infant feeding: continued,,,,
MICS Indicator,Indicator,Description,Value,
2.16,Minimum dietary diversity,Percentage of children aged 6–23 months who received foods from 4 or more food groups during the previous day,37.0,
2.17a,Minimum acceptable diet,(a) Percentage of breastfed children aged 6–23 months who had,32.3,
2.17b,,at least the minimum dietary diversity and the minimum meal,,
,,frequency during the previous day,,
,,(b) Percentage of non-breastfed children aged 6–23 months who received at least 2 milk feedings and had at least the,22.8,
,,minimum dietary diversity not including milk feeds and the,,
,,minimum meal frequency during the previous day,,
2.18,Bottle feeding,Percentage of children aged 0–23 months who were fed with a bottle during the previous day,11.5,
Salt iodization,,,,
2.19,Iodized salt consumption,Percentage of households with salt testing 15 parts per million or more of iodide/iodate,81.5,
Low birth weight,,,,
2.20,Low-birth-weight infants,"Percentage of most recent live births in the last 2 years weighing below 2,500 grams at birth",24.2,
2.21,Infants weighed at birth,Percentage of most recent live births in the last 2 years who were weighed at birth,60.0,
CHILD HEALTH,,,,
Vaccinations,,,,
MICS Indicator,Indicator,Description,Value,
3.1,Tuberculosis immunization coverage,Percentage of children aged 12–23 months who received BCG vaccine by their first birthday,87.5,
3.2,Polio immunization coverage,Percentage of children aged 12–23 months who received the third dose of OPV vaccine (OPV3) by their first birthday,85.2,
3.3,"Diphtheria, pertussis and tetanus (DPT) immunization coverage",Percentage of children aged 12–23 months who received the third dose of DPT vaccine (DPT3) by their first birthday,83.1,
3.4 MDG 4.3,Measles immunization coverage,Percentage of children aged 12–23 months who received measles vaccine by their first birthday,84.5,
3.5,Hepatitis B immunization coverage,Percentage of children aged 12–23 months who received the third dose of Hepatitis B vaccine (HepB3) by their first birthday,83.1,
3.6,Haemophilus influenzae type B (Hib) immunization coverage,Percentage of children aged 12–23 months who received the third dose of Hib vaccine (Hib3) by their first birthday,83.1,
3.8,Full immunization coverage,Percentage of children aged 12–23 months who received all vaccinations recommended in the national immunization schedule by their first birthday (measles by second birthday),67.1,
Tetanus toxoid,,,,
3.9,Neonatal tetanus protection,Percentage of women aged 15–49 years with a live birth in the last 2 years who were given at least two doses of tetanus toxoid vaccine within the appropriate interval prior to the most recent birth,77.3,
Diarrhoea,,,,
- Children with diarrhoea,Percentage of children under age 5 with diarrhoea in the last 2 weeks,12.0,,
3.10,Care-seeking for diarrhoea,Percentage of children under age 5 with diarrhoea in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,47.2,
3.11,Diarrhoea treatment with oral rehydration salts (ORS) and zinc,Percentage of children under age 5 with diarrhoea in the last 2 weeks who received ORS and zinc,18.2,
3.12,Diarrhoea treatment with,Percentage of children under age 5 with diarrhoea in the last 2,45.9,
oral rehydration therapy,"weeks who received ORT (ORS packet, pre-packaged ORS",,,
(ORT) and continued,"fluid, recommended homemade fluid or increased fluids) and",,,
feeding,continued feeding during the episode of diarrhoea,,,
Acute respiratory infection (ARI) symptoms,,,,
MICS Indicator,Indicator,Description,Value,
- Children with ARI,Percentage of children under age 5 with ARI symptoms in the last 2 weeks,6.7,,
symptoms,,,,
3.13,Care-seeking for children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,50.1,
3.14,Antibiotic treatment for children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks who received antibiotics,74.9,
Solid fuel use,,,,
3.15,Use of solid fuels for cooking,Percentage of household members in households that use solid fuels as the primary source of domestic energy to cook,74.7,
