0,1,2,3,4,5
Nutritional status1,,,,,
MICS,Indicator,Description,Value,,
Indicator,,,,,
2.1a,MDG 1.8,Underweight prevalence,Percentage of children under age 5 who fall below,,
2.1b,,Moderate and severe,minus two standard deviations (moderate and severe),,
,,Severe,minus three standard deviations (severe),,
,,,of the median weight for age of the WHO standard,,
,9.7,,,,
,2.4,,,,
2.2a,,Stunting prevalence,Percentage of children under age 5 who fall below,14.1,
2.2b,,Moderate and severe,minus two standard deviations (moderate and severe),4.9,
,,Severe,) minus three standard deviations (severe),,
,,,of the median height for age of the WHO standard,,
2.3a,,Wasting prevalence,Percentage of children under age 5 who fall below,7.5,
2.3b,,Moderate and severe,minus two standard deviations (moderate and severe),2.4,
,,Severe,) minus three standard deviations (severe),,
,,,of the median weight for height of the WHO standard,,
2.4,,Overweight prevalence,Percentage of children under age 5 who are above two standard deviations of the median weight for height of the WHO standard,4.4,
Breastfeeding and infant feeding,,,,,
MICS,Indicator,Description,Value,,
Indicator,,,,,
2.5,Children ever breastfed,Percentage of women with a live birth in the last 2 years who breastfed their last live-born child at any time,98.0,,
2.6,Early initiation of breastfeeding,Percentage of women with a live birth in the last 2 years who put their last newborn to the breast within one hour of birth,71.1,,
2.7,Exclusive breastfeeding under 6 months,Percentage of infants under 6 months of age who are exclusively breastfed2,32.8,,
2.8,Predominant breastfeeding under 6 months,Percentage of infants under 6 months of age who received breast milk as the predominant source of nourishment 3 during the previous day,46.0,,
2.9,Continued breastfeeding at 1 year,Percentage of children age 12-15 months who received breast milk during the previous day,72.2,,
2.10,Continued breastfeeding at 2 years,Percentage of children age 20-23 months who received breast milk during the previous day,48.4,,
2.11,Median duration of breastfeeding,The age in months when 50 percent of children age 0-35 months did not receive breast milk during the previous day,20.7,,
2.12,Age-appropriate breastfeeding,Percentage of children age 0-23 months appropriately fed4 during the previous day,58.1,,
2.13,"Introduction of solid, semi- solid or soft foods","Percentage of infants age 6-8 months who received solid, semi-solid or soft foods during the previous day",89.5,,
