0,1,2,3,4
MICS4 MDG,,Value,,
Topic Indicator Indicator Indicator,,,,
Number Number,,,,
CHILD MORTAUTY,89,per thousand Per thousand Per thousand per thousand Per thousand Per thousand,,
Child mortality 1.1 4.1 Under-five mortality rate,74,,,
Under- five mortality rate - male Under- five mortality rate - female,107,,,
1.2 4.2 Infant mortality rate,72,,,
Under- five mortality - male Under- five mortality - female,63,,,
NUTRITION,82,,,
Breastfeeding and infant feeding,2.4 Chlldren ever breastfed,94.1,percent percent percent percent percent Months percent percent percent percent percent Percent,
Salt iodization,Exclusive breastfeeding under 6 months,39.7,,
,Continued breastfeeding at 1 year,85.7,,
,Continued breastfeeding at 2 years,62.3,,
,Predominant breastfeeding under 6 months,57.0,,
,Duration of breastfeeding,23.9,,
,Bottle feeding,36.0,,
,"Introduction of solid, semi-solid or soft foods",37.7,,
,Minimum meal frequency,20.3,,
,Age-appropriate breastfeeding,44.3,,
,Milk feeding frequency for non-breastfed children,59.8,,
,Iodized salt consumption,10.2,,
MICS4 MDG,,Value,,
Topic Indicator Indicator Indicator,,,,
Number Number,,,,
CHILD MORTAUTY,89,per thousand Per thousand Per thousand per thousand Per thousand Per thousand,,
Child mortality 1.1 4.1 Under-five mortality rate,74,,,
Under- five mortality rate - male Under- five mortality rate - female,107,,,
1.2 4.2 Infant mortality rate,72,,,
Under- five mortality - male Under- five mortality - female,63,,,
NUTRITION,82,,,
Breastfeeding and infant feeding,2.4 Chlldren ever breastfed,94.1,percent percent percent percent percent Months percent percent percent percent percent Percent,
Salt iodization,Exclusive breastfeeding under 6 months,39.7,,
,Continued breastfeeding at 1 year,85.7,,
,Continued breastfeeding at 2 years,62.3,,
,Predominant breastfeeding under 6 months,57.0,,
,Duration of breastfeeding,23.9,,
,Bottle feeding,36.0,,
,"Introduction of solid, semi-solid or soft foods",37.7,,
,Minimum meal frequency,20.3,,
,Age-appropriate breastfeeding,44.3,,
,Milk feeding frequency for non-breastfed children,59.8,,
,Iodized salt consumption,10.2,,
Topic,MICS4 MDG,,Value,
,Indicator Indicator Indicator,,,
,Number Number,,,
CHILD HEALTH,,,,
Vaccinations,3.1 Tuberculosis immunization coverage,34.5,percent,
,3.2 Polio immunization coverage,46.1,percent,
,"3.3 Immunization coverage for diphtheria, pertussis and tetanus (OPT)",12.2,percent,
,3.4 4.3 Measles immunization coverage,22.9,percent,
,3.5 Hepatitis B immunization coverage,6.7,percent,
Tetanus toxoid,3.7 Neonatal tetanus protection,17.4,percent,
Care of illness,3.8 Oral rehydration therapy with continued feeding,55.7,percent,
,3.9 Care seeking for suspected pneumonia,54.9,percent,
,3.10 Antibiotic treatment of suspected pneumonia,37.3,percent,
Solid fuel use,3.11 Solid fuels,72.1,percent,
Malaria,3.12 Household availability of insecticide-treated nets (ITNs),2.9,percent,
,3.14 Children under age 5 sleeping under any mosquito net,1.5,percent,
,3.15 6.7 Children under age 5 sleeping under insecticide-treated nets (ITNs),0.6,percent,
,3.16 Malaria diagnostics usage,25.8,Percent,
,3.17 Antimalarial treatment of children under 5 the same or next day,24.1,percent,
,3.18 6.8 Antimalarial treatment of children under age 5,33.5,percent,
,3.19 Pregnant women sleeping under insecticide-treated nets (ITNs),0.9,percent,
,3.20  Intermittent preventive treatment for malaria,3.1,percent,
WATERAND SANITATION,,,,
Water and,4.1 7.8 Use of improved drinking water sources,73.7,percent,
sanitation,,,,
,4.2 Water treatment,3.5,percent,
,4.3 7.9 Use of improved sanitation facilities,61.4,percent,
,4.4 Safe disposal of child's faeces,22.7,percent,
,4.5 Place for hand washing,63.8,Percent,
,4.6 Availability of soap,75.3,Percent,
Topic,MICS4 MDG,,Value,
,Indicator Indicator Indicator,,,
,Number Number,,,
REPRODUCTIVE HEALTH,,,,
Contraception,5.2 Early childbearing,11.0,percent,
and unmet needs,,,,
,5.3 5.3 Contraceptive prevalence rate,14.7,Percent,
,5.5 Antenatal care coverage,,,
,5.5a At least once by skilled personnel,39.1,percent,
,5.5b At least four times by any provider,11.2,percent,
,5.6 Content of antenatal care,20.2,percent,
,5.7 5.2 Skilled attendant at delivery,28.9,percent,
,5.8 Institutional deliveries,24.2,percent,
CHILD DEVELOPMENT,,,,
Child,6.1 Support for learning,37.9,percent,
development,,,,
,6.2 Father's support for learning,60.7,percent,
,6.3 Learning materials: children's books,2.1,percent,
,6.4 Learning materials: playthings,46.7,percent,
,6.5 Inadequate care,32.4,percent,
,6.6 Early child development index,60.2,percent,
,6.7 Attendance to early childhood education,3.2,percent,
Topic,MICS4 MDG,,Value,
,Indicator Indicator Indicator,,,
,Number Number,,,
EDUCATION,,,,
Literacy and,7.1 2.3 Literacy rate among young women,32.9,percent,
education,,,,
,7.2 School readiness,80.1,percent,
,7.3 Net intake rate in primary education,19.8,percent,
,7.4 2.1 Primary school net attendance rate (adjusted),44.1,percent,
,7.5 Secondary school net attendance rate (adjusted),27.8,percent,
,7.6 2.2 Children reaching last grade of primary,99.1,percent,
,7.7 Primary completion rate,56.0,percent,
,7.8 Transition rate to secondary school,91.1,percent,
,7.9 Gender parity index (primary school),0.83,ratio,
,7.10 Gender parity index (secondary school),0.6,ratio,
CHILD PROTECTION,,,,
Birth registration,8.1 Birth registration,22.9,percent,
Child labour,8.2 Child labour,17.3,percent,
,8.3 School attendance among child labourers,46.8,percent,
,8.4 Child labour among students,18.0,percent,
Early marriage,8.6 Marriage before age 15,6.7,percent,
,8.7 Marriage before age 18,34.6,percent,
,8.8 Young women age 15-19 currently married,6.9,percent,
Domestic violence,8.14 Attitudes towards domestic violence,61.5,percent,
Topic,MICS4 MDG,,Value,
,Indicator Indicator Indicator,,,
,Number Number,,,
EDUCATION,,,,
Literacy and,7.1 2.3 Literacy rate among young women,32.9,percent,
education,,,,
,7.2 School readiness,80.1,percent,
,7.3 Net intake rate in primary education,19.8,percent,
,7.4 2.1 Primary school net attendance rate (adjusted),44.1,percent,
,7.5 Secondary school net attendance rate (adjusted),27.8,percent,
,7.6 2.2 Children reaching last grade of primary,99.1,percent,
,7.7 Primary completion rate,56.0,percent,
,7.8 Transition rate to secondary school,91.1,percent,
,7.9 Gender parity index (primary school),0.83,ratio,
,7.10 Gender parity index (secondary school),0.6,ratio,
CHILD PROTECTION,,,,
Birth registration,8.1 Birth registration,22.9,percent,
Child labour,8.2 Child labour,17.3,percent,
,8.3 School attendance among child labourers,46.8,percent,
