0,1,2,3,4
Alimentación de leche materna y alimentación de infantes,,,,
Indicador de,Descripción,Valor,,
MICS Indicador,,,,
2.5                 Niños que alguna vez fueron lactados,Porcentaje de mujeres con un nacido vivo en los 2 últimos años que lactaron en cualquier momento a su último hijo/a nacido vivo.,96.4,,
2.6     Iniciación temprana con alimentación de leche materna,Porcentaje de mujeres que tuvieron un nacido vivo dentro de los 2 últimos años y que lactaron al recién nacido dentro de la hora de haber nacido.,47.0,,
2.7                        Lactancia exclusiva antes de los 6 meses,Porcentaje de infantes menores de 6 meses de edad que lactan exclusivamentei,21.5,,
,.,,,
2.8              Lactancia predominante en infantes menores de 6 meses,Porcentaje de infantes de menos de 6 meses que lactan como fuente predominante de alimentación durante el día anteriorii,39.5,,
,.,,,
2.9                       Lactancia continua hasta el 1er año de edad,Porcentaje de niños/as de entre 12 y 15 meses alimentados con leche materna el día anterior.,52.5,,
2.10                         Lactancia continua hasta los 2 años de edad,Porcentaje de niños/as de entre 20 y 23 meses alimentados con leche materna el día anterior.,34.3,,
2.11           Duración media de la lactancia,La edad en meses en que el 50 por ciento de los niños/as de entre 0 y 35 meses no recibió leche materna durante el día anterior.,15.5,,
2.12                 Lactancia materna apropiada para la edad,Porcentaje de niños/as de entre 0 y 23 meses que fueron alimentados apropiadamente durante el día anterioriii,34.7,,
,.,,,
"2.13             Introducción de alimentos sólidos, semisólidos o blandos","Porcentaje de infantes de entre 6 y 8 meses que recibieron alimentos sólidos, semisólidos o blandos durante el día anterior.",60.8,,
2.14                    Frecuencia de alimentación con leche en niños/as que no reciben leche materna,Porcentaje de niños/as de entre 6 y 23 meses que no reciben lactancia materna y que recibieron al menos 2 tomas de leche durante el día anterior.,90.3,,
2.15            Frecuencia mínima de comidas,"Porcentaje de niños/as de entre 6 y 23 meses que reciben alimentos sólidos, semisólidos y blandos (y niños/as no lactados que además son alimentados con leche) la cantidad mínima de veces o másiv durante el día anterior.",65.6,,
2.18 Alimentación con biberón,Porcentaje de niños/as de entre 0 y 23 meses que fueron alimentados con biberón durante el día anterior.,63.0,,
Bajo peso al nacer,,,,
Indicador,Descripción,Valor,,
de MICS Indicador,,,,
2.20               Infantes con bajo peso al nacer,Porcentaje de los últimos nacidos vivos en los 2 años anteriores a la encuesta que pesaron menos de 2.500 gramos al nacer.,8.3,,
2.21 Infantes pesados al nacer,Porcentaje de últimos nacidos vivos en los 2 años anteriores a la encuesta que fueron pesados al nacer.,91.2,,
Vacunaciones,,,,
Indicador de,Descripción,Valor,,
MICS Indicador,,,,
3.1                  Cobertura de vacunación contra la tuberculosis,Porcentaje de niños/as de entre 12 y 23 meses que recibieron la vacuna BCG antes de cumplir el primer año.,96.1,,
3.2                  Cobertura de vacunación contra la polio,Porcentaje de niños/as de entre 12 y 23 meses que recibieron la tercera dosis de la vacuna OPV (OPV3) antes de cumplir el primer año.,74.6,,
"3.3                  Cobertura de vacunación contra la difteria, la tos ferina y el tétanos (DPT)",Porcentaje de niños/as de entre 12 y 23 meses que recibieron la tercera dosis de la vacuna DPT (DPT3) antes de cumplir el primer año.,74.9,,
