0,1,2,3,4,5,6,7
Topic,"MICS4
Indicator Number","MDG
Indicator Number",Indicator,Value,,,
Qataris,Non-Qataris,Total,unit,,,,
Nutrition,,,,,,,
Breastfeeding and infant feeding,2.4,,Children ever breastfed,94.5,94.7,94.6,Percent
2.5,,Early initiation of breastfeeding – within one hour of birth,42.0,30.0,33.5,Percent,
2.6,,Exclusive breastfeeding under 6 months,18.6,35.0,29.3,Percent,
2.7,,Continued breastfeeding at 1 year,49.0,69.6,65.0,Percent,
2.8,,Continued breastfeeding at 2 years,18.2,38.4,31.9,Percent,
2.9,,Predominant breastfeeding under 6 months,26.2,44.4,38.1,Percent,
2.10,,Duration of breastfeeding,13.7,18.3,16.4,Months,
2.11,,Bottle feeding – for children aged 0-23 months,68.9,60.4,62.9,Percent,
2.12,,"Introduction of solid, semi- solid or soft foods",50.8,50.0,50.2,Percent,
2.13,,Minimum meal frequency,62.9,45.1,50.1,Percent,
2.14,,Age-appropriate breastfeeding,19.6,26.0,24.1,Percent,
2.15,,Milk feeding frequency for non-breastfed children,95.6,90.5,92.2,Percent,
Low birth weight,2.18,,Low birth-weight infants,10.2,11.0,10.6,Percent
2.19,,Infants weighed at birth,86.2,88.0,87.5,Percent,
Child Health,,,,,,,
Care of illness,3.8,,Oral re-hydration therapy with continued feeding,66.4,(69.8),68.5,Percent
Reproductive Health,,,,,,,
,5.3,5.3,Contraceptive prevalence rate,39.4,36.9,37.5,Percent
5.4,5.6,Unmet need,13.4,12.1,12.4,Percent,
Maternal and newborn health,,5.5,Antenatal care coverage,,,,
5.5 a,,"At least once by skilled
personnel",96.2,88.7,90.8,Percent,
5.5 b,,"At least four times by any
provider",92.3,81.4,84.5,Percent,
5.6,,Content of antenatal care,95.4,85.2,88.1,Percent,
5.7,5.2,Skilled attendant at delivery,100.0,100.0,100.0,Percent,
5.8,,Institutional deliveries,100.0,98.4,98.9,Percent,
5.9,,Caesarean section,13.4,22.0,19.5,Percent,
Post-natal health checks,5.10,,Post-partum stay in a health facility,90.7,90.8,90.8,Percent
5.11,,Post-natal health check for the newborn,95.8,95.5,95.6,Percent,
5.12,,Post-natal health check for the mother,89.0,91.7,90.9,Percent,
Topic,"MICS4
Indicator Number","MDG
Indicator Number",Indicator,Value,,,
Qataris,Non-Qataris,Total,unit,,,,
Child Development,,,,,,,
,6.1,,Support for learning,85.5,89.9,88.4,Percent
6.2,,Father's support for learning,80.9,86.9,84.9,Percent,
6.3,,"Learning materials:
children’s books",37.7,40.3,39.5,Percent,
6.4,,Learning materials: playthings,47.9,55.7,53.3,Percent,
6.5,,Inadequate care,11.1,11.9,11.6,Percent,
6.6,,Early child development index,82.8,84.5,83.9,Percent,
6.7,,Attendance to early childhood education,32.3,45.0,40.8,Percent,
Education,,,,,,,
,7.2,,School readiness,77.3,84.6,81.9,Percent
7.3,,Net intake rate in primary education,93.4,92.2,92.7,Percent,
7.4,2.1,Primary school net attendance ratio (adjusted),96.7,96.4,96.5,Percent,
7.5,,Secondary school net attendance ratio (adjusted),91.6,94.7,93.2,Percent,
7.6,2.2,Children reaching last grade of primary education,99.8,100.0,99.9,Percent,
7.7,,Primary completion rate,92.7,93.0,92.9,Percent,
7.8,,Transition rate to secondary school,95.4,98.9,97.5,Percent,
7.9,,Gender parity index (primary school),1.00,1.01,1.00,Percent,
7.10,,Gender parity index (secondary school),1.01,0.98,0.99,Percent,
Early marriage and polygamy,8.6,Marriage before age 15,,,,,
,women age 15-49 years,0.0,0.0,0.0,Percent,,
,men age 15-49 years,0.0,0.0,0.0,Percent,,
8.7,Marriage before age 18,,,,,,
,women age 15-49 years,7.4,5.6,6.2,Percent,,
,men age 15-49 years,1.0,0.7,0.8,Percent,,
8.8,Young age 15-19 years currently married,,,,,,
,women,3.4,4.5,4.0,Percent,,
,men,0.5,0.7,0.6,Percent,,
8.9,Polygyny,,,,,,
,women age 15-49 years,4.4,2.0,2.6,Percent,,
,men age 15-49 years,1.6,0.5,0.7,Percent,,
Spousal age difference,,,,,,,
8.10 b,,women age 20-24 years,9.8,16.6,14.6,Percent,
Domestic violence,8.14,Attitudes towards domestic violence,,,,,
,women age 15-49 years,6.2,6.7,6.6,Percent,,
,men age 15-49 years,20.5,13.7,15.9,Percent,,
HIV/AIDS,,,,,,,
"HIV/AIDS
knowledge and",9.1,,Comprehensive knowledge about HIV prevention,,,,
Topic,"MICS4
Indicator Number","MDG
Indicator Number",Indicator,Value,,,
Qataris,Non-Qataris,Total,unit,,,,
attitudes,,,women age 15-49 years 17.6,22.4,20.8,Percent,
,men age 15-49 years 28.5,30.6,29.9,Percent,,,
9.2,6.3,Comprehensive knowledge about HIV prevention among young people,,,,,
,women age 15-24 years 16.2,15.1,15.6,Percent,,,
,men age 15-24 years 24.2,26.3,25.2,Percent,,,
9.3,Knowledge of mother-to- child transmission of HIV,,,,,,
,women age 15-49 years 28.7,28.2,28.4,Percent,,,
