0,1,2,3,4,5
Child mortality,,,,,
Early childhood mortalityA,,,,,
MICS Indicator,Indicator,Description,Serbia Roma SettlementsB,,
1.2,MDG 4.2,Infant mortality rate,Probability of dying between birth and the first birthday,12.8,
1.5,MDG 4.1,Under-five mortality rate,Probability of dying between birth and the fifth birthday,14.4,
Nutrition,,,,,
Nutritional status,,,,,
MICS Indicator,Indicator,Description,Serbia,Serbia Roma Settlements,
"2.1a
2.1b",MDG 1.8,"Underweight prevalence
Moderate and severeSevere","Percentage of children under age 5 who fall below
minus two standard deviations (moderate and severe)minus three standard deviations (severe) of the median weight for age of the WHO standard","1.8
0.2","9.5
1.9"
"2.2a
2.2b",,"Stunting prevalence
Moderate and severeSevere","Percentage of children under age 5 who fall below
minus two standard deviations (moderate and severe)minus three standard deviations (severe) of the median height for age of the WHO standard","6.0
2.3","18.5
5.3"
"2.3a
2.3b",,"Wasting prevalence
Moderate and severeSevere","Percentage of children under age 5 who fall below
minus two standard deviations (moderate and severe)minus three standard deviations (severe) of the median weight for height of the WHO standard","3.9
1.1","4.8
1.9"
2.4,,Overweight prevalence,Percentage of children under age 5 who are above two standard deviations of the median weight for height of the WHO standard,13.9,5.1
Breastfeeding and infant feeding,,,,,
2.5,Children ever breastfed,Percentage of women with a live birth in the last 2 years who breastfed their last live-born child at any time,90.4,94.4,
2.6,Early initiation of breastfeeding,Percentage of women with a live birth in the last 2 years who put their last newborn to the breast within one hour of birth,50.8,69.1,
2.7,Exclusive breastfeeding under 6 months,Percentage of infants under 6 months of age who are exclusively breastfed,12.8,13.0,
2.8,Predominant breastfeeding under 6 months,Percentage of infants under 6 months of age who received breast milk as the predominant source of nourishment during the previous day,47.2,60.6,
2.9,Continued breastfeeding at 1 year,Percentage of children age 12-15 months who received breast milk during the previous day,24.6,62.0,
2.10,Continued breastfeeding at 2 years,Percentage of children age 20-23 months who received breast milk during the previous day,8.9,33.3,
2.11,Median duration of breastfeeding,The age in months when 50 percent of children age 0-35 months did not receive breast milk during the previous day,10.5,15.7,
2.12,Age-appropriate breastfeeding,Percentage of children age 0-23 months appropriately fed during the previous day,23.4,42.9,
2.13,"Introduction of solid, semi-solid or soft foods","Percentage of infants age 6-8 months who received solid, semi-solid or soft foods during the previous day",96.6,89.6,
2.14,Milk feeding frequency for non- breastfed children,Percentage of non-breastfed children age 6-23 months who received at least 2 milk feedings during the previous day,84.3,62.1,
2.15,Minimum meal frequency,"Percentage of children age 6-23 months who received solid, semi-solid and soft foods (plus milk feeds for non-breastfed children) the minimum number of times or more during the previous day",94.4,71.7,
2.16,Minimum dietary diversity,Percentage of children age 6-23 months who received foods from 4 or more food groups during the previous day,89.6,51.3,
"2.17a
2.17b",Minimum acceptable diet,Percentage of breastfed children age 6-23 months who had at least the minimum dietary diversity and the minimum meal frequency during the previous dayPercentage of non-breastfed children age 6-23 months who received at least 2 milk feedings and had at least the minimum dietary diversity not including milk feeds and the minimum meal frequency during the previous day,"68.9
73.0","26.8
36.5",
2.18,Bottle feeding,Percentage of children age 0-23 months who were fed with a bottle during the previous day,83.1,72.0,
Low-birthweight,,,,,
2.20,Low-birthweight infants,Percentage of most recent live births in the last 2 years weighing below 2500 grams at birth,5.1,14.7,
