0,1,2,3,4,5
TOPIC,MICS INDICATOR NUMBER,MDG INDICATOR NUMBER,INDIC ATOR,VA LU E,
Child mortality 1,1,13,Under-five mortality rate – Roma in Roma settlements,28,per thousand
2,14,Infant mortality rate – Roma in Roma settlements,25,per thousand,
Child mortality 1,1,13,Under-five mortality rate – Roma in Roma settlements,28,per thousand
2,14,Infant mortality rate – Roma in Roma settlements,25,per thousand,
NUTRITION,,,,,
Nutritional status,6,4,Underweight prevalence,1.6,percent
,7,,Stunting prevalence,5.9,percent
,8,,Wasting prevalence,3.3,percent
Breastfeeding,45,,Timely initiation of breastfeeding,17.4,percent
,15,,Exclusive breastfeeding rate,15.1,percent
,16,,Continued breastfeeding rate,,
,,,at 12–15 months,22.4,percent
,,,at 20–23 months,8.2,percent
,17,,Timely complementary feeding rate,39.0,percent
,18,,Frequency of complementary feeding,33.5,percent
,19,,Adequately fed infants,24.6,percent
Low birth weight,9,,Low birth weight infants,5.0,percent
,10,,Infants weighed at birth,97.9,percent
CHILD HEALTH,,,,,
Immunization,25,,Tuberculosis immunization coverage,74.1,percent
,26,,Polio immunization coverage,88.2,percent
,27,,DPT immunization coverage,89.7,percent
,28,15,Measles (MMR) immunization coverage,84.1,percent
,31,,Fully immunized children,43.6,percent
TOPIC,MICS INDICATOR NUMBER,MDG INDICATOR NUMBER,INDIC ATOR,VA LU E,
Care of illness,33,,Use of oral rehydration therapy (ORT),94.0,percent
,34,,Home management of diarrhoea,26.2,percent
,35,,"Received ORT or increased fluids, and continued feeding",71.0,percent
,23,,Care seeking for suspected pneumonia,92.5,percent
,22,,Antibiotic treatment of suspected pneumonia,56.8,percent
Solid fuel use,24,29,Solid fuels,33.5,percent
ENVIRONMENT,,,,,
Water,11,30,Use of improved drinking water sources,98.9,percent
and Sanitation,13,,Water treatment,4.5,percent
,12,31,Use of improved sanitation facilities,99.8,percent
,14,,Disposal of child’s faeces,36.7,percent
Security of tenure,93,,Security of tenure,16.5,percent
Care of illness,33,,Use of oral rehydration therapy (ORT),94.0,percent
,34,,Home management of diarrhoea,26.2,percent
,35,,"Received ORT or increased fluids, and continued feeding",71.0,percent
,23,,Care seeking for suspected pneumonia,92.5,percent
,22,,Antibiotic treatment of suspected pneumonia,56.8,percent
Solid fuel use,24,29,Solid fuels,33.5,percent
ENVIRONMENT,,,,,
Water,11,30,Use of improved drinking water sources,98.9,percent
and Sanitation,13,,Water treatment,4.5,percent
,12,31,Use of improved sanitation facilities,99.8,percent
,14,,Disposal of child’s faeces,36.7,percent
Security of tenure,93,,Security of tenure,16.5,percent
Education,52,,Pre-school attendance,32.5,percent
,53,,School readiness,89.0,percent
,54,,Net intake rate in primary education,93.6,percent
,55,6,Net primary school attendance rate,98.4,percent
,56,,Net secondary school attendance rate,83.8,percent
,57,7,Children reaching grade ﬁve,99.8,percent
,58,,Transition rate to secondary school,97.1,percent
,59,7b,Primary completion rate,90.7,percent
,61,9,Gender parity index,,
,,,primary school,1.00,ratio
,,,secondary school,1.08,ratio
Literacy,60,8,Adult literacy rate,95.6,percent
CHILD PROTECTION,,,,,
Birth registration,62,,Birth registration,98.9,percent
Child labour,71,,Child labour,4.4,percent
,72,,Labourer students,93.4,percent
,73,,Student labourers,4.5,percent
Child discipline,74,,Child discipline,,
,,,Any psychological/physical punishment,72.7,percent
Early marriage,67,,Marriage before age 15,0.8,percent
,,,Marriage before age 18,8.4,percent
,68,,Young women aged 15–19 currently married/in union,5.8,percent
,69,,Spousal age diﬀerence,,
,,,Women aged 15–19,26.3,percent
,,,Women aged 20–24,13.7,percent
Domestic violence,100,,Attitudes towards domestic violence,6.2,percent
Disability,101,,Child disability,11.3,percent
TOPIC,MICS INDICATOR NUMBER,MDG INDICATOR NUMBER,INDIC ATOR,VA LU E,
EDUCATION,,,,,
TOPIC,MICS INDICATOR NUMBER,MDG INDICATOR NUMBER,INDIC ATOR,VA LU E,
EDUCATION,,,,,
TOPIC,MICS INDICATOR NUMBER,MDG INDICATOR NUMBER,INDIC ATOR,VA LU E,
HIV/AIDS AND SEXUAL BEHAVIOUR,,,,,
,prevention among young people,,,,
89,Knowledge of mother-to-child transmission of HIV,57.0,percent,,
86,Attitude towards people with HIV/AIDS,36.5,percent,,
87,Women who know where to be tested for HIV,69.4,percent,,
88,Women who have been tested for HIV,7.0,percent,,
,prevention among young people,,,,
89,Knowledge of mother-to-child transmission of HIV,57.0,percent,,
86,Attitude towards people with HIV/AIDS,36.5,percent,,
87,Women who know where to be tested for HIV,69.4,percent,,
88,Women who have been tested for HIV,7.0,percent,,
,of mother-to-child transmission of HIV,8.9,percent,,
Sexual behaviour,84,,Age at ﬁrst sex among young people,1.1,percent
,92,,Age-mixing among sexual partners,7.4,percent
,83,19a,Condom use with non-regular partners,74.4,percent
,85,,Higher risk sex in the last year,60.8,percent
,of mother-to-child transmission of HIV,8.9,percent,,
Sexual behaviour,84,,Age at ﬁrst sex among young people,1.1,percent
,92,,Age-mixing among sexual partners,7.4,percent
,83,19a,Condom use with non-regular partners,74.4,percent
,85,,Higher risk sex in the last year,60.8,percent
