0,1,2,3,4,5,6
Topic,MICS4,MDG,Indicator,Value,,
,Indicator Number,Indicator Number,,,,
Serbia,Roma settlements,,,,,
CHILD MORTALITY,,,,,,
Child mortality,1.1,4.1,Under-five mortality rate,,15.0,per thousand
1.2,4.2,Infant mortality rate,,14.0,per thousand,
Nutritional status,Underweight prevalence,,,,,
2.1a,1.8,Moderate and Severe (–2 SD),1.6,6.6,percent,
2.1b,,Severe (– 3 SD),0.5,1.4,percent,
Stunting prevalence,,,,,,
2.2a,,Moderate and Severe (–2 SD),6.6,23.6,percent,
2.2b,,Severe (–3 SD),3.2,9.7,percent,
Wasting prevalence,,,,,,
2.3a,,Moderate and Severe (–2 SD),3.5,5.2,percent,
2.3b,,Severe (–3 SD),0.8,2.4,percent,
Breastfeeding and infant feeding,2.4,,Children ever breastfed,90.1,93.2,percent
2.5,,Early initiation of breastfeeding,7.6,10.0,percent,
2.6,,Exclusive breastfeeding under 6 months,13.7,9.1,percent,
2.7,,Continued breastfeeding at 1 year,18.4,54.0,percent,
2.8,,Continued breastfeeding at 2 years,15.3,36.9,percent,
2.9,,Predominant breastfeeding under 6 months,39.2,52.2,percent,
2.10,,Duration of breastfeeding,8.8,14.9,percent,
2.11,,Bottle feeding,84.6,81.8,percent,
2.12,,"Introduction of solid, semi-solid or soft foods",84.1,65.3,percent,
2.13,,Minimum meal frequency,84.3,71.9,percent,
2.14,,Age-appropriate breastfeeding,19.3,33.5,percent,
2.15,,Milk feeding frequency for non-breastfed children,89.1,59.8,percent,
Low birth weight,2.18,,Low-birthweight infants,4.8,10.2,percent
2.19,,Infants weighed at birth,99.6,96.2,percent,
CHILD HEALTH,,,,,,
Care of illness,3.8,,Oral rehydration therapy with continued feeding,59.7,59.8,percent
3.9,,Care seeking for suspected pneumonia,89.7,91.7,percent,
3.10,,Antibiotic treatment of suspected pneumonia,81.6,90.6,percent,
Solid fuel use,3.11,,Solid fuels,31.6,75.5,percent
Topic,MICS4,MDG,Indicator,Value,,
,Indicator Number,Indicator Number,,,,
Serbia,Roma settlements,,,,,
WATER AND SANITATION,,,,,,
Water and sanitation,4.1,7.8,Use of improved drinking water sources,99.5,97.7,percent
4.2,,Water treatment,1.3,0.0,percent,
4.3,7.9,Use of improved sanitation facilities,97.8,85.0,percent,
4.4,,Safe disposal of child’s faeces,25.7,13.4,percent,
4.5,,Place for hand-washing,99.3,91.4,percent,
4.6,,Availability of soap,99.1,95.7,percent,
REPRODUCTIVE HEALTH,,,,,,
Contraception and unmet need,5.1,5.4,Adolescent birth rate,23.9,158.5,per thousand
5.2,,Early childbearing,3.3,31.3,percent,
5.3,5.3,Contraceptive prevalence rate,60.8,63.5,percent,
5.4,5.6,Unmet need,6.6,10.2,percent,
Maternal and newborn health,Antenatal care coverage,,,,,
5.5a,5.5,At least once by skilled personnel,99.0,94.5,percent,
5.5b,,At least four times by any provider,94.2,71.9,percent,
5.6,,Content of antenatal care,97.8,88.5,percent,
5.7,5.2,Skilled attendant at delivery,99.7,99.5,percent,
5.8,,Institutional deliveries,99.8,99.3,percent,
5.9,,Caesarean section,24.6,13.6,percent,
CHILD DEVELOPMENT,,,,,,
Child development,6.1,,Support for learning,95.2,67.2,percent
6.2,,Father’s support for learning,78.0,62.5,percent,
6.3,,Learning materials: children’s books,75.9,23.1,percent,
6.4,,Learning materials: playthings,62.8,54.4,percent,
6.5,,Inadequate care,1.0,4.7,percent,
6.6,,Early child development index,94.3,88.3,percent,
6.7,,Attendance to early childhood education,43.8,8.2,percent,
Literacy and education,7.1,2.3,Literacy rate among young,,,
,,Women age 15–24,99.3,76.5,percent,
,,Men age 15–24,99.5,77.8,percent,
7.2,,School readiness,97.2,78.0,percent,
7.3,,Net intake rate in primary education,94.9,90.9,percent,
7.4,2.1,Primary school net attendance ratio (adjusted),98.7,88.5,percent,
7.5,,Secondary school net attendance ratio (adjusted),89.3,19.3,percent,
7.6,2.2,Children reaching last grade of primary,98.9,89.9,percent,
7.7,,Primary completion rate,104.1,62.7,percent,
,,Net primary completion rate,92.0,35.0,percent,
7.8,,Transition rate to secondary school,98.1,68.1,percent,
7.9,3.1,Gender parity index (primary school),1.01,0.96,ratio,
7.10,3.1,Gender parity index (secondary school),1.02,0.72,ratio,
Topic,MICS4,MDG,Indicator,Value,,
,Indicator Number,Indicator Number,,,,
Serbia,Roma settlements,,,,,
CHILD PROTECTION,,,,,,
Birth registration,8.1,,Birth registration,98.9,98.8,percent
Child discipline,8.5,,Violent discipline,67.1,86.1,percent
Early marriage,8.6,Marriage before age 15,,,,
,,Women age 15–49,0.8,16.2,percent,
8.7,Marriage before age 18,,,,,
,,Women age 20–49,7.7,53.7,percent,
8.8,Young women and men age 15–19 currently married or in union,,,,,
,,Women age 15–19,5.2,44.3,percent,
,,Men age 15–19,1.2,19.0,percent,
Spousal age difference,,,,,,
8.10a,,Women age 15–19,7.8,2.5,percent,
8.10b,,Women age 20–24,8.9,5.0,percent,
Domestic violence,8.14,Attitudes towards domestic violence,,,,
,,Women age 15–49,2.9,20.1,percent,
HIV/AIDS AND SEXUAL BEHAVIOUR,,,,,,
HIV/AIDS,9.1,Comprehensive knowledge about HIV prevention,,,,
knowledge and attitudes,,,,,,
,,Women age 15–49,52.7,13.3,percent,
9.2,6.3,Comprehensive knowledge about HIV prevention among young people,,,,
,,Women age 15–24,54.1,12.2,percent,
,,Men age 15–24,47.6,11.1,percent,
9.3,,Knowledge of mother-to-child transmission of HIV,65.1,47.2,percent,
9.4,,Accepting attitude towards people living with HIV,,,,
,,Women age 15–49,12.6,3.6,percent,
9.5,Women and men who know where to be tested for HIV,,,,,
,,Women age 15–49,74.1,29.4,percent,
9.6,,Women and men who have been tested for HIV and know the results,,,,
,,Women age 15–49,1.4,0.3,percent,
9.7,,Sexually active young women and men who have been tested for HIV and know the results,,,,
,,Women age 15–24,2.5,0.7,percent,
,,Men age 15–24,3.3,4.1,percent,
9.8,,HIV counselling during antenatal care,18.9,5.7,percent,
9.9,,HIV testing during antenatal care,13.9,2.0,percent,
Topic,MICS4,MDG,Indicator,Value,,
,Indicator Number,Indicator Number,,,,
Serbia,Roma settlements,,,,,
Sexual behaviour,9.10,Young women and men who have never had sex,,,,
,,Women age 15–24,47.5,83.0,percent,
,,Men age 15–24,32.4,54.7,percent,
9.11,Sex before age 15 among young women and men,,,,,
,,Women age 15–24,1.7,14.4,percent,
,,Men age 15–24,4.2,13.3,percent,
9.12,Age-mixing among sexual partners,,,,,
,,Women age 15–24,4.3,5.8,percent,
,,Men age 15–24,0.3,0.6,percent,
9.13,Sex with multiple partners,,,,,
,,Women age 15–49,1.7,2.1,percent,
9.14,Condom use during sex with multiple partners,,,,,
,,Women age 15–49,57.1,26.2,percent,
9.15,Sex with non-regular partners,,,,,
,,Women age 15–24,41.2,8.9,percent,
,,Men age 15–24,60.7,32.3,percent,
9.16,6.2,Condom use with non-regular partners,,,,
,,Women age 15–24,77.1,37.0,percent,
,,Men age 15–24,80.0,51.2,percent,
MT.1,Exposure to mass media,,,,,
,,Women age 15–49,57.6,19.0,percent,
MT.2,Use of computer among young,,,,,
,,Women age 15–24,91.4,39.1,percent,
,,Men age 15–24,92.6,63.1,percent,
MT.3,Use of internet among young,,,,,
,,Women age 15–24,85.0,25.2,percent,
,,Men age 15–24,86.2,52.4,percent,
Life satisfaction,SW.1,Life satisfaction among young,,,,
,,Women age 15–24,66.8,58.7,percent,
,,Men age 15–24,68.2,53.1,percent,
SW.2,Happiness among young,,,,,
,,Women age 15–24,93.3,87.3,percent,
,,Men age 15–24,92.3,86.7,percent,
SW.3,Perception of a better life among young,,,,,
,,Women age 15–24,43.2,26.2,percent,
,,Men age 15–24,36.2,25.5,percent,
