id,name,value
1.2,Infant mortality rate,12.8
1.5,Under-five mortality rate,14.4
2.1a,Underweight prevalence  Moderate and severe  Severe,9.5
2.1b,Underweight prevalence  Moderate and severe  Severe,1.9
2.2a,Stunting prevalence  Moderate and severe  Severe,18.5
2.2b,Stunting prevalence  Moderate and severe  Severe,5.3
2.3a,Wasting prevalence  Moderate and severe  Severe,4.8
2.3b,Wasting prevalence  Moderate and severe  Severe,1.9
2.4,Overweight prevalence,5.1
2.5,Children ever breastfed,94.4
2.6,Early initiation of breastfeeding,69.1
2.7,Exclusive breastfeeding under 6 months,13.0
2.8,Predominant breastfeeding under 6 months,60.6
2.9,Continued breastfeeding at 1 year,62.0
2.10,Continued breastfeeding at 2 years,33.3
2.11,Median duration of breastfeeding,15.7
2.12,Age-appropriate breastfeeding,42.9
2.13,"Introduction of solid, semi-solid or soft foods",89.6
2.14,Milk feeding frequency for non- breastfed children,62.1
2.15,Minimum meal frequency,71.7
2.16,Minimum dietary diversity,51.3
2.17a,Minimum acceptable diet,26.8
2.17b,Minimum acceptable diet,36.5
2.18,Bottle feeding,72.0
2.20,Low-birthweight infants,14.7
2.21,Infants weighed at birth,98.6
3.1,Tuberculosis immunization coverage,94.3
3.2,Polio immunization coverage,61.0
3.3,"Diphtheria, pertussis and tetanus (DPT) immunization coverage",64.5
3.4,Measles immunization coverage,63.3
3.5,Hepatitis B immunization coverage,67.8
3.6,Haemophilus influenzae type B (Hib) immunization coverage,49.6
3.8,Full immunization coverage,12.7
-,Full immunization coverage at any time before the survey,44.1
3.15,Use of solid fuels for cooking,81.9
4.1,Use of improved drinking water sources,97.7
4.2,Water treatment,4.1
4.3,Use of improved sanitation,72.9
-,Total fertility rate,(3.1)
5.1,Adolescent birth rate,157
5.2,Early childbearing,38.3
5.3,Contraceptive prevalence rate,61.2
5.4,Unmet need,13.9
SS  3,Lifetime experience with abortion,30.6
5.5a,Antenatal care coverage,95.5
5.5b,Antenatal care coverage,74.4
5.6,Content of antenatal care,86.9
5.7,Skilled attendant at delivery,98.6
5.8,Institutional deliveries,98.5
5.9,Caesarean section,12.6
6.1,Attendance to early childhood education,5.7
6.2,Support for learning,68.0
6.3,Father’s support for learning,17.3
6.4,Mother’s support for learning,48.3
6.5,Availability of children’s books,11.9
6.6,Availability of playthings,53.2
6.7,Inadequate care,3.6
6.8,Early child development index,83.3
7.1,Literacy rate among young women,80.1
7.2,School readiness,79.9
7.3,Net intake rate in primary education,69.1
7.4,Primary school net attendance ratio (adjusted),85.8
7.5,Secondary school net attendance ratio (adjusted),51.2
SS,Lower secondary school net attendance ratio (adjusted),67.1
SS,Upper secondary school net attendance ratio (adjusted),21.6
7.6,Children reaching last grade of primary,96.5
7.7,Primary completion rate,115.7
7.8,Transition rate to secondary school,92.6
7.9,Gender parity index (primary school),1.03
7.10,Gender parity index (secondary school),0.87
SS,Gender parity index (lower secondary school),1.0
SS,Gender parity index (upper secondary school),0.53
7.S4,Primary school net attendance ratio (adjusted),84.9
7.S5,Secondary school net attendance ratio (adjusted),21.6
7.S6,Children reaching last grade of primary,77.0
7.S7,Primary completion rate,64.0
7.S8,Transition rate to secondary school,58.7
7.S9,Gender parity index (primary school),1.01
7.S10,Gender parity index (secondary school),0.53
8.1,Birth registration,95.3
8.2,Child labour,4.7
8.3,Violent discipline,65.9
8.4,Marriage before age 15,16.9
8.5,Marriage before age 18,57.0
8.6,Young women age 15-19 years currently married or in union,42.7
8.8a,Spousal age difference,6.3
8.8b,Spousal age difference,2.6
8.12,Attitudes towards domestic violence,37.0
8.13,Children’s living arrangements,3.4
8.14,Prevalence of children with one or both parents dead,2.3
8.15,Children with at least one parent living abroad,1.8
11.1,Life satisfaction,82.4
11.2,Happiness,86.7
11.3,Perception of a better life,27.4
