0,1,2,3,4,5
Topic,MICS4,MDG,Indicator,,Value
,Indicator Number,Indicator Number,,,
CHILD MORTALITY,,,,,
Child mortality,1.1,4.1,Under-five mortality rate,217,per thousand
,1.2,4.2,Infant mortality rate,128,per thousand
NUTRITION,,,,,
Nutritional status,,1.8,Underweight prevalence,,
,,,Moderate and Severe (- 2 SD) Severe (- 3 SD),,
,2.1a,,22,percent,
,2.1b,,8,percent,
,2.2a,,Stunting prevalence,44,percent percent
,2.2b,,Moderate and Severe (- 2 SD) Severe (- 3 SD),24,
,2.3a,,Wasting prevalence,8,percent percent
,2.3b,,Moderate and Severe (- 2 SD) Severe (- 3 SD),3,
Breastfeeding and infant feeding,2.4,,Children ever breastfed,95,percent
2.5,,Early initiation of breastfeeding,45,percent,
2.6,,Exclusive breastfeeding under 6 months,32,percent,
,2.7,,Continued breastfeeding at 1 year,84,percent
,2.8,,Continued breastfeeding at 2 years,48,percent
,2.9,,Duration (median) of predominant breastfeeding (children 0-36 months),5.5,months
,2.10,,Duration (median) of exclusive breastfeeding,0.7,months
,2.11,,Bottle feeding,10,percent
,2.12,,"Introduction of solid, semi-solid or soft foods",25,percent
,2.13,,Minimum meal frequency,20,percent
,2.14,,Age-appropriate breastfeeding,40,percent
,2.15,,(Adequate) milk feeding frequency for non-breastfed children,18,percent
Salt iodization,2.16,,Iodized salt consumption,63,percent
Vitamin A,2.17,,Vitamin A supplementation (children under age 5),91,percent
Low birth weight,2.18,,Low-birth weight infants,10,percent
,2.19,,Infants weighed at birth,40,percent
CHILD HEALTH,,,,,
Vaccinations,3.1,,Tuberculosis immunization coverage,96,percent
(among 12-23 month old children vaccinated at any time before the survey),,,,,
3.2,,Polio immunization coverage (OPV3),63,percent,
3.3,,"Immunization coverage for diphtheria, pertussis and tetanus (DPT1)",92,percent,
3.4,4.3,Measles immunization coverage,82,percent,
3.5,,Hepatitis B immunization coverage (HepB3),69,percent,
,3.6,,Yellow fever immunization coverage,82,percent
Tetanus toxoid,3.7,,Neonatal tetanus protection,87,percent
Care of illness,3.8,,Oral rehydration therapy with continued feeding,55,percent
,3.9,,Care seeking for suspected pneumonia,74,percent
,3.10,,Antibiotic treatment of suspected pneumonia,58,percent
Solid fuel use,3.11,,Solid fuels,99,percent
MICS4 MDG,,,,,
Topic Indicator Indicator Indicator Value,,,,,
,Number,Number,,,
Malaria,3.12,,Household availability of insecticide-treated nets (ITNs),36,percent
,3.13,,Households protected by a vector control method,37,percent
,3.14,,Children under age 5 sleeping under any mosquito net,32,percent
,3.15,6.7,Children under age 5 sleeping under insecticide-treated nets (ITNs),30,percent
,3.16,,Malaria diagnostics usage,26,percent
,3.17,,Anti-malarial treatment of children under 5 the same or next day,50,percent
,3.18,6.8,Anti-malarial treatment of children under age 5,62,percent
,3.19,,Pregnant women sleeping under insecticide-treated nets (ITNs),28,percent
,3.20,,Intermittent preventive treatment for malaria,41,percent
WATER AND,SANITATION,,,,
Water and,4.1,7.8,Use of improved drinking water sources,57,percent
sanitation,4.2,,Water treatment,2,percent
,4.3,7.9,Use of improved sanitation facilities,40,percent
,4.4,,Safe disposal of child's faeces,54,Percent
,4.5,,Place for Handwashing,20,Percent
,4.6,,Availability of Soap,42,Percent
REPRODUCTIVE HEALTH,,,,,
Contraception,5.1,5.4,Adolescent fertility rate,122,"per 1,000"
and unmet need,5.2,,Early childbearing,38,percent
,5.3,5.3,Contraceptive prevalence rate,11,percent
,5.4,5.6,Unmet need,27,Percent
Maternal and,,5.5,Antenatal care coverage,,
newborn health,5.5a,,At least once by skilled personnel,93,percent
,5.5b,,At least four times by any provider,75,percent
,5.6,,Content of antenatal care,50,percent
,5.7,5.2,Skilled attendant at delivery,62,percent
,5.8,,Institutional deliveries,50,percent
,5.9,,Caesarean section,4,percent
CHILD DEVELOPMENT,,,,,
Child,6.1,,Support for learning,54,percent
development,6.2,,Father's support for learning,42,percent
,6.3,,Learning materials: children’s books,2,percent
,6.4,,Learning materials: playthings,35,percent
,6.5,,Inadequate care,32,percent
,6.6,,Early child development index,45,percent
,6.7,,Attendance to early childhood education,14,percent
Topic,MICS4,MDG,Indicator,,Value
,Indicator Number,Indicator Number,,,
EDUCATION,,,,,
Literacy and education,7.1,2.3,Literacy rate among young women aged 15-24 years,48,percent
7.2,,School readiness,6,percent,
,7.3,,Net intake rate in primary education,45,percent
,7.4,2.1,Primary school net attendance rate (adjusted),74,percent
,7.5,,Secondary school net attendance rate (adjusted),37,percent
,7.6,2.2,Children reaching last grade of primary,92,percent
,7.7,,Primary completion rate,117,percent
,7.9,,Gender parity index (primary school),1.04,ratio
,7.10,,Gender parity index (secondary school),0.83,ratio
CHILD PROTECTION,,,,,
Birth registration,8.1,,Birth registration,78,percent
Child labour,8.2,,Child labour,50,percent
,8.3,,School attendance among child labourers,76,percent
,8.4,,Child labour among students,52,percent
Child discipline,8.5,,Violent discipline,82,percent
Early marriage and polygyny,8.6,,Marriage before age 15,16,percent
8.7,,Marriage before age 18,50,percent,
,8.8,,Young women age 15-19 currently married or in union,23,percent
,8.9,,Polygyny,34,percent
,8.10a,,Spousal age difference,35,percent percent
,8.10b,,Women age 15-19,36,
,,,Women age 20-24,,
Female genital mutilation/ Cutting,8.11,,Approval for female genital mutilation/cutting (FGM/C),72,percent
8.12,,Prevalence of female genital mutilation/cutting (FGM/C) among women,88,percent,
,8.13,,Prevalence of female genital mutilation/cutting (FGM/C) among daughters,10,percent
Domestic violence,8.14,,Attitudes towards domestic violence,73,percent
Topic,MICS4,MDG,Indicator,,Value
,Indicator Number,Indicator Number,,,
"HIV/AIDS, SEXUAL BEHAVIOUR, AND ORPHANHOOD",,,,,
HIV/AIDS,9.1,,Comprehensive knowledge about HIV prevention,20,percent
knowledge and attitudes,,,,,
9.2,6.3,Comprehensive knowledge about HIV prevention among young people,23,percent,
,9.3,,Knowledge of mother-to-child transmission of HIV,46,percent
,9.4,,Accepting attitude towards people with HIV,6,percent
,9.5,,Women who know where to be tested for HIV,46,percent
,9.6,,Women who have been tested for HIV and know the results,8,percent
,9.7,,Sexually active young women who have been tested for HIV and know the results,9,percent
,9.8,,HIV counselling during antenatal care,41,percent
,9.9,,HIV testing during antenatal care,26,percent
Sexual behaviour,9.10,,Never-married women (aged 15-24 years) who have had sex,65,percent
,9.11,,Sex before age 15 among young women,24,percent
,9.12,,Age-mixing among sexual partners,26,percent
,9.13,,Sex with multiple partners,8,percent
,9.14,,Condom use during sex with multiple partners,10,percent
,9.15,,Sex with non-regular partners,37,percent
,9.16,6.2,Condom use with non-regular partners,12,percent
Orphaned children,9.17,,Children not living with biological parent,22,percent
9.18,,Prevalence of children with at least one parent dead,13,percent,
,9.19,6.4,School attendance of orphans,74,percent
,9.20,6.4,School attendance of non-orphans,84,percent
