0,1,2,3,4
Topic                           MICS4       MDG           Indicator                                                    Value and Units Indicator Indicator,,,,
Number Number,,,,
NUTRITION,,,,
Breastfeeding and infant feeding,Children ever breastfed,88.8 per cent,,
,Early initiation of breastfeeding,56.0 per cent,,
,Exclusive breastfeeding under 6 months,4.8 per cent,,
,Continued breastfeeding at 1 year,42.5 per cent,,
,Continued breastfeeding at 2 years,24.0 per cent,,
,Predominant breastfeeding under 6 months,26.9 per cent,,
,Duration of breastfeeding,14.5 months,,
,Bottle feeding,48.3 per cent,,
,"Introduction of solid, semi-solid or soft foods",35.4 per cent,,
,Minimum meal frequency,57.0 per cent,,
,Age-appropriate breastfeeding,18.2 per cent,,
,Milk feeding frequency for non-breastfed children,26.8 per cent,,
Vitamin A,2.17                             Vitamin A supplementation (children under age 5),26.8 per cent,,
Infants weighed at birth,2.19 Infants weighed at birth,3.5 per cent,,
CHILD HEALTH,,,,
Vaccinations,Tuberculosis immunization coverage,16.6 per cent,,
,Polio immunization coverage,8.3 per cent,,
,"Immunization coverage for diphtheria, pertussis and tetanus (DPT)",7.2 per cent,,
,4.3 Measles immunization coverage,,,
,,16.6 per cent,,
Tetanus toxoid,3.7 Neonatal tetanus protection,27.3 percent,,
Care of illness,Oral rehydration therapy with continued feeding,23.9 per cent,,
,Care seeking for suspected pneumonia,35.1 per cent,,
,Antibiotic treatment of suspected pneumonia,48.5 per cent,,
Solid fuel use,3.11 Solid fuels,97.6 per cent,,
Topic,MICS4 MDG  Indicator Indicator Indicator,Value and Units,,
,Number Number,,,
Malaria,Household availability of insecticide-treated nets (ITNs),30.1 per cent,,
,Households protected by a vector control method,,,
,Children under age 5 sleeping under any mosquito net,30.6 per cent,,
,6.7 Children under age 5 sleeping under insecticide-,,,
,Malaria diagnostics usage,26.1 per cent,,
,Antimalarial treatment of children under 5 the same or next day,,,
,6.8 Antimalarial treatment of children under age 5,25.3 per cent,,
,Pregnant women sleeping under insecticide- treated nets (ITNs),,,
,Intermittent preventive treatment for malaria,19.5 per cent,,
,treated nets (ITNs),8.7 per cent,,
,,,,
,,19.8 per cent,,
,,21.4 per cent,,
,,,,
,,1.6 per cent,,
WATER AND SANITATION,,,,
Water and,4.1,7.8,Use of improved drinking water sources,51.9 per cent
sanitation,,,,
,4.2 Water treatment,6.0 per cent,,
,4.3,7.9,Use of improved sanitation,64.8 per cent
,4.4 Safe disposal of child's faeces,72.6 per cent,,
,4.5 Place for handwashing,78.5 per cent,,
,4.6 Availability of soap,58.8 per cent,,
REPRODUCTIVE HEALTH,,,,
Contraception and unmet need,5.3,5.3,Contraceptive prevalence rate,2.6 per cent
,5.4,5.6,Unmet need,11.4 per cent
Maternal and new-,Antenatal care coverage,,,
born health,,,,
,5.5a,At least once by skilled personnel,24.2 per cent,
,5.5b,5.5,At least four times by any provider,3.3 per cent
,5.6 Content of antenatal care,15.7 per cent,,
,5.7,5.2,Skilled attendant at delivery,38.4 per cent
,5.8 Institutional deliveries,12.7 per cent,,
,5.9 Caesarean section,2.1 per cent,,
CHILD DEVELOPMENT,,,,
Child development,6.1 Support for learning,57.5 per cent,,
,6.2 Father’s support for learning,34.6 per cent,,
,6.3 Learning materials: children’s books,0.6 per cent,,
,6.4 Learning materials: playthings,8.4 per cent,,
,6.5 Inadequate care,29.4 per cent,,
,6.6 Early child development index,34.9 per cent,,
,6.7 Attendance to early childhood education,1.7 per cent,,
Topic,MICS4 MDG  Indicator Indicator Indicator,Value and Units,,
,Number Number,,,
EDUCATION,,,,
Literacy and,7.1,2.3,Literacy rate among young women age 15-24,36.1 per cent
education,years,,,
,7.2 School readiness,22.7 per ernt,,
,7.3 Net intake rate in primary education,16.5 per cent,,
,7.4,2.1,Primary school net attendance ratio (adjusted),43.4 per cent
,7.5 Secondary school net attendance ratio(adjusted),14.9 per cent,,
,7.6,2.2,Children reaching last grade of primary,74.5 per cent
,7.7 Primary completion rate,50.3 per cent,,
,7.8 Transition rate to secondary school,47.6 per cent,,
,7.9 Gender parity index (primary school),0.87 ratio,,
,7.10 Gender parity index (secondary school),0.61 ratio,,
CHILD PROTECTION,,,,
Child labour,Child labour,26.2 per cent,,
,School attendance among child labourers,41.2 per cent,,
,Child labour among students,28.7 per cent,,
Child discipline,8.5 Violent discipline,75.2 per cent,,
Early marriage and,Marriage before age 15 women age 15-49 years,12.1 per cent,,
,Marriage before age 18 women age 20-49 years,,,
,Young women age 15-19 currently married or in union,,,
,Polygyny women age 15-49 years,,,
,Spousal age difference,,,
,8.10a Women age 15-19,,,
,8.10b Women age 20-24,,,
polygyny,38.1 per cent,,,
,11.8 per cent,,,
,,,,
,19.8 per cent,,,
,,,,
,35.0 per cent,,,
,29.8 per cent,,,
Orphaned children,Children’s living arrangements,12.1 per cent,,
,Prevalence of children with one or both parents dead,12.7 per cent,,
,6.4 School attendance of orphans,,,
,6.4 School attendance of non-orphans,31.2 per cent,,
,,56.9 per cent,,
Female genital mutilation/cutting,Approval for female genital mutilation/cutting (FGM/C),57.8 per cent,,
,Prevalence of female genital mutilation/cutting (FGM/C) among women,,,
,,98.0 per cent,,
Domestic violence,8.14 Attitudes towards domestic violence,30.6 per cent,,
Topic,MICS4 MDG  Indicator Indicator Indicator,Value and Units,,
,Number Number,,,
HIV/AIDS,,,,
HIV/AIDS,Comprehensive knowledge about HIV prevention women age 15-49 years,8.9 per cent,,
,6.3 Comprehensive knowledge about HIV prevention,,,
,Knowledge of mother-to-child transmission of HIV women age 15-49 years,,,
,Accepting attitude towards people living with HIV women age 15-49 years,,,
,Women who know where to be tested for HIV,,,
,Women who have been tested for HIV and know the results,,,
,among young people women age 15-24 years,,,
,HIV counselling during antenatal care,,,
,HIV testing during antenatal care,,,
knowledge and,,,,
attitudes,9.7 per cent,,,
,,,,
,44.7 per cent,,,
,,,,
,8.6 per cent,,,
,,,,
,26.9 per cent,,,
,2.0 per cent,,,
,,,,
,3.3 per cent,,,
,2.1 per cent,,,
ACCESS TO MASS MEDIA AND USE OF INFORMATION/COMMUNICATION TECHNOLOGY,,,,
Access to mass Media,MT.1,Exposure to mass media women age 15-49 years,4.7 per cent,
Use of information/ communication technology,MT.2 MT.3,Use of computers women age 15-24 years Use of internet,7.7 per cent,
,,,9.9 per cent,
