0,1,2,3,4
Topic,MICS4          MDG                Indicator Indicator Indicator,Value,,
,Number Number,,,
CHILD MORTALITY,,,,
Child mortality,1.1 4.1,Under-five mortality rate,91,"per 1,000"
,1.2 4.2,Infant mortality rate,72,"per 1,000"
,1.3 Neonatal mortality rate,42,"per 1,000",
,1.4 Post-neonatal mortality rate,30,"per 1,000",
,1.5 Child mortality rate,20,"per 1,000",
Breastfeeding,Children ever breastfed,91.3,per cent,
,Early initiation of breastfeeding,,,
,Exclusive breastfeeding under 6 months,,,
,Continued breastfeeding at 1 year,,,
,Continued breastfeeding at 2 years,,,
,Predominant breastfeeding under 6 months,,,
,Duration of breastfeeding,,,
,Bottle feeding,,,
,"Introduction of solid, semi-solid or soft foods",,,
,Minimum meal frequency,,,
,Age-appropriate breastfeeding,,,
,Milk feeding frequency for non-breastfed children,,,
and infant feeding,60.9,per cent per cent,,
,12.8,,,
,46.3,per cent,,
,19.2,per cent,,
,32.7,per cent,,
,14.7,months,,
,50.8,percent,,
,32.5,percent,,
,53.5,percent,,
,20.6,percent,,
,89.3,percent,,
Vitamin A,2.17                  Vitamin A supplementation (children under age 5),39.9,percent,
CHILD HEALTH,,,,
Vaccinations,BCG immunization coverage,26.8,percent,
,Polio immunization coverage,,,
,"Immunization coverage for diphtheria, pertussis and tetanus (DPT)",,,
,4.3 Measles immunization coverage,,,
,16.5,percent,,
,10.8,percent,,
,25.8,percent,,
Tetanus toxoid,3.7 Neonatal tetanus protection,33.9,percent,
Care of illness,Oral rehydration therapy with continued feeding,20.1,percent,
,Care seeking for suspected pneumonia,,,
,Antibiotic treatment of suspected pneumonia,,,
,31.0,percent,,
,52.8,percent,,
Solid fuel use,3.11,Solid fuels,98.3,percent
Topic,MICS4          MDG                Indicator Indicator Indicator,,Value,
,Number Number,,,
Malaria,Household availability of insecticide- treated nets (ITNs),35.1,percent,
,Households protected by a vector control method,,,
,Children under age 5 sleeping under any mosquito net,,,
,6.7 Children under age 5 sleeping under,,,
,Malaria diagnostics usage,,,
,Antimalarial treatment of children under 5 the same or next day,,,
,6.8 Antimalarial treatment of children under,,,
,Pregnant women sleeping under insecticide-treated nets (ITNs),,,
,Intermittent preventive treatment for malaria,,,
,insecticide-treated nets (ITNs),,,
,age 5,,,
,36.6,percent,,
,24.0,percent,,
,21.9,percent,,
,16.0,Percent,,
,3.4,percent,,
,9.8,percent,,
,20.1,percent,,
,1.4,percent,,
WATER AND SANITATION,,,,
Water and,4.1 7.8,Use of improved drinking water sources,41.9,percent
sanitation,4.2 Water treatment,12.6,percent,
,4.3 7.9,Use of improved sanitation,51.1,percent
,4.4 Safe disposal of child’s faeces,50.5,percent,
,4.5 Place for handwashing,76.8,percent,
,4.6 Availability of soap,69.7,percent,
REPRODUCTIVE HEALTH,,,,
Contraception,5.1 5.4,Adolescent birth rate,64,"per 1,000"
and unmet,5.2 Early childbearing,13.6,per cent,
need,5.3 5.3,Contraceptive prevalence rate,9.8,per cent
,5.4 5.6,Unmet need,20.2,per cent
Maternal and,5.5 Antenatal care coverage,,,
,5.5a At least once by skilled personnel,,,
,b At least four times by any provider,,,
,Content of antenatal care,,,
,5.2 Skilled attendant at delivery,,,
,Institutional deliveries,,,
,Caesarean section,,,
newborn health,31.7,per cent,,
,14.8,per cent,,
,23.2,per cent,,
,44.1,per cent,,
,30.6,per cent,,
,4.0,per cent,,
CHILD DEVELOPMENT,,,,
Child,6.1 Support for learning,65.2,per cent,
development,6.2 Father’s support for learning,30.9,per cent,
,6.3 Learning materials: children’s books,1.3,per cent,
,6.4 Learning materials: playthings,6.8,per cent,
,6.5 Inadequate care,27.3,per cent,
,6.6 Early child development index,58.5,per cent,
,6.7 Attendance to early childhood education,2.8,per cent,
Topic,MICS4          MDG                Indicator Indicator Indicator,Value,,
,Number Number,,,
EDUCATION,,,,
Literacy and,Literacy rate among young people,,,
,2.3 women age 15-24 years,,,
,School readiness,,,
,Net intake rate in primary education,,,
,2.1 Primary school net attendance ratio,,,
,Secondary school net attendance ratio (adjusted),,,
,2.2 Children reaching last grade of primary,,,
,Primary completion rate,,,
,Transition rate to secondary school,,,
,Gender parity index (primary school),,,
,Gender parity index (secondary school),,,
,(adjusted),,,
education,44.1,per cent,,
,6.5,per cent,,
,20.6,per cent,,
,51.4,per cent,,
,20.5,per cent,,
,88.7,per cent,,
,68.5,per cent,,
,76.3,per cent,,
,0.85,ratio,,
,0.67,ratio,,
CHILD PROTECTION,,,,
Child labour,Child labour,26.0,per cent,
,School attendance among child labourers,,,
,Child labour among students,,,
,41.9,per cent,,
,24.8,per cent,,
Child discipline,8.5 Violent discipline,78.2,per cent,
Early marriage,Marriage before age 15 women age 15-49 years,,,
,Marriage before age 18 women age 20-49 years,,,
,Young women age 15-19 years currently married,,,
,Polygyny,,,
,a women age 15-19 years,,,
,women age 15-49 years Spousal age difference,,,
,8.10b women age 20-24 years,,,
and polygyny,8.7,per cent,,
,,,,
,30.8,per cent,,
,8.9,per cent,,
,,,,
,16.8,per cent,,
,,,,
,32.7,per cent,,
,29.3,per cent,,
