0,1,2,3,4
Tepic,M ICS,M DG,lndicator,Value
,lndicator Number,lndicator Number,,
Malaria,3.12,,Household availability of insecticide-treated nets (ITNs),34.2 percent
,3.16,,Malaria diagnostics usage,28.0 Percent
,3.17,,Antimalarial treatment of children under 5 the same or next day,27.1 percent
,3.18,6.8,Antimalarial treatment of children under age 5,51.2 percent
,3.20,,Intermittent preventive treatment for malaria,19.0   percent
WATER AND SANITATION,,,,
Water and,4.1,7.8,Use of improved drinking water sources,68.7 percent
sanitation,4.2,,Water treatment,9.0 percent
,4.3,7.9,Use of improved sanitation,7.4 percent
,4.4,,Safe disposai of child's faeces,15.7   percent
REPRODUCTIVE HEALTH,,,,
Contraception,5.1,5.4,Adolescent birth rate,"18.4   per 1,000"
and unmet need,5.2,,Early childbearing,27.9 percent
,5.3,5.3,Contraceptive prevalence rate,4.0 Percent
,5.4,5.6,Unmet need,26.3 Percent
Maternai and,,,Antenatal care coverage,
,,,At least once by skilled personnel At least four times by any provider,
,,,Content of antenatal care Skilled attendant at delivery lnstitutional deliveries Caesarean section,
newborn health,5.5a,5.5,40 .3 percent,
,5.5b,,17.3   percent,
,5.6,,12.8 percent,
,5.7,5.2,19.4   percent,
,5.8,,11.5 percent,
,5.9,,0.6 percent,
EDUCATION,,,,
Literacy and,,,Literacy rate among young people,
,,,women age 15-24 years,
,,,School readiness,
,,,Net intake rate in primary education,
,,,Primary school net attendance rate (adjusted) Secondary school net attendance rate (adjusted) Children reaching last grade of primary,
,,,Primary completion rate,
,,,Transition rate to secondary school Gender parity index (primary school) Gender parity index (secondary school),
education,7.1,2.3,13.4 percent,
,7.2,,16.7 percent,
,7.3,,11.2 percent,
,7.4,2.1,26.2 percent,
,7.5,,4.4 percent,
,7.6,2.2,64.5 percent,
,7.7,,10.8 percent,
,7.8,,56.0 percent,
,7.9,,0.81 ratio,
,7.10,,0.43 ratio,
CHILD PROTECTION,,,,
Birth registration,8.1,,Birth registration,35.4 percent
Early marriage,,,Marriage before age 15,6.9 percent
,,,women age 15-49 years,
,,,Marriage before age 18,
,,,women age 20-49 years,
,,,Young women age 15-19 years currently married or in union,
,,,Polygyny,
,,,women age 15-49 years,
and polygyny,8.6,,,
,,44.8 percent,,
,8.7,,,
,8.8,40.1 percent,,
,8.9,41.0 percent,,
Domestic violence,8.14,,Attitudes towards domestic violence women age 15-49 years,78.5 percent
"HIV/AIDS, SEXUAL BEHAV/OUR, AND ORPHANED AND VULNERABLE CH/LOREN",,,,
Topic,M ICS,M DG,lndicator,Value
,lndicator Number,lndicator Number,,
HIV/AID5,,,Comprehensive knowledge about HIV prevention women age 15-49 years,
,,,Comprehensive knowledge about HIV prevention among young people,
,,,women age 15-24 years,
,,,Knowledge of mother-to-child transmission of HIV women age 15-49 years,
,,,Accepting attitudes towards people living with HIV women age 15-49 years,
,,,Women who know where to be tested for HIV,
,,,Women who have been tested for HIV and know the results,
,,,5exually active young women who have been tested for HIV and know the results,
,,,HIV counselling during antenatal care HIV testing during antenatal care,
knowledge and,9.1,,8.6 percent,
attitudes,,,,
,9.2,6.3,9.8 percent,
,9.3,,14.6   percent,
,9.4,,9.7 percent,
,9.5,,19.3   percent,
,9.6,,3.9 percent,
,,,6.0 percent,
,9.7,,,
,9.8,,14.6   percent,
,9.9,,9.7 percent,
5exual behaviour,,,Young women who have never had sex,74.8 percent
,,,5ex before age 15 among young people women age 15-24 years,
,,,5ex with multiple partners,
,,,women age 15-49 years,
,,,Condom use during sex with multiple partners women age 15-49 years,
,,,Sex with non-regular partners,
,,,women age 15-24 years,
,,,Condom use with non-regular partners women age 15-24 years,
,9.10,,,
,9.11,,10.5 percent,
,9.13,,3 .6 percent,
,9.14,,4.8 percent,
,9.15,,13.3 percent,
,9.16,6.2,2.8 percent,
Orphaned,9.17,,Children's living arrangements,13.2 percent
children,9.18,,Prevalence of children with one or both parents dead,17.2 percent
,9.19,6.4,School attendance of orphans,26.5 percent
,9.20,6.4,5chool attendance of non-orphans,34.0 percent
