0,1,2,3,4
Topic,"PFS
Indicator Number","MDG
Indicator Number",Indicator,Value
CHILD MORTALITY,,,,
Child mortality,1.1 4.1 Under-five mortality rate,23.4,"per 1,000",
,1.2 4.2 Infant mortality rate,18.9,"per 1,000",
,1.3 Neonatal mortality rate,11.6,"per 1,000",
,1.4 Post-neonatal mortality rate,7.3,"per 1,000",
,1.5 Child mortality rate,4.6,"per 1,000",
NUTRITION,,,,
Nutritional,"1.8 Underweight prevalence
2.1a Moderate and Severe (- 2 SD)
b Severe (- 3 SD)a Moderate and Severe (- 2 SD)
Stunting prevalence
b Severe (- 3 SD)a Moderate and Severe (- 2 SD)
Wasting prevalence
2.3b Severe (- 3 SD)",,,
status,3.7,percent,,
,1.0,percent,,
,10.9,percent,,
,3.3,percent,,
,3.3,percent,,
,1.0,percent,,
Breastfeeding,2.4 Children ever breastfed,95.8,percent,
"and
infant feeding",Early initiation of breastfeedingExclusive breastfeeding under 6 months,"62.8
28.8",percent percent,
,2.7 Continued breastfeeding at 1 year,54.4,percent,
,2.8 Continued breastfeeding at 2 years,13.2,percent,
,2.9 Predominant breastfeeding under 6 months,48.7,percent,
,2.10 Duration of breastfeeding,13.9,Months,
,2.11 Bottle feeding,38.1,percent,
,"2.12 Introduction of solid, semi-solid or soft foods",60.8,percent,
,2.13 Minimum meal frequency,58.4,percent,
,2.14 Age-appropriate breastfeeding,34.4,percent,
,2.15 Milk feeding frequency for non-breastfed children,71.6,percent,
Salt iodization,2.16 Iodized salt consumption,76.6,percent,
Vitamin A,2.17 Vitamin A supplementation (children under age 5),88.8,percent,
Low birth weight,2.18 Low-birthweight infants,9.1,percent,
,2.19 Infants weighed at birth,98.9,percent,
Topic,"PFS
Indicator Number","MDG
Indicator Number",Indicator,Value
CHILD HEALTH,,,,
Vaccinations,"Tuberculosis immunization coveragePolio immunization coverageImmunization coverage for diphtheria, pertussis and (DPT)4.3 Measles immunization coverageHepatitis B immunization coverage",tetanus,"98.2
90.9
91.9
93.2
92.8","percent percent percent
percent percent"
Tetanus toxoid,3.7 At least 2 doses of tetanus toxoid injections,,2.3,percent
Care of illness,3.8 Oral rehydration therapy with continued feeding,,43.3,percent
,3.9 Care seeking for suspected pneumonia,,64.8,percent
,3.10 Antibiotic treatment of suspected pneumonia,,71.4,percent
,3.11 Solid fuels for cooking,,0.9,percent
WATER AND SANITATION,,,,
Water and Sanitation,7.8 Use of improved drinking water sourcesWater treatment7.9 Use of improved sanitation,,"61.9
4.1
98.7",percent percent percent
REPRODUCTIVE HEALTH,,,,
Contraception,"5.4 Adolescent birth rateEarly child bearing5.3 Contraceptive prevalence rate5.6 Unmet needa 5.5 Antenatal care coverage
b                               At least once by skilled personnel At least four times by any providerContent of antenatal care5.2 Skilled attendant at deliveryInstitutional deliveriesCaesarean section",,"67.0
17.1
52.5
15.6
98.0
94.0
74.1
99.0
98.0
16.7","per 1,000 percent percent percent
percent percent
percent percent percent percent"
and unmet need,,,,
Maternal and,,,,
newborn health,,,,
CHILD DEVELOPMENT,,,,
Child,6.1 Support for learning,,57.7,percent
Development,6.2 Father’s support for learning,,76.9,percent
,6.3 Learning materials: children’s books,,11.7,percent
,6.4 Learning materials: play things,,63.6,percent
,6.5 Inadequate care,,13.4,Percent
,6.6 Early child development index,,62.1,percent
,6.7 Attendance to early childhood education,,15.3,percent
EDUCATION,,,,
Literacy and,7.2 School readiness,,92.5,percent
education,7.3 Net intake rate in primary education,,55.7,percent
,7.4 2.1 Primary school net attendance ratio (adjusted),,93.0,percent
,7.5 Secondary school net attendance ratio (adjusted),,93.0,percent
,7.6 2.2 Children reaching last grade of primary,,99.8,percent
,7.8 Transition rate to secondary school,,99.7,percent
,7.9 Gender parity index (primary school),,0.99,ratio
,7.10 Gender parity index (secondary school),,1.05,ratio
Topic,"PFS
Indicator Number","MDG
Indicator Number",Indicator,Value
CHILD PROTECTION,,,,
Birth registration,8.1 Birth registration,99.3,percent,
Child labour,8.2 Child labour,5.7,percent,
,8.3 School attendance among child labourers,93.8,percent,
,8.4 Child labour among students,5.7,percent,
Child discipline,8.5 Violent discipline,92.8,percent,
Early marriage,8.6 Marriage before age 15,4.6,percent,
,8.7 Marriage before age 18,35.5,percent,
HIV/AIDS,,,,
"HIV/AIDS
knowledge and attitudes",Comprehensive knowledge about HIV prevention6.3   Comprehensive knowledge about HIV prevention among  young peopleKnowledge of mother-to-child transmission of HIVAccepting attitude towards people living with HIV,"7.9
7.2
89.0
4.4","percent
percent percent
percent",
ORPHANED AND VULNERABLE CHILDREN,,,,
Orphaned children,9.18 Prevalence of children with at least one parent dead,2.7,percent,
