0,1,2,3,4,5,6
CHILD MORTALITY,,,,,,
Early childhood mortality,,,,,,
"MICS
Indicator",Indicator,Description,"Value A
Palestine",West Bank,Gaza Strip,
1.1,Neonatal mortality rate,Probability of dying within the first month of life,11,11,12,
1.2 MDG 4.2,Infant mortality rate,Probability of dying between birth and the first birthday,18,17,20,
1.3,Post-neonatal mortality rate,Difference between infant and neonatal mortality rates,7,6,8,
1.4,Child mortality rate,Probability of dying between the first and the fifth birthdays,4,3,4,
1.5 MDG 4.1,Under-five mortality rate,Probability of dying between birth and the fifth birthday,22,20,24,
"A Indicator values are per 1,000 live births and refer to the five-year period before the survey",,,,,,
NUTRITION,,,,,,
Nutritional status,,,,,,
"MICS
Indicator",Indicator,Description,Palestine,West Bank,Gaza Strip,
"MDG 1.8
2.1a
2.1b","Underweight Prevalence
(a) Moderate and severe
(b)Severe","Percentage of children under age 5 who fall below
of the median weight for age of the WHO standard","1.4
0.2","1.5
0.3","1.3
0.2",
"2.2a
2.2b",Stunting prevalence,"Percentage of children under age 5 who fall below
of the median height for age of the WHO standard","7.4
1.8","7.7
2.4","7.1
1.1",
"2.3a
2.3b",Wasting prevalence,Percentage of children under age 5 who fall below,"1.2
0.3","1.7
0.6","0.7
0.1",
2.4,"Overweight
prevalence",Percentage of children under age 5 who are above two standard deviations of the median weight for height of the WHO standard,8.2,9.8,6.5,
Breastfeeding and infant feeding,,,,,,
"MICS
Indicator",Indicator,Description,Palestine,West Bank,Gaza Strip,
2.5,Children ever breastfed,Percentage of women with a live birth in the last 2 years who breastfed their last live-born child at any time,96.6,95.8,97.6,
2.6,Early initiation of breastfeeding,Percentage of women with a live birth in the last 2 years who put their last newborn to the breast within one hour of birth,40.8,40.7,41.0,
2.7,Exclusive breastfeeding under 6 months,Percentage of infants under 6 months of age who are exclusively breastfed,38.6,40.6,36.4,
2.8,Predominant breastfeeding under 6 months,Percentage of infants under 6 months of age who received breast milk as the predominant source of nourishment during the previous day,50.0,52.9,46.7,
2.9,Continued breastfeeding at 1 year,Percentage of children age 12-15 months who received breast milk during the previous day,52.9,48.4,58.7,
2.10,Continued breastfeeding at 2 years,Percentage of children age 20-23 months who received breast milk during the previous day,11.5,13.8,8.4,
2.11,Median duration of breastfeeding,The age in months when 50 percent of children age 0-35 months did not receive breast milk during the previous day,13.9,13.3,14.2,
2.12,Age-appropriate breastfeeding,Percentage of children age 0-23 months appropriately fed during the previous day,43.4,42.0,45.1,
2.13,"Introduction of solid, semi-solid or soft foods","Percentage of infants age 6-8 months who received solid, semi-solid or soft foods during the previous day",89.6,87.7,91.6,
2.14,Milk feeding frequency for non-breastfed children,Percentage of non-breastfed children age 6-23 months who received at least 2 milk feedings during the previous day,69.6,79.1,57.6,
2.15,Minimum meal frequency,"Percentage of children age 6-23 months who received solid, semi-solid and soft foods (plus milk feeds for non-breastfed children) the minimum number of times or more during the previous day",75.4,75.4,75.4,
2.16,Minimum dietary diversity,Percentage of children age 6–23 months who received foods from 4 or more food groups during the previous day,62.6,68.9,55.1,
"2.17a
2.17b
2.18","Minimum acceptable diet
Bottle feeding",Percentage of children age 0-23 months who were fed with a bottle during the previous day,"40.2
43.8
42.4","44.5
51.6
47.5","35.7
33.9
36.3",
Salt iodization,,,,,,
2.19,Iodized salt consumption,Percentage of households with salt testing 15 parts per million or more of potassium iodide or potassium iodate,73.2,69.3,79.7,
Low-birthweight,,,,,,
2.20,Low-birthweight infants,"Percentage of most recent live births in the last 2 years weighing below 2,500 grams at birth",8.3,8.4,8.3,
2.21,Infants weighed at birth,Percentage of most recent live births in the last 2 years who were weighed at birth,99.7,99.6,99.8,
"CHILD HEALTH
Vaccinations",,,,,,
"MICS
Indicator",Indicator,Description,Palestine,West Bank,Gaza Strip,
3.1,Tuberculosis immunization coverage,Percentage of children age 12-23 months who received BCG vaccine by their first birthday,98.8,98.2,99.3,
3.2,Polio immunization coverage,Percentage of children age 12-23 months who received the third dose of OPV vaccine (OPV3) by their first birthday,97.9,97.6,98.2,
3.3,"Diphtheria, pertussis",Percentage of children age 12-23 months who,96.9,96.6,97.2,
3.5,"and tetanus (DPT),",received the third dose of Penta vaccine,,,,
3.6,hepatitis B (HepB) and,"(diphtheria, pertussis, tetanus, hepatitis B and",,,,
haemophilus influenza,haemophilus influenza B) by their first birthday,,,,,
type B (Hib),,,,,,
immunization coverage,,,,,,
(Pentavalent),,,,,,
3.4 MDG 4.3,Measles immunization coverage,Percentage of children age 24-35 months who received measles vaccine by their second birthday,97.0,96.9,97.1,
3.8,Full immunization coverage,Percentage of children age 24-35 months who received all vaccinations recommended in the national immunization schedule by their first birthday (measles by second birthday),89.9,89.8,90.0,
Diarrhoea,,,,,,
- Children with diarrhoea,Percentage of children under age 5 with diarrhoea in the last 2 weeks,11.3,11.4,11.1,,
3.10,Care-seeking for diarrhoea,Percentage of children under age 5 with diarrhoea in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,52.9,52.4,53.4,
3.S1,Diarrhoea treatment with oral rehydration salts (ORS),Percentage of children under age 5 with diarrhoea in the last 2 weeks who received ORS,31.5,35.8,26.5,
3.12,Diarrhoea treatment with oral rehydration therapy (ORT) and continued feeding,"Percentage of children under age 5 with diarrhoea in the last 2 weeks who received ORT (ORS packet, pre-packaged ORS fluid, or increased fluids) and continued feeding during the episode of diarrhoea",38.2,41.4,34.4,
Acute Respiratory Infection (ARI) symptoms,,,,,,
-       Children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks,10.7,11.0,10.4,,
3.13,Care-seeking for children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,76.5,78.6,74.0,
3.14,Antibiotic treatment for children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks who received antibiotics,70.3,72.7,67.4,
Solid fuel use,,,,,,
3.15,Use of solid fuels for cooking,Percentage of household members in households that use solid fuels as the primary source of domestic energy to cook,1.8,0.5,3.7,
WATER AND SANITATION,,,,,,
MICS Indicator,Indicator,Description,Palestine,West Bank,Gaza Strip,
