0,1,2,3,4
Early childhood mortality,,,,
MICS,Indicator,Description,ValueA,
Indicator,,,,
1.1,,Neonatal mortality rate,Probability of dying within the first month of life,20
1.2,MDG 4.2,Infant mortality rate,Probability of dying between birth and the first birthday,50
1.3,,Post-neonatal mortality rate,Difference between infant and neonatal mortality rates,30
1.4,,Child mortality rate,Probability of dying between the first and the fifth birthdays,18
1.5,MDG 4.1,Under-five mortality rate,Probability of dying between birth and the fifth birthday,67
"A Indicator values are per 1,000 live births and refer to the five-year period before the survey",,,,
Nutritional statusi,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
2.1a,MDG 1.8,Underweight prevalence,Percentage of children under age 5 who fall below,
2.1b,,Moderate and severe,minus two standard deviations (moderate and severe),
,,Severe,minus three standard deviations (severe),
,,,of the median weight for age of the WHO standard,
,5.8,,,
,1.6,,,
2.2a,,Stunting prevalence,Percentage of children under age 5 who fall below,25.5
2.2b,,Moderate and severe,minus two standard deviations (moderate and severe),7.2
,,Severe,minus three standard deviations (severe),
,,,of the median height for age of the WHO standard,
2.3a,,Wasting prevalence,Percentage of children under age 5 who fall below,2.0
2.3b,,Moderate and severe,minus two standard deviations (moderate and severe),0.4
,,Severe,) minus three standard deviations (severe),
,,,of the median weight for height of the WHO standard,
2.4,,Overweight prevalence,Percentage of children under age 5 who are above two standard deviations of the median weight for height of the WHO standard,9.0
Breastfeeding and infant feeding,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
2.5,Children ever breastfed,Percentage of women with a live birth in the last 2 years who breastfed their last live-born child at any time,92.1,
2.6,Early initiation of breastfeeding,Percentage of women with a live birth in the last 2 years who put their last newborn to the breast within one hour of birth,48.3,
2.7,Exclusive breastfeeding under 6 months,Percentage of infants under 6 months of age who are exclusively breastfedii,63.8,
2.8,Predominant breastfeeding under 6 months,Percentage of infants under 6 months of age who received breast milk as the predominant source of nourishmentiii during the previous day,70.2,
2.9,Continued breastfeeding at 1 year,Percentage of children age 12-15 months who received breast milk during the previous day,47.8,
2.10,Continued breastfeeding at 2 years,Percentage of children age 20-23 months who received breast milk during the previous day,7.6,
2.11,Median duration of breastfeeding,The age in months when 50 percent of children age 0-35 months did not receive breast milk during the previous day,13.0,
2.12,Age-appropriate breastfeeding,Percentage of children age 0-23 months appropriately fedivduring the previous day,45.3,
2.13,"Introduction of solid, semi- solid or soft foods","Percentage of infants age 6-8 months who received solid, semi-solid or soft foods during the previous day",89.5,
2.14,Milk feeding frequency for non-breastfed children,Percentage of non-breastfed children age 6-23 months who received at least 2 milk feedings during the previous day,52.8,
2.15,Minimum meal frequency,"Percentage of children age 6-23 months who received solid, semi-solid and soft foods (plus milk feeds for non-breastfed children) the minimum number of timesv or more during the",81.2,
,,previous day,,
2.16,Minimum dietary diversity,Percentage of children age 6–23 months who received foods from 4 or more food groupsvi during the previous day,62.4,
2.17a,Minimum acceptable diet,Percentage of breastfed children age 6–23 months who had at least the minimum dietary diversity and the minimum meal frequency during the previous day,48.6,
2.17b,,) Percentage of non-breastfed children age 6–23 months who received at least 2 milk feedings and had at least the minimum dietary diversity not including milk feeds and the minimum meal frequency during the previous day,29.7,
2.18,Bottle feeding,Percentage of children age 0-23 months who were fed with a bottle during the previous day,31.7,
Salt iodization,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
2.19,Iodized salt consumption,Percentage of households with salt testing 15 parts per million or more of iodate,66.1,
Low-birthweight,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
2.20,Low-birthweight infants,"Percentage of most recent live births in the last 2 years weighing below 2,500 grams at birth",8.0,
2.21,Infants weighed at birth,Percentage of most recent live births in the last 2 years who were weighed at birth,92.3,
Vaccinations,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
3.1,,Tuberculosis immunization coverage,Percentage of children age 12-23 months who received BCG vaccine by their first birthday,97.5
3.2,,Polio immunization coverage,Percentage of children age 12-23 months who received the third dose of OPV vaccine (OPV3) by their first birthday,83.9
3.3,,"Diphtheria, pertussis and tetanus (DPT3), (HepB3) and (Hib3)immunization coverage",Percentage of children age 12-23 months who received the third dose of DPT vaccine (DPT3) by their first birthday,90.1
3.4,MDG 4.3,Measles immunization coverage,Percentage of children age 12-23 months who received measles vaccine by their first birthday,89.3
3.8,,Full immunization coverage,Percentage of children age 12-23 months who received allvii,70.7
,,,vaccinations recommended in the national immunization schedule by their first birthday,
Tetanus toxoid,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
3.9,Neonatal tetanus protection,Percentage of women age 15-49 years with a live birth in the last 2 years who were given at least two doses of tetanus toxoid vaccine within the appropriate interval prior to the most recent birth,83.0,
Diarrhoea,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
-,Children with diarrhoea,Percentage of children under age 5 with diarrhoea in the last 2 weeks,16.4,
3.10,Care-seeking for diarrhoea,Percentage of children under age 5 with diarrhoea in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,71.2,
3.11,Diarrhoea treatment with oral rehydration salts (ORS) and zinc,Percentage of children under age 5 with diarrhoea in the last 2 weeks who received ORS and zinc,42.3,
3.12,Diarrhoea treatment with oral rehydration therapy (ORT) and continued feeding,"Percentage of children under age 5 with diarrhoea in the last 2 weeks who received ORT (ORS packet, pre-packaged ORS fluid, recommended homemade fluid or increased fluids) and continued feeding during the episode of diarrhoea",46.4,
Acute Respiratory Infection (ARI) symptoms,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
-,Children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks,9.8,
3.13,Care-seeking for children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks for whom advice or treatment was sought from a health facility or provider,59.6,
3.14,Antibiotic treatment for children with ARI symptoms,Percentage of children under age 5 with ARI symptoms in the last 2 weeks who received antibiotics,26.6,
Solid fuel use,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
3.15,Use of solid fuels for cooking,Percentage of household members in households that use solid fuels as the primary source of domestic energy to cook,62.3,
Water and sanitation,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
4.1,MDG 7.8,Use of improved drinking water sources,Percentage of household members using improved sources of drinking water,72.0
4.2,,Water treatment,Percentage of household members in households using unimproved drinking water who use an appropriate treatment method,16.8
4.3,MDG 7.9,Use of improved sanitation,Percentage of household members using improved sanitation facilities which are not shared,53.0
4.4,,Safe disposal of child’s faeces,Percentage of children age 0-2 years whose last stools were disposed of safely,55.3
Contraception and unmet need,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
-,,Total fertility rate,Total fertility rateA for women age 15-49 years,3.3
5.1,MDG 5.4,Adolescent birth rate,Age-specific fertility rateA for women age 15-19 years,87
5.2,,Early childbearing,Percentage of women age 20-24 years who had at least one live birth before age 18,16.7
5.3,MDG 5.3,Contraceptive prevalence rate,Percentage of women age 15-49 years currently married or in union who are using (or whose partner is using) a (modern or traditional) contraceptive method,66.1
5.4,MDG 5.6,Unmet need,Percentage of women age 15-49 years who are currently married or in union who are fecund and want to space their births or limit the number of children they have and who are not currently using contraception,15.2
"A The age-specific fertility rate is defined as the number of live births to women in a specific age group during a specified period, divided by the average number of women in that age group during the same period, expressed per 1,000 women. The age-specific fertility rate for women age 15-19 years is also termed as the adolescent birth rate.",,,,
"The total fertility rate (TFR) is calculated by summing the age-specific fertility rates calculated for each of the 5-year age groups of women, from age 15 through to age 49. The TFR denotes the average number of children to which a woman will have given birth by the end of her reproductive years (by age 50) if current fertility rates prevailed.",,,,
Modern methods,65.5,,Traditional methods,0.6
Female sterilization,3.7,,Periodic abstinence,0.2
Male sterilization,0.0,,Withdrawal,0.3
IUD,0.7,,Other,0.1
Injectables,21.9,,,
Implants,3.8,,Any method,66.1
Pill,10.5,,,
Male condom,23.9,,No method,33.9
Female condom,0.8,,,
Diaphragm/Foam/Jelly,0.2,,,
Maternal and newborn health,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
5.5a,MDG 5.5,Antenatal care coverage,Percentage of women age 15-49 years with a live birth in the last 2 years who were attended during their last pregnancy that led to a live birth,
5.5b,MDG 5.5,,(a) at least once by skilled health personnel (b)at least four times by any provider,
,,,98.5,
,,,76.1,
5.6,,Content of antenatal care,Percentage of women age 15-49 years with a live birth in the last 2 years who had their blood pressure measured and gave urine and blood samples during the last pregnancy that led to a live birth,90.0
5.7,MDG 5.2,Skilled attendant at delivery,Percentage of women age 15-49 years with a live birth in the last 2 years who were attended by skilled health personnel during their most recent live birth,88.3
5.8,,Institutional deliveries,Percentage of women age 15-49 years with a live birth in the last 2 years whose most recent live birth was delivered in a health facility,87.7
5.9,,Caesarean section,Percentage of women age 15-49 years whose most recent live birth in the last 2 years was delivered by caesarean section,11.6
Post-natal health checks,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
5.10,Post-partum stay in health facility,Percentage of women age 15-49 years who stayed in the health facility for 12 hours or more after the delivery of their most recent live birth in the last 2 years,90.2,
5.11,Post-natal health check for the newborn,"Percentage of last live births in the last 2 years who received a health check while in facility or at home following delivery, or a post-natal care visit within 2 days after delivery",90.1,
5.12,Post-natal health check for the mother,"Percentage of women age 15-49 years who received a health check while in facility or at home following delivery, or a post-natal care visit within 2 days after delivery of their most recent live birth in the last 2 years",87.2,
Child development,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
6.1,Attendance to early childhood education,Percentage of children age 36-59 months who are attending an early childhood education programme,29.5,
6.2,Support for learning,Percentage of children age 36-59 months with whom an adult has engaged in four or more activities to promote learning and school readiness in the last 3 days,38.6,
6.3,Father’s support for learning,Percentage of children age 36-59 months whose biological father has engaged in four or more activities to promote learning and school readiness in the last 3 days,1.8,
6.4,Mother’s support for learning,Percentage of children age 36-59 months whose biological mother has engaged in four or more activities to promote learning and school readiness in the last 3 days,16.4,
6.5,Availability of children’s books,Percentage of children under age 5 who have three or more children’s books,5.9,
6.6,Availability of playthings,Percentage of children under age 5 who play with two or more types of playthings,67.0,
6.7,Inadequate care,Percentage of children under age 5 left alone or in the care of another child younger than 10 years of age for more than one hour at least once in the last week,16.5,
6.8,Early child development index,"Percentage of children age 36-59 months who are developmentally on track in at least three of the following four domains: literacy-numeracy, physical, social-emotional, and learning",64.9,
Literacy and educationviii,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
7.1,MDG 2.3,Literacy rate among young people,Percentage of young people age 15-24 years who are able to read a short simple statement about everyday life or who attended secondary or higher education,
,,,women,
,,,) men,
,,,95.3,
,,,92.1,
7.2,,School readiness,Percentage of children in first grade of primary school who attended pre-school during the previous school year,60.6
7.3,,Net intake rate in primary education,Percentage of children of school-entry age who enter the first grade of primary school,89.3
7.4,MDG 2.1,Primary school net attendance ratio (adjusted),Percentage of children of primary school age currently attending primary or secondary school,97.7
7.5,,Secondary school net attendance ratio (adjusted),Percentage of children of secondary school age currently attending secondary school or higher,50.4
7.6,MDG 2.2,Children reaching last grade of primary,Percentage of children entering the first grade of primary school who eventually reach last grade,92.9
7.7,,Primary completion rate,Number of children attending the last grade of primary school (excluding repeaters) divided by number of children of primary school completion age (age appropriate to final grade of primary school),90.9
7.8,,Transition rate to secondary school,Number of children attending the last grade of primary school during the previous school year who are in the first grade of secondary school during the current school year divided by number of children attending the last grade of primary school during the previous school year,85.5
7.9,MDG 3.1,Gender parity index (primary school),Primary school net attendance ratio (adjusted) for girls divided by primary school net attendance ratio (adjusted) for boys,1.01
7.10,MDG 3.1,Gender parity index (secondary school),Secondary school net attendance ratio (adjusted) for girls divided by secondary school net attendance ratio (adjusted) for boys,1.19
Birth registration,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
8.1,Birth registration,Percentage,53.5,
,,of children under age 5 whose births are reported registered,,
Child discipline,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
8.3,Violent discipline,Percentage of children age 1-14 years who experienced psychological aggression or physical punishment during the last one month,88.3,
Early marriage and polygyny,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
8.4,Marriage before age 15,Percentage of people who were first married or in union before age 15,,
,,Women 15 – 49 years,,
,,Men 15 – 49 years,,
,,Men 15 – 59 years,,
,,1.3,,
,,0.2,,
,,0.2,,
8.5,Marriage before age 18,Percentage of people who were first married or in union before age 18,,
,,Women 20 – 49 years,,
,,Men 20 – 49 years,,
,,Men 20 – 59 years,,
,,8.8,,
,,1.7,,
,,2.0,,
8.6,Young people age 15-19 years currently married or in union,Percentage of young people age 15-19 years who are married or in union,,
,,Women,,
,,Men,,
,4.0,,,
,0.0,,,
8.7,Polygyny,Percentage of people who are in a polygynous union,,
,,Women 15 – 49 years,,
,,Men 15 – 49 years,,
,,Men 15 – 59 years,,
,,11.7,,
,,8.2,,
,,10.4,,
8.8a,Spousal age difference,"Percentage of young women who are married or in union and whose spouse is 10 or more years older,",,
8.8b,,"(a)among women age 15-19 years, (b)among women age 20-24 years",,
,,(32.5),,
,,22.5,,
() Figures that are based on 25-49 unweighted cases,,,,
Attitudes towards domestic violence,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
8.12,Attitudes towards domestic violence,"Percentage of people who state that a husband is justified in hitting or beating his wife in at least one of the following circumstances: (1) she goes out without telling him, (2) she neglects the children, (3) she argues with him, (4) she refuses sex with him, (5) she burns the food",,
,,Women 15 – 49 years,,
,,) Men 15 – 49 years,,
,,Men 15 – 59 years,,
,,19.9,,
,,17.0,,
,,16.3,,
Children’s living arrangements,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
8.13,Children’s living arrangements,Percentage of children age 0-17 years living with neither biological parent,33.2,
8.14,Prevalence of children with one or both parents dead,Percentage of children age 0-17 years with one or both biological parents dead,20.4,
8.15,Children with at least one parent living abroad,Percentage of children 0-17 years with at least one biological parent living abroad,13.0,
HIV/AIDS knowledge and attitudes,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
-,,Have heard of AIDS,Percentage of people who have heard of AIDS,
,,,Women 15 – 49 years,
,,,Men 15 – 49 years,
,,,Men 15 – 59 years,
,,,99.8,
,,,99.8,
,,,99.8,
9.1,MDG 6.3,Knowledge about HIV prevention among young people,"Percentage of young people age 15-24 years who correctly identify ways of preventing the sexual transmission of HIVix, and who reject major misconceptions about HIV transmissionx",
,,,Women,
,,,Men,
,,,49.1,
,,,50.9,
9.2,,Knowledge of mother-to- child transmission of HIV,Percentage of people who correctly identify all three meansxi,
,,,of mother-to-child transmission of HIV,
,,,Women 15 – 49 years,
,,,Men 15 – 49 years,
,,,Men 15 – 59 years,
,,,66.5,
,,,52.9,
,,,52.2,
9.3,,Accepting attitudes towards people living with HIV,Percentage of people expressing accepting attitudes on all four questionsxii toward people living with HIV,
,,,Women 15 – 49 years,
,,,Men 15 – 49 years,
,,,Men 15 – 59 years,
,37.4,,,
,36.2,,,
,37.0,,,
9.S1,,Discriminatory attitudes Towards people living with HIV,Percentage of people who report discriminatory attitudes towards people living with HIVxiii,
,,,Women 15 – 49 years,
,,,Men 15 – 49 years,
,,,Men 15 – 59 years,
,37.4,,,
,36.2,,,
,37.0,,,
HIV testing,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
9.4,People who know where to be tested for HIV,Percentage of people who state knowledge of a place to be tested for HIV,,
,,Women 15 – 49 years,,
,,) Men 15 – 49 years,,
,,Men 15 – 59 years,,
,,97.4,,
,,96.4,,
,,96.5,,
9.5,People who have been tested for HIV and know the results,Percentage of people who have been tested for HIV in the last 12 months and who know their results,,
,,Women 15 – 49 years,,
,,) Men 15 – 49 years,,
,,Men 15 – 59 years,,
,66.5,,,
,54.5,,,
,55.3,,,
9.6,Sexually active young people who have been tested for HIV and know the results,"Percentage of young people age 15-24 years who have had sex in the last 12 months, who have been tested for HIV in the last 12 months and who know their results",,
,,Women,,
,,) Men,,
,80.2,,,
,62.3,,,
9.7,HIV counselling during antenatal care,"Percentage of women age 15-49 years who had a live birth in the last 2 years and received antenatal care during the pregnancy of their most recent birth, reporting that they received counselling on HIV during antenatal care",89.9,
9.8,HIV testing during antenatal care,"Percentage of women age 15-49 years who had a live birth in the last 2 years and received antenatal care during the pregnancy of their most recent birth, reporting that they were offered and accepted an HIV test during antenatal care and received their results",95.3,
Sexual behaviour,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
9.9,,Young people who have never had sex,Percentage of never married young people age 15-24 years who have never had sex,
,,,Women,
,,,) Men,
,,,54.5,
,,,53.6,
9.10,,Sex before age 15 among young people,Percentage of young people age 15-24 years who had sexual intercourse before age 15,
,,,Women,
,,,) Men,
,,,3.0,
,,,2.8,
9.11,,Age-mixing among sexual partners,Percentage of women age 15-24 years who had sex in the last 12 months with a partner who was 10 or more years older,14.5
9.12,,Multiple sexual partnerships,Percentage of people who had sexual intercourse with more than one partner in the last 12 months,
,,,Women 15 – 49 years,
,,,) Men 15 – 49 years,
,,,Men 15 – 59 years,
,,,3.3,
,,,21.1,
,,,20.6,
9.13,,Condom use at last sex among people with multiple sexual partnerships,Percentage of people who report having had more than one sexual partner in the last 12 months who also reported that a condom was used the last time they had sex,
,,,Women 15 – 49 years,
,,,) Men 15 – 49 years,
,,,Men 15 – 59 years,
,66.0,,,
,82.6,,,
,80.8,,,
9.14,,Sex with non-regular partners,"Percentage of sexually active young people age 15-24 years who had sex with a non-marital, non-cohabitating partner in the last 12 months",
,,,Women,
,,,) Men,
,,,37.3,
,,,40.9,
9.15,MDG 6.2,Condom use with non- regular partners,"Percentage of young people age 15-24 years reporting the use of a condom during the last sexual intercourse with a non- marital, non-cohabiting sex partner in the last 12 months",
,,,Women,
,,,) Men,
,,,70.9,
,,,93.4,
Orphans,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
9.16,MDG 6.4,Ratio of school attendance of orphans to school attendance of non-orphans,Proportion attending school among children age 10-14 years who have lost both parents divided by proportion attending school among children age 10-14 years whose parents are alive and who are living with one or both parents,1.00
Male circumcision,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
9.17,Male circumcision,Percentage of men who reported have been circumcised,,
,,Men age 15 – 49 years,,
,,Men age 15 – 59 years,,
,,25.0,,
,,24.3,,
Access to mass media,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
10.1,Exposure to mass media,"Percentage of people who at least once a week, read a newspaper or magazine, listen to the radio, and watch television",,
,,Women 15- 49 years,,
,,Men 15 – 49 years,,
,,Men 15 – 59 years,,
,,22.6,,
,,30.9,,
,,30.1,,
Use of information/communication technology,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
10.2,Use of computers,Percentage of young people age 15-24 years who used a computer during the last 12 months,,
,,Women,,
,,) Men,,
,,42.7,,
,,48.9,,
10.3,Use of internet,Percentage of young people age 15-24 years who used the internet during the last 12 months,,
,,Women,,
,,) Men,,
,,39.8,,
,,55.6,,
Subjective well-being,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
11.1,Life satisfaction,"Percentage of young people age 15-24 years who are very or somewhat satisfied with their life, overall",,
,,Women,,
,,) Men,,
,,82.5,,
,,84.8,,
11.2,Happiness,Percentage of young people age 15-24 years who are very or somewhat happy,,
,,Women,,
,,) Men,,
,,75.5,,
,,75.6,,
11.3,Perception of a better life,"Percentage of young people age 15-24 years whose life improved during the last one year, and who expect that their life will be better after one year",,
,,Women,,
,,) Men,,
,,62.2,,
,,62.8,,
Tobacco use,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
12.1,Tobacco use,"Percentage of people who smoked cigarettes, or used smoked or smokeless tobacco products at any time during the last one month",,
,,Women 15 – 49 years,,
,,Men 15 – 49 years,,
,,Men 15 – 59 years,,
,,1.3,,
,,14.7,,
,,15.1,,
12.2,Smoking before age 15,Percentage of people who smoked a whole cigarette before age 15,,
,,Women 15 – 49 years,,
,,Men 15 – 49 years,,
,,Men 15 – 49 years,,
,,0.2,,
,,2.9,,
,,2.8,,
Alcohol use,,,,
MICS,Indicator,Description,Value,
Indicator,,,,
12.3,Use of alcohol,Percentage of people who had at least one alcoholic drink at any time during the last one month,,
,,Women 15 – 49 years,,
,,Men 15 – 49 years,,
,,Men 15 – 59 years,,
,,5.5,,
,,25.5,,
,,25.9,,
12.4,Use of alcohol before age 15,Percentage of people who had at least one alcoholic drink before age 15,,
,,Women 15 – 49 years,,
,,Men 15 – 49 years,,
,,Men 15 – 59 years,,
,,1.5,,
,,5.9,,
,,5.8,,
