0,1,2,3,4,5,6
Topic,MICS3,MDG,Indicator,Value,Unit,
,Indicator Number,Indicator Number,,,,
CHILD MORTALITY,,,,,,
Child Mortality,1,13,Under-five mortality rate (MDG),22,Per thousand Per thousand,
,2,14,Infant mortality rate,18,,
NUTRITION,,,,,,
Nutrition,6,4,Underweight prevalence,9.7,Percent,
,7,,Stunting prevalence,22.4,Percent,
,8,,Wasting prevalence,8.6,Percent,
,45,,Timely initiation of breastfeeding,32.4,Percent,
,,,Continued breastfeeding rate 12-15 Months,,,
,,,20-23 Months,,,
,,,Timely complementary feeding rate 6-9 months Frequency of complementary feeding Adequately fed infants,,,
,,,Vitamin (A) supplementation (under fives),,,
,,,Vitamin (A) supplementation(postpartum mothers) Low birth weight infants,,,
,,,Infants weighed at birth,,,
,16,63.9,Percent,,,
Breast feeding,,16.3,Percent,,,
,17,36.5,Percent,,,
,18,20.8,Percent,,,
,19,25.3,Percent,,,
Vitamin (A),42,2.9,Percent Percent,,,
,43,17.8,,,,
Low Birth Weight,9,9.4,Percent Percent,,,
,10,47.9,,,,
CHILD HEALTH,,,,,,
,25,,Tuberculosis immunization coverage,99.9,Percent,
Immunization,26,15,Polio immunization coverage Measles immunization coverage,96.9,Percent Percent,
,28,,,92.4,,
,31,,Fully immunized children,87.8,Percent,
Tetanus toxoid,32,,Neonatal tetanus protection,37.8,Percent,
Care of illness,33,,Use of oral rehydration therapy (ORT),67.7,Percent,
,34,,Home management of diarrhoea,15.6,Percent,
,35,,"Received ORT or increased fluids, and continued",34.2,Percent,
,,,feeding,,,
,23,,Care seeking for suspected pneumonia,76.8,Percent,
,22,,Antibiotic treatment of suspected pneumonia,71.0,Percent,
Solid fuel use,24,29,Solid fuels,0.3,Percent,
ENVIRONMENT,,,,,,
,11,30,Use of improved drinking water sources,87.3,Percent,
Water and Sanitation,13,,Water treatment,4.5,Percent,
,12,31,Use of improved sanitation facilities,97.1,Percent,
REPRODUCTIVE HEALTH,,,,,,
Contraception and,21,19c,Contraceptive prevalence,58.3,Percent,
,,,Content of antenatal care,,,
,,,Blood test taken,,,
,,,Blood pressure measured Urine sampling Measuring weight,,,
,,,Skilled attendant at delivery Institutional deliveries,,,
unmet need,99,,84.1,Percent,,
,44,,,,,
,,,54.2,Percent,,
Maternal and newborn health,,,76.8,Percent Percent,,
,,,52.6,,,
,,,66.9,Percent,,
,4,17,93.0,Percent,,
,5,,70.4,percent,,
CHILD DEVELOPMENT,,,,,,
,46,,Support for learning,55.0,Percent,
,47,,Father’s support for learning,56.2,Percent,
,48,,Support for learning: children’s books,30.1,Percent,
Child development,,,,,,
,49,,Support for learning: non-children’s books,62.6,Percent,
,50,,Support for learning: materials for play,19.3,Percent,
,51,,Non-adult care,16.6,Percent,
EDUCATION,,,,,,
Education,53,,Pre-school attendance,33.6,Percent,
,54,Net intake rate in primary education,92,Percent,,
TOPIC,MICS3 INDICATOR NUMBER,MDG INDICATOR NUMBER,INDICATOR,VALUE,UNIT,
,55,,6,Net primary school attendance rate,96.1,Percent
,56,,,Net secondary school attendance rate,54.2,Percent
,57,,7,Children reaching grade five,99.4,Percent
,58,,,Transition rate to secondary school,94.0,Percent
,59,,7b,Primary completion rate,75.3,Percent
,61,,9,Gender parity index,,Percent
,,,,Primary school,1.00,Rate
,,,,Secondary school,1.00,Rate
CHILD PROTECTION,,,,,,
Birth registration,,62,,Birth registration,95.2,Percent
,71,Child labour,4.0,Percent,,
Child labour,72,Labourer students,61.0,Percent,,
,73,Student Labourers,3.1,Percent,,
Child discipline,74,Child discipline,24.3,Percent,,
,,Any psychological/physical punishment,,,,
,,Marriage before age 15,3.4,Percent,,
,67,,,,,
Early marriage,,Marriage before age 18,17.7,Percent,,
,68,Young women aged 15-19 currently married,9.7,Percent,,
HIV/AIDS,,,,,,
HIV/AIDS,,82,19b,Comprehensive knowledge about HIV prevention among young people,7.9,Percent
Knowledge and,89,,Knowledge of mother-to-child transmission of HIV,19.7,Percent,
attitudes,86,,Women refusing to care for family member with HIV,11.7,Percent,
