0,1,2,3,4,5
Topic,mics Indicator Number,mdg Indicator Number,Indicator,Value,
CHILD MORTALITY,,,,,
Topic,mics Indicator Number,mdg Indicator Number,Indicator,Value,
CHILD MORTALITY,,,,,
Child mortality 1,13,Under-5 mortality rate,79,"per 1,000 live births",
2,14,Infant mortality rate,65,"per 1,000 live births",
NUTRITION,,,,,
Nutritional,6,4,Underweight prevalence,17.4,per cent
status,7,,Stunting prevalence,27.0,per cent
,8,,Wasting prevalence,7.2,per cent
Breastfeeding,45,,Timely initiation of breastfeeding,60.9,per cent
,15,,Exclusive breastfeeding rate,25.4,per cent
,16,,Continued breastfeeding rate,,
at 12-15 months 74.9 per cent,,,,,
,,at 20-23 months,34.2,per cent,
,17,Timely complementary feeding rate,15.3,per cent,
,18,Frequency of complementary feeding,7.4,per cent,
,19,Adequately fed infants,15.9,per cent,
Salt iodization,41,Iodized salt consumption,46.4,per cent,
Vitamin A,42,Vitamin A supplementation (under-5),46.6,per cent,
,43,Vitamin A supplementation (postpartum mothers),41.3,per cent,
Low birth,9,Low birth weight infants,9.7,per cent,
weight,10,Infants weighed at birth,65.9,per cent,
CHILD HEALTH,,,,,
Immunization,25,,Tuberculosis immunization coverage,94.5,per cent
,26,,Polio immunization coverage,78.9,per cent
,27,,DPT immunization coverage,81.6,per cent
,28,15,Measles immunization coverage,91.1,per cent
,31,,Fully immunized children,70.6,per cent
,29,,Hepatitis B immunization coverage,68.9,per cent
Topic,mics Indicator Number,mdg Indicator Number,Indicator,Value,
Topic,mics Indicator Number,mdg Indicator Number,Indicator,Value,
Care of illness,33,,Use of oral rehydration therapy (ORT),58.4,per cent
,34,,Home management of diarrhoea,6.5,per cent
,35,,"Received ORT or increased fluids, and continued feeding",22.1,per cent
,23,,Care seeking for suspected pneumonia,63.9,per cent
,22,,Antibiotic treatment of suspected pneumonia,40.6,per cent
Solid fuel use,24,29,Solid fuels,35.0,per cent
Malaria,36,,Household availability of insecticide-treated nets (ITNs),2.0,per cent
,37,22,Under-5s sleeping under insecticide-treated,1.3,per cent
,,,nets,,
,38,,Under-5s sleeping under mosquito nets,1.7,per cent
,39,22,Antimalarial treatment (under-5s),1.2,per cent
Source and,96,,Source of supplies (from public sources),,
cost of supplies,Oral rehydration salts,51.8,per cent,,
97,Cost of supplies (median costs),,,,
,Oral rehydration salts,2.3,somoni,,
,public sources,,,,
,private sources,1.0,somoni,,
ENVIRONMENT,,,,,
Water and 11,30,Use of improved drinking water sources,69.5,per cent,
sanitation 13,,Water treatment,80.4,per cent,
12,31,Use of improved sanitation facilities,93.7,per cent,
14,,Disposal of child’s faeces,28.9,per cent,
REPRODUCTIVE HEALTH,,,,,
Contraception,21,19c,Contraceptive prevalence,37.9,per cent
and unmet,98,,Unmet need for family planning,23.7,per cent
need,99,,Demand satisfied for family planning,61.5,per cent
Topic,mics Indicator Number,mdg Indicator Number,Indicator,Value,
Topic,mics Indicator Number,mdg Indicator Number,Indicator,Value,
Maternal 20,Antenatal care,77.1,per cent,,
and newborn 44,Content of antenatal care,79.1,per cent,,
health,Blood test taken,68.0,per cent,,
,Blood pressure measured,71.8,per cent,,
,Urine specimen taken,65.9,per cent,,
,Weight measured,61.7,per cent,,
,Blood group determined,65.1,per cent,,
,Gynaecological exam passed,66.5,per cent,,
,Pregnancy term assessed,70.6,per cent,,
