0,1,2,3,4,5
RUBRIQUE,N°,N°,INDICATEURS,VALEUR,
,INDICATEUR MICS,INDICATEUR OMD,,,
MORTALITE INFANTILE,,,,,
Mortalité Infantile,1,13,Taux de mortalité infantile,77,‰
,2,14,Taux de mortalité chez les moins de 5 ans,123,‰
NUTRITION,,,,,
Etat Nutritionnel,6,4,Prévalence de l’insuffisance pondérale,"26,8",%
,7,,Prévalence des retards de croissance,"23,7",%
,8,,Prévalence de la déperdition,"14,3",%
Allaitement,45,,Allaitement commencé à temps,"35,8",%
,,,Taux d’allaitement continu Taux d’allaitement continu,,
,,,chez 12-15 mois,,
,,,chez 20-23 mois,,
,,,Taux d’alimentation complémentaire commencé à temps Fréquence de l’alimentation complémentaire,,
,,,Enfants bien nourris,,
,15,"28,4",%,,
,16,"70,2",%,,
,,"44,2",%,,
,17,"34,9",%,,
,18,"24,9",%,,
,19,"26,6",%,,
Vitamine A,42,,Supplémentation en vitamine A (moins de 5 ans),"39,3",%
,43,Supplémentation en vitamine A (accouchées),"45,5",%,
Faible poids à la,9,,Enfants de faible poids à la naissance,"11,5",%
naissance,10,Enfants pesés à la naissance,"43,6",%,
SANTE DE L’ENFANT,,,,,
Couverture vaccinale,25,,Couverture vaccinale contre la tuberculose Couverture vaccinale contre la polio,"88,0",%
,26,,,"70,6",%
,27,,"Couverture vaccinale contre la diphtérie, le tétanos et la coqueluche (DTC)","65,0",%
,28,15,Couverture vaccinale contre la rougeole,"63,1",%
,31,,Enfants entièrement vaccinés,"49,2",%
,29,,Couverture vaccinale contre l’hépatite B,"1,5",%
,30,,Couverture vaccinale contre la fièvre jaune,"49,5",%
Toxoïde tétanique,32,,Protection contre le tétanos néonatal,"71,0",%
Traitement par la,33,,Utilisation de la thérapie de réhydratation par voie orale,"21,0",%
réhydratation orale,,(TRO),,,
,34,Traitement à domicile de la diarrhée,"9,2",%,
,35,"Traitement RVO reçu ou apport d’aliments liquides, et poursuite de l’alimentation","21,6",%,
,23,Consultations pour les enfants suspectés de pneumonie,"22,7",%,
,22,Traitement antibiotique des enfants suspectés de,"25,6",%,
,,pneumonie,,,
Combustible solide,24,29,Combustibles solides,"97,8",%
Paludisme,36,,Disponibilité de moustiquaires imprégnées (MII) par ménage,"40,2",%
,37,22,Enfants de moins de 5 ans dormant sous une MII,"38,4",%
,38,,Enfants de moins de 5 ans dormant sous une moustiquaire,"40,8",%
,39,22,Traitement antipaludéen (moins de 5 ans),"37,5",%
,40,,Traitement préventif intermittent du paludisme (femmes enceintes),"18,1",%
RUBRIQUE,N°,N°,INDICATEURS,VALEUR,
,INDICATEUR MICS,INDICATEUR OMD,,,
Sources et Coûts de l'approvisionnement,96,,Source d’approvisionnement,"83,4",%
,97,,Moustiquaires imprégnées,2463,FCFA FCFA
,,,Coût d’approvisionnement,4000,
,,,Moustiquaire imprégnée,,
,,,Secteur public Secteur médical privé,,
ENVIRONNEMENT,,,,,
Eau et,11,30,Utilisation de source d’eau potable améliorée,"60,6",%
assainissement,13,,Traitement de l’eau,"5,4",%
,12,31,Utilisation d’installations sanitaires améliorées,"31,7",%
,14,,Élimination des excréments infantiles,"26,5",%
Bail assuré et,93,,Bail assuré,"49,8",%
durabilité de l’habitat,94,,Durabilité de l’habitat,"0,7",%
,95,32,Taudis,"71,9",%
SANTE DE LA REPRODUCTION,,,,,
Contraception et,21,19c,Prévalence des contraceptifs,"16,8",%
besoins à couvrir,98,,Besoins à couvrir en matière de planning familial,"40,6",%
,99,,Demande couverte en matière de planning familial,"29,3",%
Santé de la mère et,20,,Soins prénatals,"83,8",%
de l’enfant,44,,Contenu des soins prénatals,"88,6",%
,4,17,Assistance par un personnel qualifié,"62,0",%
,5,,Accouchements dans un établissement spécialisé,"62,9",%
DEVELOPPEMENT DE L’ENFANT,,,,,
Développement de l’enfant,46,,Soutien pour les études,"36,3",%
47,,Soutien paternel pour les études,"40,9",%,
48,,Soutien pour les études : livres pour enfants,"4,9",%,
49,,Soutien pour les études : autres livres,"26,2",%,
50,,Soutien pour les études : matériel ludique,"15,1",%,
51,,Tuteur mineur,"30,2",%,
EDUCATION,,,,,
Education,52,,Fréquentation du préscolaire,"15,7",%
,53,,Prédisposition pour la scolarisation,"10,9",%
