0,1,2,3,4
MORTALITE DES ENFANTS,,,,
Mortalité des enfants,1.1,4.1,Taux de mortalité des enfants moins de cinq ans,19.4 pour 1000
1.2,4.2,Taux de mortalité infantile,16.7 pour 1000,
,1.3,,Taux de mortalité néo natale,11.5 pour 1000
,1.4,,Taux de mortalité post néonatale,5.2 pour 1000
,1.5,,Taux de mortalité juvénile,2.7 pour 1000
NUTRITION,,,,
Etat Nutritionnel,"2.1a
2.1b",1.8,"Prévalence Insuffisance pondérale
Modérée et grave (- 2 DS) Sévère (-3 DS)","2.3 pour cent
0.7 pour cent"
,"2.2a
2.2b",,"Prévalence Retard croissance
Modéré et grave (- 2 DS) Sévère (- 3 DS)","10.1 pour cent
3.7 pour cent"
,"2.3a
2.3b",,"Prévalence Emaciation
Modérée et grave (- 2 DS) Sévère (- 3 DS)","2.8 pour cent
1.7 pour cent"
Allaitement et alimentation infantile,2.4,,Enfants jamais allaités,3.4 pour cent
,2.5,,Mise au sein moins d’une heure après la naissance,39.9 pour cent
,2.6,,Allaitement exclusif des moins de 6 mois,8.5 pour cent
,2.7,,Poursuite de l’allaitement à 1 an,49.2 pour cent
,2.8,,Poursuite de l’allaitement à 2 ans,19.1 pour cent
,2.9,,Allaitement prédominant pour les moins de 6 mois,34.7 pour cent
,2.10,,Durée moyenne de l’allaitement,13.5 mois
,2.11,,Alimentation au biberon,72.4 pour cent
,2.12,,"Introduction d’aliments solides, semi-solides ou mous",26.6 pour cent
,2.13,,Fréquence minimum des repas,48.2 pour cent
,2.14,,Allaitement approprié à l’âge,18.1 pour cent
,2.15,,Fréquence alimentation lactée pour enfants non allaités au sein,90.0 pour cent
Insuffisance pondérale à la naissance,2.18,,Nourrissons de poids insuffisant à la naissance,6.9 pour cent
,2.19,,Nourrissons pesés à la naissance,97.4 pour cent
SANTE DE L’ENFANT,,,,
Vaccinations 18-29 mois,3.1,,Couverture vaccinale contre la tuberculose,98.2 pour cent
