0,1,2,3,4,5
Nutritional status1,,,,,
MICS,Indicator Name,Description,Value,,
Indicator,,,,,
2.1a,MDG 1.8,Underweight prevalence,Percentage of children under age 5 who fall below,,
2.1b,,Moderate and severe,minus two standard deviations (moderate and severe),,
,,Severe,minus three standard deviations (severe),,
,,,of the median weight for age of the WHO standard,,
,3.2,,,,
,0.7,,,,
2.2a,,Stunting prevalence,Percentage of children under age 5 who fall below,11.5,
2.2b,,Moderate and severe,minus two standard deviations (moderate and severe),2.7,
,,Severe,minus three standard deviations (severe),,
,,,of the median height for age of the WHO standard,,
2.3a,,Wasting prevalence,Percentage of children under age 5 who fall below,4.2,
2.3b,,Moderate and severe,minus two standard deviations (moderate and severe),1.1,
,,Severe,minus three standard deviations (severe),,
,,,of the median weight for height of the WHO standard,,
2.4,,Overweight prevalence,Percentage of children under age 5 who are above two standard deviations of the median weight for height of the WHO standard,5.9,
Breastfeeding and infant feeding,,,,,
MICS,Indicator Name,Description,Value,,
Indicator,,,,,
2.5,Children ever breastfed,Percentage of women with a live birth in the last 2 years who breastfed their last live-born child at any time,98.5,,
2.6,Early initiation of breastfeeding,Percentage of women with a live birth in the last 2 years who put their last newborn to the breast within one hour of birth,73.4,,
2.7,Exclusive breastfeeding under 6 months,Percentage of infants under 6 months of age who are exclusively breastfed2,58.9,,
2.8,Predominant breastfeeding under 6 months,Percentage of infants under 6 months of age who received breast milk as the predominant source of nourishment3 during the previous day,81.4,,
2.9,Continued breastfeeding at 1 year,Percentage of children age 12-15 months who received breast milk during the previous day,64.1,,
2.10,Continued breastfeeding at 2 years,Percentage of children age 20-23 months who received breast milk during the previous day,19.5,,
2.11,Median duration of breastfeeding,The age in months when 50 percent of children age 0-35 months did not receive breast milk during the previous day,16.1,,
2.12,Age-appropriate breastfeeding,Percentage of children age 0-23 months appropriately fed4 during the previous day,56.9,,
2.13,"Introduction of solid, semi- solid or soft foods","Percentage of infants age 6-8 months who received solid, semi-solid or soft foods during the previous day",82.3,,
2.14,Milk feeding frequency for non-breastfed children,Percentage of non-breastfed children age 6-23 months who received at least 2 milk feedings during the previous day,91.0,,
2.15,Minimum meal frequency,"Percentage of children age 6-23 months who received solid, semi-solid and soft foods (plus milk feeds for non- breastfed children) the minimum number of times5 or more during the previous day",92.5,,
2.16,Minimum dietary diversity,Percentage of children age 6–23 months who received foods from 4 or more food groups6 during the previous day,85.2,,
2.17a,Minimum acceptable diet,Percentage of breastfed children age 6–23 months who had at least the minimum dietary diversity and the minimum meal frequency during the previous day,73.3,,
2.17b,,Percentage of non-breastfed children age 6–23 months who received at least 2 milk feedings and had at least the minimum dietary diversity not including milk feeds and the minimum meal frequency during the previous day,82.9,,
2.18,Bottle feeding,Percentage of children age 0-23 months who were fed with a bottle during the previous day,21.8,,
Salt iodization,,,,,
MICS,Indicator Name,Description,Value,,
Indicator,,,,,
2.19,Iodized salt consumption,Percentage of households with salt testing 15 parts per million or more of iodate or iodide,96.7,,
Low-birthweight,,,,,
MICS,Indicator Name,Description,Value,,
Indicator,,,,,
2.20,Low-birthweight infants,"Percentage of most recent live births in the last 2 years weighing below 2,500 grams at birth",3.3,,
2.21,Infants weighed at birth,Percentage of most recent live births in the last 2 years who were weighed at birth,99.3,,
Vaccinations,,,,,
MICS,Indicator Name,Description,Value,,
Indicator,,,,,
