0,1,2,3,4
Tabla de resumen de hallazgos‌,,,,
"Indicadores de la Encuesta de Indicadores Múltiples por Conglomerados (mics) y de los Objetivos de Desarrollo del Milenio (odm). Uruguay, 2013",,,,
Tema,Número de indicador de mics4,Número de indicador de odm,Indicador,Valor
Nutrición,,,,
Lactancia y alimentación de infantes,2.4,,Niños/as amamantados alguna vez,"98,7 %"
2.5,,Iniciación temprana en la lactancia,"76,5 %",
Bajo peso al nacer,2.18,,Infantes con bajo peso al nacer,"12,7 %"
2.19,,Infantes pesados al nacer,"94,4 %",
Salud del niño/a,,,,
Toxoide tetánico,3.7,,Protección neonatal contra el tétano,"44,3 %"
Cuidado de la enfermedad,3.9,,Búsqueda de atención para presunta neumonía,"91,1 %"
3.10,,Tratamiento con antibióticos para presunta neumonía,"52,5 %",
Uso de combustibles sólidos,3.11,,Combustibles sólidos,"1,1 %"
Agua y saneamiento,,,,
Agua y saneamiento,4.1,7.8,Uso de fuentes mejoradas de agua para beber,"99,4 %"
4.2,,Tratamiento del agua,*,
4.3,7.9,Uso de servicios de saneamiento mejorados,"94,1 %",
Salud reproductiva,,,,
Salud materna,5.5a,5.5,Cobertura de atención prenatal,"97,2 %"
y del recién nacido,5.5b,,Por personal capacitado al menos una vez Por cualquier profesional al menos cuatro veces,"76,8 %"
5.6,,Contenido de la atención prenatal,"98,1 %",
5.7,5.2,Partos atendidos por personal capacitado,"98,2 %",
5.8,,Partos institucionales,"99,5 %",
5.9,,Sección por cesárea,"29,6 %",
Desarrollo del niño/a,,,,
Desarrollo del niño/a,6.1,,Apoyo al aprendizaje,"92,6 %"
6.2,,Apoyo del padre al aprendizaje,"66,3 %",
6.3,,Materiales para el aprendizaje: libros para niños/as,"59,0 %",
6.4,,Materiales para el aprendizaje: cosas para jugar,"75,2 %",
6.5,,Cuidado inadecuado,"2,9 %",
6.6,,Índice de desarrollo temprano infantil,"86,8 %",
6.7,,Asistencia a la educación de niñez temprana,"81,4 %",
Tabla de resumen de hallazgos,,,,
"Indicadores de la Encuesta de Indicadores Múltiples por Conglomerados (mics) y de los Objetivos de Desarrollo del Milenio (odm). Uruguay, 2013",,,,
Tema,Número de indicador de mics4,Número de indicador de odm,Indicador,Valor
Educación,,,,
Alfabetización y educación,7.1,2.3,Alfabetización entre mujeres jóvenes,"98,6 %"
7.4,2.1,Tasa neta de asistencia (ajustada) a la escue- la primaria,"97,,1 %",
7.5,,Tasa neta de asistencia (ajustada) a la escue- la secundaria,"75,4 %",
7.9,,Índice de paridad de género (escuela pri- maria),"1,01",
7.10,,Índice de paridad de género (escuela secun- daria),"1,08",
Protección infantil,,,,
Registro de nacimientos,8.1,,Registro de nacimientos,"99,8 %"
Disciplina del niño/a,8.5,,Disciplina con violencia,"54,6 %"
Matrimonio temprano y poliginia,8.6,,Matrimonio o unión antes de los 15 años de edad,"0,9 %"
8.7,,Matrimonio o unión antes de los 18 años de edad,"15,0 %",
8.8,,Mujeres jóvenes de 15-19 años casadas actualmente o en unión,"7,4 %",
8.10a,,Diferencia de edad entre cónyuges Mujeres de edades entre 15-19 Mujeres de edades entre 20-24,"(4,5 %)",
8.10b,,,"10,2 %",
Violencia doméstica,8.14,,Actitudes hacia la violencia doméstica,"1,5 %"
"vih/sida, comportamiento sexual y huérfanos y niños/ as vulnerables",,,,
Conocimiento y actitudes hacia el vih/sida,9.1,,Conocimiento integral sobre la prevención del vih,"34,0 %"
9.2,6.3,Conocimiento integral sobre la prevención del vih entre personas jóvenes,"34,5 %",
9.3,,Conocimiento sobre la transmisión del vih de madre a hijo,"26,7 %",
9.4,,Actitudes de aceptación hacia personas con vih,"44,1 %",
9.5,,Mujeres que saben del lugar para hacerse la prueba del vih,"84,6 %",
9.6,,Mujeres que se han sometido a la prueba del vih y que conocen los resultados,"15,5 %",
9.7,,Mujeres jóvenes sexualmente activas que se han hecho la prueba del vih y que conocen los resultados,"13,7 %",
9.8,,Asesoría sobre vih durante la atención pre- natal,"26,1 %",
9.9,,Pruebas del vih durante la atención prenatal,"60,6 %",
Tabla de resumen de hallazgos,,,,
"Indicadores de la Encuesta de Indicadores Múltiples por Conglomerados (mics) y de los Objetivos de Desarrollo del Milenio (odm). Uruguay, 2013",,,,
Tema,Número de indicador de mics4,Número de indicador de odm,Indicador,Valor
Comportamiento sexual,9.10,,Mujeres jóvenes que nunca han mantenido relaciones sexuales,"36,3 %"
9.11,,Relaciones sexuales antes de los 15 años en mujeres jóvenes,"8,9 %",
9.13,,Relaciones sexuales con múltiples parejas,"6,6 %",
9.14,,Uso del condón en las relaciones sexuales con múltiples parejas,"77,4 %",
9.15,,Relaciones sexuales con parejas ocasionales,"59,0 %",
9.16,6.2,Uso del condón con parejas ocasionales,"79,5 %",
Niños/as huérfanos,9.17,,Entorno familiar del niño/a,"4,7 %"
9.18,,Prevalencia de niños/as con al menos uno de los progenitores muerto,"3,4 %",
9.19,6.4,Asistencia escolar de huérfanos,*,
9.20,6.4,Asistencia escolar de no huérfanos,"94,6 %",
