0,1,2,3,4
MICS 2011 MDG,Value,,,
Indicator Indicator,,,,
Topic Number Number Indicator,,,,
CHILD MORTALITY,,,,
Child mortality,1.1 4.1,Under-five mortality rate,16,per thousand per thousand
,1.2 4.2,Infant mortality rate,14,
NUTRITION,,,,
,2.1a 1.8,Underweight prevalence,11.7,per cent
,2.1b,Moderate and Severe (- 2 SD) Severe (- 3 SD),,
,2.2a,Stunting prevalence,,
,2.2b,Moderate and Severe (- 2 SD) Severe (- 3 SD),,
,2.3a,Wasting prevalence,,
,2.3b,Moderate and Severe (- 2 SD) Severe (- 3 SD),,
,1.8,per cent,,
Nutritional status,22.7,per cent per cent,,
,6,,,
,4.1,per cent,,
,1.2,per cent,,
,Children ever breastfed,98,per cent,
,Early initiation of breastfeeding,,,
,Exclusive breastfeeding under 6 months,,,
,Continued breastfeeding at 1 year,,,
,Continued breastfeeding at 2 years,,,
,Predominant breastfeeding under 6 months,,,
,Duration of breastfeeding,,,
,bottle feeding,,,
,"Introduction of solid, semi-solid or soft foods",,,
,Minimum meal frequency,,,
,Age-appropriate breastfeeding,,,
,Milk feeding frequency for non-breastfed children,,,
,39.7,per cent,,
,17,per cent,,
,73.9,per cent,,
,19.4,per cent,,
breastfeeding,43.3,per cent,,
and infant feeding,16.7,median months,,
,38.7,per cent,,
,50.4,per cent,,
,58.5,per cent,,
,33.5,per cent,,
,82.2,per cent,,
Salt iodisation,2.16 Iodised salt consumption,45.1,per cent,
Vitamin A,2.17 Vitamin A supplementation (children under age 5),83.4,per cent,
low birth,2.18                           low-birthweight infants,5.1,per cent,
weight,2.19 Infants weighed at birth,93.2,per cent,
CHILD HEALTH,,,,
,bCG immunization coverage,95,per cent,
,Polio immunization coverage,,,
,"Diphtheria, Pertussis, Tetanus (DPT) immunization",,,
,3.3,,,
,coverage,,,
,4.3 Measles immunization coverage,,,
,Hepatitis b immunization coverage,,,
,68.1,per cent,,
Vaccinations,73,per cent,,
,84.2,per cent,,
,53.3,per cent,,
Tetanus toxoid,3.7 Neonatal tetanus protection,77.5,per cent,
,Oral rehydration therapy with continued feeding,56.7,per cent,
,Care seeking for suspected pneumonia,,,
,Antibiotic treatment of suspected pneumonia,,,
Care of illness,73,per cent,,
,68.3,per cent,,
Solid fuel use,3.11,Solid fuels,46.4,per cent
Topic,MICS 2011 MDG,Value,,
,Indicator Indicator,,,
,Number Number Indicator,,,
,Household availability of insecticide-treated nets (ITNs),9.5,per cent,
,Households protected by a vector control method,,,
,Children under age 5 sleeping under any mosquito net,,,
,6.7 Children under age 5 sleeping under insecticide-,,,
,Malaria diagnostics usage,,,
,Antimalarial treatment of children under age 5 the,,,
,6.8 Antimalarial treatment of children under age 5,,,
,Pregnant women sleeping under insecticide-treated nets (ITNs),,,
,treated nets (ITNs),,,
,same or next day,,,
,25,per cent,,
,94.4,per cent,,
,9.4,per cent,,
Malaria,10.7,per cent,,
,0.9,per cent,,
,1.2,per cent,,
,11.3,per cent,,
"WATER, SANITATION AND HYGIENE",,,,
,4.1 7.8 Use of improved drinking water sources,92,per cent,
Water and,4.2 Water treatment,89.6,per cent,
sanitation,4.3 7.9 Use of improved sanitation facilities,73.8,per cent,
,4.4 Safe disposal of child's faeces,61.1,per cent,
Hygiene,Place for handwashing with water and soap,86.6,per cent per cent,
,Availability of soap,95.1,,
REPRODUCTIVE HEALTH,,,,
,5.1 5.4 Adolescent birth rate,46,per thousand,
Contraception,5.2 Early childbearing,3.0,per cent,
and unmet,,,,
need,5.3 5.3 Contraceptive prevalence rate,77.8,per cent,
,5.4 5.6 Unmet need for contraception,4.3,per cent,
Maternal,Antenatal care coverage,93.7,per cent,
,5.5a 5.5 At least once by skilled personnel,,,
,b At least four times by any provider,,,
,"Pregnant women received blood pressure check, urine test and blood test before delivery",,,
,5.2 Skilled attendant at delivery,,,
,Institutional deliveries,,,
,Caesarean section,,,
and newborn,59.6,per cent,,
health,42.5,per cent,,
,92.9,per cent,,
,92.4,per cent,,
,20,per cent,,
CHILD DEVELOPMENT,,,,
,6.1 Support for learning,76.8,per cent,
,6.2 Father's support for learning,61.3,per cent,
Child development,learning materials: children’s books,19.6,per cent per cent per cent,
,learning materials: playthings,49.3,,
,Inadequate care,9.4,,
,6.6 Early child development index,82.8,per cent,
,6.7 Attendance in early childhood education,71.9,per cent,
EDUCATION,,,,
,2.3        literacy rate among young women,96.4,per cent,
,School readiness,,,
,Net intake rate in primary education,,,
,Primary school net attendance ratio (adjusted),,,
,Secondary school net attendance ratio (adjusted),,,
,2.2 Children reaching last grade of primary,,,
,Primary completion rate,,,
,Transition rate to secondary school,,,
,3.1 Gender parity index (primary school),,,
,3.1 Gender parity index (secondary school),,,
,92.6,per cent,,
,94.9,per cent,,
,97.9,per cent,,
literacy and,81.0,per cent,,
education,99.4,per cent,,
,99.6,per cent,,
,98.8,per cent,,
,1.00,ratio,,
,1.07,ratio,,
CHILD PROTECTION,,,,
birth registration,8.1 birth registration,95,per cent,
,8.2 Child labour,9.5,per cent,
Child labour,8.3 School attendance among child labourers,83.4,per cent,
,8.4 Child labour among students,8.3,per cent,
Child discipline,8.5 Violent discipline,73.9,per cent,
Topic,MICS 2011 MDG,Value,,
,Indicator Indicator,,,
,Number Number Indicator,,,
,Marriage before age 15,0.7,per cent,
,Marriage before age 18,,,
,Young women age 15-19 currently married or in union,,,
,Polygyny,,,
,a Women age 15-19,,,
,Spousal age difference (10 or more years),,,
,8.10b Women age 20-24,,,
,12.3,per cent,,
Early marriage and polygyny,8.4,per cent per cent,,
,2.5,,,
,7.4,per cent,,
,4.8,per cent,,
Domestic violence,8.14 Attitudes towards domestic violence,35.8,per cent,
Orphaned children,Children’s living arrangements,5.3,per cent per cent,
,Prevalence of children with at least one parent dead,3.9,,
HIV/AIDS AND SEXUAL BEHAVIOUR,,,,
,Comprehensive knowledge about HIV prevention,45.1,per cent,
,6.3 Comprehensive knowledge about HIV prevention among young people,,,
,Knowledge of mother-to-child transmission of HIV,,,
,Accepting attitude towards people living with HIV,,,
,Women who know where to be tested for HIV,,,
,Women who have been tested for HIV and know the results,,,
,Sexually active young women who have been tested for HIV and know the results,,,
,HIV counselling during antenatal care,,,
,HIV testing during antenatal care,,,
,51.1,per cent,,
,49.6,per cent,,
HIV/AIDS,28.9,per cent per cent,,
knowledge and,61.1,,,
attitudes,6.6,per cent,,
,7.9,per cent,,
,20.9,per cent,,
,28.6,per cent,,
,9.10 young women who have never had sex,98.5,per cent,
,9.11 Sex before age 15 among young women,0.5,per cent,
Sexual,9.12 Age-mixing among sexual partners,6.3,per cent,
behaviour,9.13 Sex with multiple partners,0.1,per cent,
,9.15 Sex with non-regular partners,0.8,per cent,
