0,1,2,3
CHIlD MOrtAlIty,,,
early childhood mortality,,,
MICs Indicator,Indicator,Description,value
1.1 Neonatal mortality rate,Probability of dying within the first 28 days of life,11.95,
1.2 MDG 4.2,Infant mortality rate,Probability of dying between birth and first birthday,16.21
1.3                        Post-neonatal mortality rate,Difference between infant and neonatal mortality rates,4.26,
1.4 Child mortality rate,Probability of dying between the first and fifth birthdays,3.59,
1.5 MDG 4.1,Under-5mortality rate,Probability of dying between birth and fifth birthday,19.74
"A Indicator values are per 1,000 live births and refer to the five-year period before this survey.",,,
NutrItION,,,
Breastfeeding and infant feeding,,,
MICs Indicator Indicator,Description,value,
2.5 Children ever breastfed,Percentage of women with a live birth in the last two years who breastfed their last live-born child at any time,96.9,
"2.6 Early initiation of
breastfeeding",Percentage of women with a live birth in the last two years who put their last newborn to the breast within one hour of birth,26.5,
2.7                   Exclusive breastfeeding under 6 months,Percentage of infants under 6 months of age who are exclusively breastfedi,24.3,
2.8                    Predominant breastfeeding under 6 months,Percentage of infants under 6 months of age who received breast milk as the predominant source of nourishmentii during the previous day,49.0,
2.9                           Continued breastfeeding at 1 year,Percentage of children aged 12-15 months who received breast milk during the previous day,65.6,
2.10                         Continued breastfeeding at 2 years,Percentage of children aged 20-23 months who received breast milk during the previous day,21.8,
2.11       Median duration of breastfeeding,The age in months when 50 per cent of children aged 0-35 months did not receive breast milk during the previous day,15.8,
2.12       Age-appropriate breastfeeding,Percentage of children aged 0-23 months appropriately fediii during the previous day,46.9,
"2.13                 Introduction of solid, semi-solid or soft foods","Percentage of infants aged 6-8 months who received solid, semi-solid or soft foods during the previous day",90.7,
2.14      Milk feeding frequency for non-breastfed children,Percentage of non-breastfed children aged 6-23 months who received at least two milk feedings during the previous day,89.5,
2.15 Minimum meal frequency,"Percentage of children aged 6-23 months who received solid, semi-solid and soft foods (plus milk feeds for non-breastfed children) the minimum number of timesiv or more during the previous day",90.5,
2.16 Minimum dietary diversity,Percentage of children aged 6-23 months who received foods from four or more food groupsv during the previous day.,76.9,
2.17a Minimum acceptable diet,(a) Percentage of breastfed children aged 6-23 months who had at least the minimum dietary diversity and the minimum meal frequency during the previous day,62.4,
2.17b,(b) Percentage of non-breastfed children aged 6-23 months who received at least two milk feedings and had at least the minimum dietary diversity not including milk feeds and the minimum meal frequency during the previous day.,54.5,
2.18 Bottle feeding,Percentage of children aged 0-23 months who were fed with a bottle during the previous day.,44.1,
2.20 Low birthweight infants,"Percentage of live births in the last two years with children weighing less than 2,500 grams at birth",5.7,
2.21 Infants weighed at birth,Percentage of live births in the last two years with children weighed at birth.,94.3,
CHIlD HeAltH,,,
vaccinations,,,
MICs Indicator Indicator,Description,value,
3.1                 Tuberculosis immunization coverage,Percentage of children aged 12-23 months who received BCG vaccine by their first birthday,98.0,
3.2 Polio immunization coverage,Percentage of children aged 12-23 months who received the third dose oforal polio vaccine (OPV) vaccine (OPV3) by their first birthday,91.9,
"3.3                        Diphtheria, pertussis and tetanus (DPT) immunization coverage",Percentage of children aged 12-23 months who received the third dose of DPT vaccine (DPT3) by their first birthday,88.6,
"3.4 MDG 4.3 Measles immunization
coverage",Percentage of children aged 12-23 months who received measles vaccine by their first birthday,86.2,
3.5                 Hepatitis B immunization coverage,Percentage of children aged 12-23 months who received the third dose of Hepatitis B vaccine (HepB3) by their first birthday,87.4,
3.6                            Haemophilus influenzae type B (Hib) immunization coverage,Percentage of children aged 12-23 months who received the third dose of Hib vaccine (Hib3) by their first birthday,87.5,
3.8 Full immunization coverage,Percentage of children aged 12-23 months who received allvi vaccinations recommended in the national immunization schedule by their first birthday.,75.6,
tetanus toxoid,,,
3.9 Neonatal tetanus protection,Percentage of women aged 15-49 years with a live birth in the last two years who were given at least two doses of tetanus toxoid vaccine within the appropriate interval prior to the most recent birth.,82.2,
Diarrhoea,,,
- Children with diarrhoea,Percentage of children aged under 5 with diarrhoea in the last two weeks,8.6,
3.10 Care-seeking for diarrhoea,Percentage of children aged under 5 with diarrhoea in the last two weeks for whom advice or treatment was sought from a health facility or provider,55.1,
3.11             Diarrhoea treatment with oral rehydration salts (ORS) and zinc,Percentage of children aged under 5 with diarrhoea in the last two weeks who received ORS and zinc,12.6,
3.12             Diarrhoea treatment with oral rehydration therapy (ORT) and continued feeding,"Percentage of children aged under 5 with diarrhoea in the last two weeks who received ORT (ORS packet, pre-packaged ORS fluid, recommended homemade fluid or increased fluids) and continued feeding during the episode of diarrhoea.",57.8,
Acute respiratory Infection symptoms,,,
- Children with ARI symptoms,Percentage of children aged under 5 with ARI symptoms in the last two weeks,3.0,
3.13                         Care-seeking for children with ARI symptoms,Percentage of children aged under 5 with ARI symptoms in the last two weeks for whom advice or treatment was sought from a health facility or provider,81.1,
3.14                          Antibiotic treatment for children with ARI symptoms,Percentage of children aged under 5 with ARI symptoms in the last two weeks who received antibiotics.,88.2,
solid fuel use,,,
3.15 Use of solid fuels for cooking,Percentage of household members who use solid fuels as primary source of domestic energy to cook.,41.6,
WAter AND sANItAtION,,,
MICs Indicator,Indicator,Description,value
4.1 MDG 7.8,Use of improved drinking water sources,Percentage of household members who use improved sources of drinking water,92.0
4.2 Water treatment,"Percentage of household members who use unimproved drinking water, but appropriate treatment methods",79.0,
4.3 MDG 7.9,Use of improved sanitation,Percentage of household members who use improved sanitation facilities not shared,79.2
4.4 Safe disposal of child faeces,Percentage of children aged 0-2 years whose last stools were disposed of safely,57.7,
4.5 Place for handwashing,"Percentage of households with a specific place for handwashing, where water and soap or other cleansing agents are present",86.3,
4.6                 Availability of soap or other cleansing agents,Percentage of households with soap or other cleansing agents.,92.4,
rePrODuCtIve HeAltH Contraception and unmet need,,,
MICs Indicator,Indicator,Description,value
5.1 MDG 5.4,Adolescent birth rate,Age-specific fertility rate for women aged 15-19 years.,45
5.2 Early childbearing,Percentage of women aged 20-24 years who had at least one live birth before the age of 18,4.7,
5.3 MDG 5.3,Contraceptive prevalence rate,Percentage of women aged 15-49 years currently married or in union who are using (or whose partner is using) a (modern or traditional) contraceptive method,75.7
